s2g	s2gp	s2chr	s2gi	s1g	s1gp	s1chr	s1gi	s1tot	s2tot	n	fishp	padj	scol	sxchr	clg
71	EA23374	153797526	chr1	506	LOC116939970	10654728	chrm7	1568	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
72	EA21803	153918782	chr1	507	TYMP	10629919	chrm7	1567	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O2
73	EA23604	153975357	chr1	508	RPS11	5358768	chrm7	1516	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
74	EA22762	154265996	chr1	509	LOC116939879	5570293	chrm7	1517	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
75	EA23893	154778438	chr1	510	ARHGEF39	5578440	chrm7	1518	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
76	EA23682	155495381	chr1	511	RERGL	5908675	chrm7	1519	144	587	21	0.000433630432687953	0.302240411583503	NS	NA	NA
77	EA23295	155627570	chr1	512	NUCB2	6051509	chrm7	1520	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
78	EA23625	155649492	chr1	513	LOC116939884	6051985	chrm7	1521	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
79	EA23139	155944711	chr1	514	ACSS3	6159199	chrm7	1522	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
80	EA22774	156423190	chr1	515	PPFIA2	6552833	chrm7	1523	144	587	21	0.000433630432687953	0.302240411583503	NS	chrm7	O1
81	EA38536	107662472	chr1	358	OXT	10597470	chrm9	1773	211	587	4	0.999598862807525	1	NS	chrm9	I
82	EA22901	171396096	chr1	561	LOC116940610	9845764	chrm9	1763	211	587	4	0.999598862807525	1	NS	NA	NA
83	EA22323	184653438	chr1	601	LOC116940403	125350	chrm9	1642	211	587	4	0.999598862807525	1	NS	NA	NA
84	EA23479	197008693	chr1	610	LOC116940493	4781665	chrm9	1690	211	587	4	0.999598862807525	1	NS	NA	NA
85	EA37642	44549753	chr1	151	PTPN4	11934206	chrm10	1954	150	587	3	0.997548876143486	1	NS	chrm10	B1
86	EA36145	46997835	chr1	168	TMEM237	11021128	chrm10	1943	150	587	3	0.997548876143486	1	NS	NA	NA
87	EA39270	86614152	chr1	276	LOC116940986	10442529	chrm10	1932	150	587	3	0.997548876143486	1	NS	NA	NA
88	EA39153	46436504	chr1	159	LOC116940158	1053563	chrm8	2008	127	587	2	0.998286391105485	1	NS	chrm8	Q
89	EA21699	153177676	chr1	503	PCDH15	4261971	chrm8	2032	127	587	2	0.998286391105485	1	NS	chrm8	Q
90	EA23776	162494048	chr1	530	LOC116941311	11038451	chrm11	2215	155	587	1	0.999974354211156	1	NS	chrm11	I
91	EA38194	33369013	chr1	108	WDR13	7844675	chrm12	2327	115	587	2	0.996460295734167	1	NS	NA	NA
92	EA22331	168416346	chr1	552	LOC116941560	3607201	chrm12	2312	115	587	2	0.996460295734167	1	NS	NA	NA
93	EA39480	60590488	chr1	213	FUT11	11768513	chrm13	2523	176	587	1	0.999993786653497	1	NS	NA	NA
94	EA23080	160082616	chr1	528	LOC116942285	1303027	chrm14	2579	122	587	2	0.997679720782526	1	NS	NA	NA
95	EA24017	179238389	chr1	591	LOC116942363	8301339	chrm14	2617	122	587	2	0.997679720782526	1	NS	chrm14	E
96	EA39477	87853037	chr1	279	MCM3AP	2290162	chrm15	2728	106	587	1	0.999289705244664	1	NS	NA	NA
97	EA38064	35376723	chr1	113	LOC116942810	1158253	chrm16	2811	155	587	2	0.999691521712511	1	NS	NA	NA
98	EA22435	152887606	chr1	501	NDUFA11	7608147	chrm16	2861	155	587	2	0.999691521712511	1	NS	NA	NA
99	EA35810	10740500	chr1	42	LOC116943182	2590595	chrm17	2980	129	587	8	0.617404846002172	1	NS	NA	NA
100	EA37035	10877648	chr1	43	SRP14	2641329	chrm17	2981	129	587	8	0.617404846002172	1	NS	chrm17	A
101	EA36946	13021929	chr1	47	LOC116943189	3284731	chrm17	2985	129	587	8	0.617404846002172	1	NS	NA	NA
102	EA39310	15125570	chr1	54	LOC116943209	4363849	chrm17	2993	129	587	8	0.617404846002172	1	NS	chrm17	A
103	EA37095	67207422	chr1	227	LOC116943338	11765025	chrm17	3060	129	587	8	0.617404846002172	1	NS	NA	NA
104	EA39635	70293281	chr1	235	LOC116943342	12008338	chrm17	3063	129	587	8	0.617404846002172	1	NS	NA	NA
105	EA36483	70692309	chr1	236	LOC116943341	11951115	chrm17	3062	129	587	8	0.617404846002172	1	NS	chrm17	A
106	EA37625	80618172	chr1	258	LOC116943138	566337	chrm17	2960	129	587	8	0.617404846002172	1	NS	NA	NA
107	EA37945	19523421	chr1	70	NOM1	10415713	chrm19	3288	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
108	EA37274	19608526	chr1	71	STK16	10395660	chrm19	3287	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
109	EA38494	20218976	chr1	72	DNPEP	10052956	chrm19	3286	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
110	EA37223	20852944	chr1	73	LOC116943754	9770660	chrm19	3285	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
111	EA36790	21195607	chr1	74	LOC116943751	9692044	chrm19	3284	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
112	EA38430	21198429	chr1	75	ENKUR	5600243	chrm19	3263	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
113	EA38690	24800689	chr1	79	HUS1	3976591	chrm19	3253	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
114	EA39065	29485553	chr1	94	LOC116943733	7379413	chrm19	3268	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
115	EA38524	30788135	chr1	99	LOC116943828	1867679	chrm19	3233	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
116	EA36127	31273874	chr1	101	LOC116943884	7127219	chrm19	3267	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
117	EA38432	38309495	chr1	126	LOC116943843	3533363	chrm19	3250	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
118	EA36396	38937360	chr1	129	LOC116943819	1506403	chrm19	3231	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
119	EA36819	39236481	chr1	130	LOC116943728	2722917	chrm19	3242	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
120	EA39380	39419219	chr1	131	KYNU	2700871	chrm19	3241	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
121	EA38170	39573341	chr1	132	PSME3	1941914	chrm19	3235	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
122	EA35727	40042724	chr1	134	LOC116943965	13360927	chrm19	3327	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
123	EA37098	40106230	chr1	135	CCDC12	13360663	chrm19	3326	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
124	EA38292	40369601	chr1	136	SMARCAL1	13306796	chrm19	3324	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
125	EA37824	40494318	chr1	137	ANKZF1	13204292	chrm19	3320	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
126	EA35901	40532503	chr1	138	PSMC5	2965257	chrm19	3246	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
127	EA39052	40599017	chr1	139	WNT3	11044347	chrm19	3293	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
128	EA37191	41124066	chr1	140	NSF	10966975	chrm19	3292	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
129	EA38489	41276297	chr1	141	DLEC1	13345726	chrm19	3325	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
130	EA36060	41739631	chr1	143	LOC116943713	2645907	chrm19	3240	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
131	EA38254	41900353	chr1	144	ANKRD33B	2351560	chrm19	3239	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
132	EA39083	42626892	chr1	145	LOC116943918	11535293	chrm19	3299	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
133	EA36619	42677166	chr1	146	LOC116943793	11524654	chrm19	3298	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
134	EA35935	43450114	chr1	147	LOC116943756	11420225	chrm19	3297	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
135	EA38418	43588387	chr1	148	LOC116943757	11385055	chrm19	3296	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
136	EA35855	44184146	chr1	149	LOC116943791	11333319	chrm19	3295	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
137	EA39526	44386211	chr1	150	LOC116943770	11163682	chrm19	3294	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
138	EA38711	44941743	chr1	153	LOC116943710	2846807	chrm19	3245	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
139	EA36471	45011316	chr1	154	NUB1	2833485	chrm19	3244	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
140	EA36157	45269786	chr1	155	SLC35F5	2784325	chrm19	3243	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
141	EA38646	45380559	chr1	156	LOC116943958	13236352	chrm19	3321	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
142	EA36626	47093712	chr1	169	PEX1	7661833	chrm19	3270	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
143	EA36230	52269103	chr1	188	ARMC4	7785838	chrm19	3271	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
144	EA38057	62552109	chr1	216	LOC116943854	4525161	chrm19	3255	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
145	EA36117	63194030	chr1	218	GDF11	12200697	chrm19	3311	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
146	EA36701	63645387	chr1	219	ABITRAM	12250145	chrm19	3312	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
147	EA39070	63682016	chr1	220	SARNP	12260844	chrm19	3313	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
148	EA36173	63835257	chr1	221	DNAJC14	12180872	chrm19	3310	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
149	EA37683	64247188	chr1	222	TIMELESS	12368826	chrm19	3315	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
150	EA36899	64486932	chr1	224	LOC116943945	12393170	chrm19	3316	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
151	EA36892	64960251	chr1	225	ASNSD1	11778794	chrm19	3303	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
152	EA37505	65159288	chr1	226	LOC116943926	11801241	chrm19	3304	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
153	EA38067	86434766	chr1	274	NHEJ1	10767784	chrm19	3289	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
154	EA39726	86455548	chr1	275	JMJD4	228780	chrm19	3224	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
155	EA38596	86657308	chr1	277	LOC116943806	519674	chrm19	3227	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
156	EA37957	87526756	chr1	278	LOC116943711	1980348	chrm19	3236	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
157	EA37660	88043285	chr1	280	LOC116943830	1913028	chrm19	3234	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
158	EA37166	88633348	chr1	282	LOC116943999	13993903	chrm19	3337	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
159	EA38791	88975837	chr1	283	BET1	8491628	chrm19	3278	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
160	EA37896	89047119	chr1	285	LOC116943891	8443588	chrm19	3277	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
161	EA37509	89458994	chr1	287	LOC116943885	7986093	chrm19	3275	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
162	EA36053	89570005	chr1	288	WDR75	7946743	chrm19	3274	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
163	EA36651	89577586	chr1	289	LOC116943805	708423	chrm19	3228	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
164	EA39777	95176004	chr1	316	RBM48	4591149	chrm19	3256	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
165	EA38288	95736382	chr1	318	CDK5RAP3	11810600	chrm19	3305	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
166	EA37027	95934599	chr1	319	LOC116943795	11844479	chrm19	3306	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
167	EA37009	97391379	chr1	328	CBX1	11855146	chrm19	3307	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
168	EA35799	97408024	chr1	329	AGPS	12154746	chrm19	3309	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
169	EA37203	98035815	chr1	330	LOC116943868	5380348	chrm19	3261	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
170	EA35921	99077723	chr1	331	TTN	9317100	chrm19	3283	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
171	EA36873	100904102	chr1	332	CWC22	9023359	chrm19	3282	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
172	EA37593	101331542	chr1	336	TGFBR2	3900047	chrm19	3251	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
173	EA37911	101841658	chr1	340	IQCB1	3944479	chrm19	3252	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
174	EA36490	102412638	chr1	341	MLH1	5300306	chrm19	3260	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
175	EA35818	103400381	chr1	345	IDH1	13706778	chrm19	3330	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
176	EA35862	103505278	chr1	346	KAT2B	13684860	chrm19	3329	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
177	EA23314	145702286	chr1	477	LOC116943923	11769105	chrm19	3302	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
178	EA23492	145757915	chr1	478	HSPE1	13914926	chrm19	3334	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
179	EA24136	145758306	chr1	479	HSPD1	13917710	chrm19	3335	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
180	EA24082	145887899	chr1	480	CS	13887760	chrm19	3333	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
181	EA23879	146017299	chr1	481	RFTN2	13847400	chrm19	3332	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
182	EA23182	147243705	chr1	483	MCRS1	13779142	chrm19	3331	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
183	EA22954	147456493	chr1	484	PMEL	12428383	chrm19	3317	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
184	EA23722	148538459	chr1	485	LOC116943951	12814212	chrm19	3318	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	NA	NA
185	EA23209	148663990	chr1	486	GPATCH8	12996075	chrm19	3319	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B2
186	EA24405	149200090	chr1	488	AAAS	14078323	chrm19	3339	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B1
187	EA22082	149422760	chr1	489	NGLY1	14093748	chrm19	3340	118	587	81	9.36267984431697e-69	6.52578785148893e-66	S	chrm19	B3
188	EA35870	93834537	chr1	306	LOC116944151	7269973	chrm20	3379	111	587	1	0.999494317386648	1	NS	NA	NA
189	EA35736	35303727	chr1	112	CWF19L1	1519802	chrm21	3460	120	587	5	0.902517961194113	1	NS	NA	NA
190	EA36171	92033148	chr1	300	ACADVL	2294880	chrm21	3472	120	587	5	0.902517961194113	1	NS	chrm21	N
191	EA24385	158572567	chr1	522	CZIB	3505452	chrm21	3490	120	587	5	0.902517961194113	1	NS	NA	NA
192	EA22635	163687175	chr1	536	LOC116944682	13251035	chrm21	3557	120	587	5	0.902517961194113	1	NS	NA	NA
193	EA24205	173807488	chr1	581	SEPSECS	12771723	chrm21	3550	120	587	5	0.902517961194113	1	NS	chrm21	I
194	EA35701	50672884	chr1	182	ZBTB41	350381	chrm22	3579	141	587	2	0.999270519634051	1	NS	NA	NA
195	EA39166	118896205	chr1	393	LOC116945025	11636406	chrm22	3696	141	587	2	0.999270519634051	1	NS	NA	NA
196	EA21849	127508627	chr1	421	DUSP23	3128009	chrm23	3873	87	587	1	0.997412088692534	1	NS	chrm23	J2
197	EA23394	201064609	chr1	624	XRN1	4298222	chrm25	3972	153	587	2	0.999651038850771	1	NS	NA	NA
198	EA22945	201782869	chr1	625	LOC116945942	9323107	chrm25	4023	153	587	2	0.999651038850771	1	NS	NA	NA
199	EA38585	119037235	chr1	394	LOC116946858	1361732	chrm28	4202	117	587	1	0.999663551937717	1	NS	NA	NA
200	EA23802	173925477	chr1	582	HPGD	366706	chrm29	4308	162	587	1	0.999984018388347	1	NS	NA	NA
201	EA36646	110714861	chr1	373	LOC116947536	7990177	chrm30	4532	125	587	116	2.51275607515989e-129	1.75139098438645e-126	S	NA	NA
202	EA36752	111347442	chr1	374	LOC116947535	7741256	chrm30	4531	125	587	116	2.51275607515989e-129	1.75139098438645e-126	S	NA	NA
203	EA36031	112087995	chr1	375	NEDD1	7675810	chrm30	4530	125	587	116	2.51275607515989e-129	1.75139098438645e-126	S	chrm30	E
204	EA35815	112645800	chr1	376	LOC116947531	7499053	chrm30	4529	125	587	116	2.51275607515989e-129	1.75139098438645e-126	S	NA	NA
205	EA36720	112788695	chr1	377	LOC116947530	7467606	chrm30	4528	125	587	116	2.51275607515989e-129	1.75139098438645e-126	S	chrm30	E
