s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
MRPS30	31327325	chrm1	267	ENSLOCG00000011976	49880254	LG2	1511
CRHBP	31492973	chrm1	272	ENSLOCG00000005670	14622827	LG2	1264
LOC116940825	32512418	chrm1	279	ENSLOCG00000011876	49330580	LG2	1507
ZNF532	32549743	chrm1	280	ENSLOCG00000011902	49406266	LG2	1508
LOC116940854	32591415	chrm1	281	ENSLOCG00000011935	49503959	LG2	1509
LOC116940966	33234159	chrm1	285	ENSLOCG00000008288	25857672	LG2	1340
LOC116940994	33327950	chrm1	289	ENSLOCG00000009781	34435471	LG2	1404
LOC116940957	33341219	chrm1	290	ENSLOCG00000009798	34495263	LG2	1405
LOC116941111	33727010	chrm1	298	ENSLOCG00000009118	31110337	LG2	1381
JMY	33821382	chrm1	300	ENSLOCG00000005899	15324084	LG2	1275
OTP	33957231	chrm1	302	ENSLOCG00000005761	14831279	LG2	1268
PDE8B	34013765	chrm1	305	ENSLOCG00000005705	14665747	LG2	1266
LOC116957007	2482669	chrm1	19	ENSLOCG00000013431	40769166	LG3	2075
MNS1	2988746	chrm1	20	ENSLOCG00000013519	41263335	LG3	2086
LOC116939870	3134937	chrm1	22	ENSLOCG00000014904	54392173	LG3	2245
GNB5	3289881	chrm1	24	ENSLOCG00000013355	40294799	LG3	2072
RPS17	3390820	chrm1	25	ENSLOCG00000014995	55422608	LG3	2260
CGNL1	3646290	chrm1	26	ENSLOCG00000013547	41438933	LG3	2088
TLNRD1	14333311	chrm1	88	ENSLOCG00000012828	37947017	LG3	2033
USP3	14408409	chrm1	89	ENSLOCG00000014869	54290940	LG3	2243
TP53BP1	14678903	chrm1	91	ENSLOCG00000014193	45007060	LG3	2161
LEO1	14738188	chrm1	92	ENSLOCG00000013347	40182843	LG3	2070
LOC116947527	14804631	chrm1	93	ENSLOCG00000014257	46376088	LG3	2168
SENP8	15702788	chrm1	95	ENSLOCG00000017960	55186678	LG3	2258
MYO9A	15710712	chrm1	96	ENSLOCG00000014977	55158000	LG3	2257
CLPX	15949336	chrm1	97	ENSLOCG00000014110	44671595	LG3	2146
ADPGK	16176381	chrm1	99	ENSLOCG00000014950	54670513	LG3	2253
LOC116951417	16540739	chrm1	101	ENSLOCG00000013791	42807074	LG3	2112
LOC116951481	16898381	chrm1	102	ENSLOCG00000013782	42731650	LG3	2111
HERC1	18036354	chrm1	110	ENSLOCG00000014851	54158043	LG3	2240
LOC116956130	18621124	chrm1	113	ENSLOCG00000015018	55686321	LG3	2264
UBL7	18830109	chrm1	114	ENSLOCG00000014272	46894691	LG3	2173
MINDY2	20039752	chrm1	120	ENSLOCG00000013626	41727214	LG3	2094
LOC116938421	20245639	chrm1	122	ENSLOCG00000013642	41784088	LG3	2096
CCNB2	20254880	chrm1	123	ENSLOCG00000013651	41822819	LG3	2097
CTDSPL2	20494490	chrm1	126	ENSLOCG00000013760	42528271	LG3	2107
LOC116938531	20690489	chrm1	127	ENSLOCG00000014333	47577166	LG3	2181
ADAMTSL5	23558672	chrm1	171	ENSLOCG00000014158	44805416	LG3	2156
LOC103091739	23808129	chrm1	172	ENSLOCG00000014360	47835665	LG3	2183
WDR93	23866357	chrm1	174	ENSLOCG00000014364	47902208	LG3	2184
LOC116939099	23886457	chrm1	175	ENSLOCG00000014681	52418103	LG3	2221
LOC116939131	23899206	chrm1	176	ENSLOCG00000013706	42407879	LG3	2102
ISLR2	24173422	chrm1	178	ENSLOCG00000017959	54432795	LG3	2246
LOC116939196	24223992	chrm1	179	ENSLOCG00000014914	54459810	LG3	2247
LOC116939211	24333015	chrm1	180	ENSLOCG00000013727	42463022	LG3	2104
LOC116939244	24336258	chrm1	181	ENSLOCG00000013747	42463980	LG3	2105
LOC116939299	24707298	chrm1	182	ENSLOCG00000012858	38271522	LG3	2036
EFL1	24799011	chrm1	183	ENSLOCG00000012862	38397464	LG3	2037
LOC116939322	24945888	chrm1	184	ENSLOCG00000012874	38567400	LG3	2039
LOC116939350	24962162	chrm1	185	ENSLOCG00000017944	38597497	LG3	2040
LOC116939433	25221757	chrm1	188	ENSLOCG00000012906	38718792	LG3	2042
MTFMT	25236466	chrm1	189	ENSLOCG00000014123	44721240	LG3	2149
CILP	25272376	chrm1	191	ENSLOCG00000013772	42585414	LG3	2109
ADAMTS17	26061920	chrm1	193	ENSLOCG00000012754	37373352	LG3	2028
LOC116939529	26105622	chrm1	194	ENSLOCG00000012763	37554719	LG3	2029
PARP16	26454551	chrm1	199	ENSLOCG00000013778	42622955	LG3	2110
TMC3	26473897	chrm1	201	ENSLOCG00000012848	38045677	LG3	2035
RPL4	26510990	chrm1	202	ENSLOCG00000013867	43104359	LG3	2119
IQCH	26558918	chrm1	203	ENSLOCG00000013914	43371439	LG3	2123
C1H15orf61	26632555	chrm1	204	ENSLOCG00000013920	43411493	LG3	2125
MAP2K5	26648874	chrm1	205	ENSLOCG00000013923	43417898	LG3	2126
SKOR1	26830094	chrm1	206	ENSLOCG00000013929	43511736	LG3	2127
LOC116939791	26977369	chrm1	210	ENSLOCG00000013933	43548857	LG3	2128
ITGA11	27289784	chrm1	213	ENSLOCG00000013952	43652078	LG3	2130
CORO2B	27301933	chrm1	214	ENSLOCG00000013967	43681406	LG3	2131
NOX5	27355551	chrm1	216	ENSLOCG00000013975	43754369	LG3	2132
SMAD6	27470622	chrm1	218	ENSLOCG00000013892	43224956	LG3	2121
SMAD3	27520712	chrm1	219	ENSLOCG00000013897	43332415	LG3	2122
LOC116939960	27622873	chrm1	220	ENSLOCG00000012998	39003210	LG3	2048
LOC116939973	27773102	chrm1	221	ENSLOCG00000013010	39029228	LG3	2049
GABPB1	27808332	chrm1	222	ENSLOCG00000013022	39047856	LG3	2051
KIF23	27814017	chrm1	223	ENSLOCG00000013995	43891178	LG3	2135
LOC116940031	28174997	chrm1	226	ENSLOCG00000014022	44192166	LG3	2136
LOC116940048	28253992	chrm1	227	ENSLOCG00000017946	44258528	LG3	2138
SPG11	28387734	chrm1	228	ENSLOCG00000014059	44369807	LG3	2141
EIF3J	28507008	chrm1	229	ENSLOCG00000013769	42568967	LG3	2108
LOC116940086	28520877	chrm1	230	ENSLOCG00000014250	45333900	LG3	2165
LOC116940099	28715177	chrm1	231	ENSLOCG00000014408	49433423	LG3	2188
LOC116940176	29227831	chrm1	233	ENSLOCG00000015114	56313612	LG3	2280
RLBP1	29463248	chrm1	236	ENSLOCG00000014238	45290491	LG3	2163
LOC116940231	29515247	chrm1	238	ENSLOCG00000014478	49859040	LG3	2192
LOC116941889	29545579	chrm1	239	ENSLOCG00000014462	49818097	LG3	2191
LOC116940251	29603534	chrm1	241	ENSLOCG00000014321	47442873	LG3	2179
LOC116940280	29885954	chrm1	243	ENSLOCG00000012817	37889980	LG3	2032
LOC116940290	29917988	chrm1	244	ENSLOCG00000012806	37854034	LG3	2031
STARD5	30165527	chrm1	246	ENSLOCG00000012843	38020980	LG3	2034
LOC116940317	30193273	chrm1	248	ENSLOCG00000013574	41576052	LG3	2090
LOC116940325	30310842	chrm1	250	ENSLOCG00000013987	43870691	LG3	2134
LRRC49	30455038	chrm1	255	ENSLOCG00000014584	51606825	LG3	2206
THSD4	30530077	chrm1	256	ENSLOCG00000014576	51464772	LG3	2205
LOC116940461	30896455	chrm1	260	ENSLOCG00000014294	47178487	LG3	2176
LOC116940492	31114745	chrm1	262	ENSLOCG00000014289	47125909	LG3	2175
REC114	31147033	chrm1	263	ENSLOCG00000014550	51102839	LG3	2201
LOC116940524	31153223	chrm1	264	ENSLOCG00000014551	51105978	LG3	2202
ADAL	31304686	chrm1	266	ENSLOCG00000014596	51666783	LG3	2207
GALK2	31328317	chrm1	268	ENSLOCG00000013168	39408756	LG3	2060
KTI12	31418265	chrm1	270	ENSLOCG00000014679	52391204	LG3	2220
LOC116940607	31456415	chrm1	271	ENSLOCG00000015133	56395388	LG3	2284
TMEM266	31525117	chrm1	273	ENSLOCG00000014719	52729162	LG3	2227
TRIP4	32279143	chrm1	274	ENSLOCG00000014993	55410085	LG3	2259
TIPIN	32412210	chrm1	276	ENSLOCG00000013854	43076154	LG3	2118
DIS3L	32435676	chrm1	277	ENSLOCG00000013846	43048841	LG3	2117
GATM	32446727	chrm1	278	ENSLOCG00000012986	38984134	LG3	2047
POLG	32891416	chrm1	282	ENSLOCG00000014557	51233018	LG3	2203
FANCI	32935025	chrm1	283	ENSLOCG00000014566	51273375	LG3	2204
LOC116940949	33260808	chrm1	287	ENSLOCG00000013042	39131419	LG3	2052
LOC116941023	33413110	chrm1	291	ENSLOCG00000017958	53638034	LG3	2236
LOC116941057	33488803	chrm1	294	ENSLOCG00000013583	41581509	LG3	2091
MAN2A2	33565844	chrm1	296	ENSLOCG00000015097	56131917	LG3	2276
CIB1	33680726	chrm1	297	ENSLOCG00000015112	56167660	LG3	2278
LOC116941201	33788320	chrm1	299	ENSLOCG00000012948	38803698	LG3	2045
CPEB1	33987654	chrm1	303	ENSLOCG00000015009	55595293	LG3	2262
LOC116941318	34012085	chrm1	304	ENSLOCG00000015007	55567327	LG3	2261
LOC116941330	34066378	chrm1	307	ENSLOCG00000012962	38866127	LG3	2046
LOC116941336	34119659	chrm1	308	ENSLOCG00000017957	53529029	LG3	2234
SPAG6	5686635	chrm1	28	ENSLOCG00000011816	36147897	LG9	2570
LOC116941378	1230151	chrm1	7	ENSLOCG00000014482	50859016	LG5	3210
LOC116942562	6231905	chrm1	31	ENSLOCG00000012224	34247728	LG5	3029
LOC116942769	8180460	chrm1	41	ENSLOCG00000012083	33684596	LG5	3021
LOC116946637	14296058	chrm1	87	ENSLOCG00000006347	9157784	LG5	2771
CCDC87	33456736	chrm1	292	ENSLOCG00000015160	2104294	LG8	3703
LOC116950944	444162	chrm1	4	ENSLOCG00000002509	2386721	LG10	4162
CMPK1	1462744	chrm1	9	ENSLOCG00000010183	25781279	LG10	4389
LOC116942196	8930419	chrm1	43	ENSLOCG00000008424	15812025	LG10	4324
LOC116942342	9218378	chrm1	45	ENSLOCG00000005502	8020511	LG10	4246
WLS	9724355	chrm1	50	ENSLOCG00000004552	6302244	LG10	4216
LOC116943122	9828180	chrm1	51	ENSLOCG00000009849	24205744	LG10	4371
LOC116943204	9886484	chrm1	52	ENSLOCG00000003852	4608468	LG10	4197
CLCC1	11641997	chrm1	59	ENSLOCG00000007765	13047357	LG10	4305
LOC116943518	12572054	chrm1	64	ENSLOCG00000006104	9018404	LG10	4258
OSBPL9	12975464	chrm1	68	ENSLOCG00000009802	24012624	LG10	4369
TSPAN1	13014399	chrm1	69	ENSLOCG00000005739	8369288	LG10	4250
LOC116941637	13070057	chrm1	70	ENSLOCG00000005900	8846812	LG10	4253
LOC116941656	13191493	chrm1	73	ENSLOCG00000007038	10654933	LG10	4283
DPYD	14017660	chrm1	78	ENSLOCG00000008253	14830289	LG10	4319
SLC5A9	20925187	chrm1	130	ENSLOCG00000009664	23298957	LG10	4366
ABCD3	21015210	chrm1	131	ENSLOCG00000008096	14260192	LG10	4313
LOC116941733	21200567	chrm1	135	ENSLOCG00000004020	4864605	LG10	4201
ATPAF1	21254573	chrm1	136	ENSLOCG00000009121	20666690	LG10	4343
AGL	21328055	chrm1	137	ENSLOCG00000001098	78552	LG10	4127
ALG6	21509322	chrm1	142	ENSLOCG00000006645	9893515	LG10	4277
MED8	21517396	chrm1	143	ENSLOCG00000004404	5872982	LG10	4213
SZT2	21518538	chrm1	144	ENSLOCG00000004364	5872493	LG10	4212
PODN	21925015	chrm1	145	ENSLOCG00000006181	9066770	LG10	4262
LOC116943714	22165780	chrm1	148	ENSLOCG00000008324	15084284	LG10	4322
LOC116943781	22240977	chrm1	149	ENSLOCG00000010537	26655893	LG10	4411
LOC116943769	22507789	chrm1	150	ENSLOCG00000008142	14287684	LG10	4314
WDR63	22580775	chrm1	153	ENSLOCG00000005471	8019848	LG10	4245
LOC116943692	22753882	chrm1	158	ENSLOCG00000009522	22802432	LG10	4359
CTH	22811149	chrm1	161	ENSLOCG00000010025	25296721	LG10	4380
LOC116938817	23014551	chrm1	164	ENSLOCG00000006392	9367214	LG10	4269
FAF1	23057953	chrm1	165	ENSLOCG00000009388	22318833	LG10	4354
LOC116938836	23115544	chrm1	167	ENSLOCG00000008845	19346978	LG10	4334
LOC116941559	10189431	chrm1	53	ENSLOCG00000004361	10661968	LG11	4716
LOC116943105	210173	chrm1	2	ENSLOCG00000018298	17009771	LG6	5202
LOC116942168	969932	chrm1	6	ENSLOCG00000006954	13737088	LG6	5173
LOC116944907	11540756	chrm1	57	ENSLOCG00000009997	24752461	LG6	5253
WDR83OS	12561066	chrm1	63	ENSLOCG00000006415	12953836	LG6	5165
LOC116943443	13847753	chrm1	76	ENSLOCG00000009944	24452081	LG6	5249
ELOF1	14133625	chrm1	82	ENSLOCG00000008159	16667059	LG6	5201
NDUFB7	21015641	chrm1	132	ENSLOCG00000009951	24515833	LG6	5250
RNASEH2A	21486354	chrm1	141	ENSLOCG00000007890	16086503	LG6	5193
LOC116938777	22030744	chrm1	146	ENSLOCG00000007698	15727168	LG6	5187
TMEM205	22545157	chrm1	151	ENSLOCG00000008148	16660555	LG6	5200
TRAPPC5	22546251	chrm1	152	ENSLOCG00000006678	13397020	LG6	5170
DCAF15	22714605	chrm1	157	ENSLOCG00000006211	12804696	LG6	5160
WDR83	22807849	chrm1	160	ENSLOCG00000006399	12952934	LG6	5164
DHPS	22893749	chrm1	162	ENSLOCG00000006119	12724208	LG6	5159
LOC116938869	23064763	chrm1	166	ENSLOCG00000007768	15860024	LG6	5190
LOC116941350	34228338	chrm1	310	ENSLOCG00000009457	22066672	LG6	5233
LOC116939609	26400849	chrm1	196	ENSLOCG00000007869	16961105	LG12	5543
LOC116939538	26209811	chrm1	195	ENSLOCG00000009739	27235418	LG17	5946
PSMD2	9603153	chrm1	47	ENSLOCG00000008710	17502058	LG14	6195
LOC116938684	21484046	chrm1	140	ENSLOCG00000004423	8860781	LG21	7536
ZCCHC8	1743097	chrm1	15	ENSLOCG00000005425	7313647	LG20	7707
USP30	6404516	chrm1	33	ENSLOCG00000004518	6169797	LG20	7681
LOC116942990	6444757	chrm1	34	ENSLOCG00000007734	11469659	LG20	7781
PES1	6631737	chrm1	35	ENSLOCG00000003935	5612900	LG20	7667
TCTN1	7276043	chrm1	37	ENSLOCG00000007337	10311124	LG20	7769
VPS29	7325677	chrm1	38	ENSLOCG00000007274	10268880	LG20	7766
ARPC3	7410152	chrm1	39	ENSLOCG00000007235	10249633	LG20	7764
LOC116942036	1731566	chrm1	13	ENSLOCG00000002745	3006170	LG22	8145
RPAIN	1741692	chrm1	14	ENSLOCG00000002804	3042985	LG22	8147
MRPS23	6217541	chrm1	30	ENSLOCG00000004663	6345815	LG22	8204
LOC116942706	6321765	chrm1	32	ENSLOCG00000005790	9067696	LG22	8239
ERAL1	7275673	chrm1	36	ENSLOCG00000003302	3775802	LG22	8160
PIGW	11172829	chrm1	56	ENSLOCG00000017424	3665921	LG22	8157
LOC116942309	10227556	chrm1	54	ENSLOCG00000011546	658048	LG15	8297
LOC116944195	313933	chrm1	3	ENSLOCG00000001129	1998605	LG19	8421
R3HDM4	929030	chrm1	5	ENSLOCG00000002423	4104014	LG19	8450
LOC116942824	11172480	chrm1	55	ENSLOCG00000005835	8498505	LG19	8532
MED16	13799266	chrm1	75	ENSLOCG00000001808	3379679	LG19	8435
LOC116943537	13902644	chrm1	77	ENSLOCG00000003428	5055900	LG19	8474
WDR18	14042085	chrm1	80	ENSLOCG00000001858	3530684	LG19	8437
ACER1	19012382	chrm1	115	ENSLOCG00000001026	1862444	LG19	8420
LOC116957900	19670992	chrm1	119	ENSLOCG00000003523	5120743	LG19	8476
LOC116938518	20458316	chrm1	125	ENSLOCG00000004047	5735012	LG19	8487
FAM32A	21110686	chrm1	134	ENSLOCG00000003843	5510404	LG19	8481
CACTIN	22630604	chrm1	154	ENSLOCG00000006566	9543764	LG19	8537
DOT1L	22676314	chrm1	155	ENSLOCG00000005809	8450743	LG19	8531
KEAP1	22796246	chrm1	159	ENSLOCG00000005625	8272842	LG19	8527
LOC116938981	23292208	chrm1	169	ENSLOCG00000005094	7497240	LG19	8516
LOC116939623	26410514	chrm1	197	ENSLOCG00000004919	7091569	LG19	8508
ARMC6	26437872	chrm1	198	ENSLOCG00000004866	7040372	LG19	8506
RNF115	27171114	chrm1	212	ENSLOCG00000005159	7541912	LG19	8517
SLC25A42	29142541	chrm1	232	ENSLOCG00000004848	7031752	LG19	8505
ISYNA1	29603505	chrm1	240	ENSLOCG00000005587	8143805	LG19	8526
NDUFA13	30276390	chrm1	249	ENSLOCG00000004936	7114336	LG19	8510
POLRMT	31302401	chrm1	265	ENSLOCG00000005222	7681467	LG19	8519
FGF10	31365456	chrm1	269	ENSLOCG00000005240	7693583	LG19	8520
LOC116940748	32326650	chrm1	275	ENSLOCG00000001228	2131406	LG19	8424
SPPL2B	33240497	chrm1	286	ENSLOCG00000004334	6227797	LG19	8492
LOC116940997	33326078	chrm1	288	ENSLOCG00000003973	5648290	LG19	8484
LOC116941327	34051747	chrm1	306	ENSLOCG00000006393	9350591	LG19	8534
LOC116941391	1535597	chrm1	11	ENSLOCG00000007878	6767817	LG24	8607
LOC116943050	9510958	chrm1	46	ENSLOCG00000007440	5869695	LG24	8597
POLR3GL	15955667	chrm1	98	ENSLOCG00000008195	7350275	LG24	8615
LOC116952394	17090195	chrm1	103	ENSLOCG00000008314	7498060	LG24	8616
LOC116951546	17279703	chrm1	104	ENSLOCG00000007268	5655311	LG24	8595
LRRC71	17820557	chrm1	106	ENSLOCG00000006658	5019147	LG24	8583
LOC116938511	20384577	chrm1	124	ENSLOCG00000008426	7723306	LG24	8620
RBM8A	23836449	chrm1	173	ENSLOCG00000009082	9418486	LG24	8632
NAXE	25246364	chrm1	190	ENSLOCG00000008812	8472805	LG24	8627
DCST2	26917921	chrm1	207	ENSLOCG00000005838	4129534	LG24	8573
POLR3C	27170319	chrm1	211	ENSLOCG00000006400	4662972	LG24	8580
SMG5	27833299	chrm1	224	ENSLOCG00000008380	7647947	LG24	8619
GPATCH4	29486542	chrm1	237	ENSLOCG00000008820	8485426	LG24	8628
HAX1	30165835	chrm1	247	ENSLOCG00000007563	6082647	LG24	8599
FDPS	30440983	chrm1	253	ENSLOCG00000006319	4579727	LG24	8576
LAMTOR2	32935122	chrm1	284	ENSLOCG00000008891	8701949	LG24	8629
VPS45	33480729	chrm1	293	ENSLOCG00000008558	7868481	LG24	8623
SNX27	33843409	chrm1	301	ENSLOCG00000006767	5127077	LG24	8585
PRUNE1	34132729	chrm1	309	ENSLOCG00000007674	6229679	LG24	8601
RPS26	2604940	chrm2	316	ENSLOCG00000007743	18913415	LG4	146
MYG1	6876135	chrm2	336	ENSLOCG00000005545	14256738	LG4	111
LOC116946258	10933633	chrm2	364	ENSLOCG00000006240	15672052	LG4	120
LOC116946470	11208043	chrm2	368	ENSLOCG00000004791	12690865	LG4	98
LOC116946880	12044053	chrm2	383	ENSLOCG00000007549	18451122	LG4	142
INPP1	14186494	chrm2	395	ENSLOCG00000004294	12095536	LG4	85
LOC116947751	15863794	chrm2	416	ENSLOCG00000005711	14545495	LG4	113
ANAPC4	17309995	chrm2	429	ENSLOCG00000014055	72359364	LG4	505
LOC116948785	19528200	chrm2	460	ENSLOCG00000006627	16284337	LG4	125
WNT1	20893444	chrm2	467	ENSLOCG00000007786	18944184	LG4	148
LOC116948512	18940899	chrm2	449	ENSLOCG00000002054	4573552	LG2	1168
UGCG	19405245	chrm2	458	ENSLOCG00000002974	7538634	LG2	1194
LOC116947353	14521160	chrm2	404	ENSLOCG00000014493	49883538	LG3	2193
LOC116948489	18885206	chrm2	447	ENSLOCG00000007778	12671192	LG3	1857
LOC116944895	3342779	chrm2	319	ENSLOCG00000007357	15223533	LG9	2398
BLVRA	4652420	chrm2	325	ENSLOCG00000010720	30390996	LG9	2515
MPP7	5384758	chrm2	329	ENSLOCG00000007418	15545882	LG9	2401
UBE3C	7276330	chrm2	339	ENSLOCG00000012433	41239703	LG9	2601
LOC116945622	7678870	chrm2	342	ENSLOCG00000012490	41652724	LG9	2605
LOC116945647	7990350	chrm2	344	ENSLOCG00000012511	41888419	LG9	2607
LOC116945657	8100284	chrm2	345	ENSLOCG00000012517	41930671	LG9	2608
KMT2C	9031010	chrm2	347	ENSLOCG00000012568	42550431	LG9	2610
GALNT11	9149968	chrm2	348	ENSLOCG00000012580	42736209	LG9	2611
LOC103091728	9160954	chrm2	349	ENSLOCG00000012585	42751026	LG9	2612
LOC116945815	9219963	chrm2	350	ENSLOCG00000010004	27254443	LG9	2486
CRYGN	9243867	chrm2	351	ENSLOCG00000009994	27190097	LG9	2485
SVIL	9323562	chrm2	352	ENSLOCG00000007278	15048703	LG9	2397
FASTK	10985377	chrm2	365	ENSLOCG00000010214	28246588	LG9	2495
LOC116946382	10996343	chrm2	366	ENSLOCG00000009358	22741163	LG9	2462
ASB10	11171209	chrm2	367	ENSLOCG00000009338	22419582	LG9	2461
LOC116946504	11322050	chrm2	372	ENSLOCG00000013571	52967732	LG9	2678
BAG1	11424172	chrm2	373	ENSLOCG00000011163	32623850	LG9	2538
NFX1	11456135	chrm2	375	ENSLOCG00000011211	32727723	LG9	2540
KLHL18	13066968	chrm2	386	ENSLOCG00000010189	28143361	LG9	2494
LOC116946982	13146518	chrm2	388	ENSLOCG00000010245	28424276	LG9	2496
LOC116947221	14306309	chrm2	396	ENSLOCG00000012732	43909835	LG9	2618
LOC116947393	14703112	chrm2	406	ENSLOCG00000009059	20336717	LG9	2451
LOC116947432	14877544	chrm2	407	ENSLOCG00000007606	16037336	LG9	2407
MASTL	14895577	chrm2	409	ENSLOCG00000007561	15998011	LG9	2406
LOC116947668	15335544	chrm2	413	ENSLOCG00000011353	33778759	LG9	2548
LOC116947838	16319083	chrm2	418	ENSLOCG00000013080	48988191	LG9	2640
