s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi	clg	clg2
BL01576	10047484	BFL_1	266	ENSLOCG00000016698	44464413	LG1	785	A	A
BL01569	10141006	BFL_1	269	ENSLOCG00000015920	18244447	LG1	604	A	A
BL01562	10197774	BFL_1	270	ENSLOCG00000015921	18266881	LG1	605	A	A
BL01546	10367657	BFL_1	275	ENSLOCG00000017240	64970801	LG1	953	A	A
BL01536	10503507	BFL_1	281	ENSLOCG00000016787	46316088	LG1	800	A	A
BL01527	10664382	BFL_1	283	ENSLOCG00000016440	34108525	LG1	719	A	A
BL01517	10713534	BFL_1	285	ENSLOCG00000016780	46001393	LG1	797	A	A
BL01509	10796380	BFL_1	291	ENSLOCG00000016882	51096180	LG1	827	A	A
BL01507	10808200	BFL_1	293	ENSLOCG00000016881	50979494	LG1	826	A	A
BL01504	10836828	BFL_1	296	ENSLOCG00000016785	46139299	LG1	798	A	A
BL01465	11435534	BFL_1	312	ENSLOCG00000016389	31556740	LG1	701	A	A
BL01457	11545157	BFL_1	316	ENSLOCG00000015532	11523810	LG1	542	A	A
BL01408	12179288	BFL_1	346	ENSLOCG00000016402	32101316	LG1	709	A	A
BL01407	12203909	BFL_1	347	ENSLOCG00000015754	14503867	LG1	566	A	A
BL01396	12291874	BFL_1	349	ENSLOCG00000016364	31059980	LG1	698	A	A
BL01379	12485650	BFL_1	355	ENSLOCG00000016352	30679894	LG1	691	A	A
BL01353	12781208	BFL_1	371	ENSLOCG00000016358	30901986	LG1	696	A	A
BL01352	12789655	BFL_1	372	ENSLOCG00000016359	30902488	LG1	697	A	A
BL01329	13264488	BFL_1	383	ENSLOCG00000018009	51316662	LG1	828	A	A
BL01326	13345907	BFL_1	385	ENSLOCG00000016158	25236309	LG1	646	A	A
BL01305	13697900	BFL_1	399	ENSLOCG00000016008	20133406	LG1	621	A	A
BL01303	13706847	BFL_1	401	ENSLOCG00000016448	34658103	LG1	721	A	A
BL01299	13726700	BFL_1	405	ENSLOCG00000016010	20183266	LG1	622	A	A
BL01283	13950100	BFL_1	410	ENSLOCG00000016044	21078139	LG1	628	A	A
BL01245	14537464	BFL_1	431	ENSLOCG00000016356	30759206	LG1	694	A	A
BL01232	14729581	BFL_1	438	ENSLOCG00000016399	32012680	LG1	706	A	A
BL01220	14822455	BFL_1	446	ENSLOCG00000017036	56824884	LG1	876	A	A
BL01217	14855086	BFL_1	449	ENSLOCG00000016655	43153142	LG1	773	A	A
BL01212	14925063	BFL_1	451	ENSLOCG00000017047	56948584	LG1	879	A	A
BL01207	15057301	BFL_1	455	ENSLOCG00000016865	50371780	LG1	820	A	A
BL01195	15140770	BFL_1	459	ENSLOCG00000016840	49404587	LG1	813	A	A
BL01190	15239994	BFL_1	461	ENSLOCG00000016786	46306254	LG1	799	A	A
BL01186	15271340	BFL_1	462	ENSLOCG00000016860	50222192	LG1	817	A	A
BL01185	15278295	BFL_1	463	ENSLOCG00000016863	50251525	LG1	818	A	A
BL01168	15512872	BFL_1	470	ENSLOCG00000017052	57483200	LG1	880	A	A
BL01165	15544294	BFL_1	472	ENSLOCG00000016199	26323706	LG1	655	A	A
BL01164	15584951	BFL_1	473	ENSLOCG00000017009	56190241	LG1	871	A	A
BL01160	15604535	BFL_1	474	ENSLOCG00000016203	26488447	LG1	657	A	A
BL01159	15620755	BFL_1	475	ENSLOCG00000016202	26431306	LG1	656	A	A
BL01154	15691287	BFL_1	477	ENSLOCG00000016890	51395066	LG1	831	A	A
BL01137	15813990	BFL_1	486	ENSLOCG00000016424	32658103	LG1	714	A	A
BL01112	16186524	BFL_1	495	ENSLOCG00000015798	15085840	LG1	578	A	A
BL01110	16217342	BFL_1	496	ENSLOCG00000016449	34675268	LG1	722	A	A
BL01105	16312973	BFL_1	500	ENSLOCG00000016414	32582712	LG1	711	A	A
BL01075	16702008	BFL_1	511	ENSLOCG00000016357	30862888	LG1	695	A	A
BL01047	17270908	BFL_1	524	ENSLOCG00000014358	383830	LG1	446	A	A
BL01045	17286598	BFL_1	525	ENSLOCG00000015705	13787360	LG1	560	A	A
BL01026	17538063	BFL_1	534	ENSLOCG00000016870	50413251	LG1	822	A	A
BL00999	18023547	BFL_1	549	ENSLOCG00000016864	50253429	LG1	819	A	A
BL00976	18323842	BFL_1	558	ENSLOCG00000017163	60748777	LG1	916	A	A
BL00973	18413241	BFL_1	561	ENSLOCG00000017165	60815747	LG1	917	A	A
BL00961	18503297	BFL_1	569	ENSLOCG00000016060	21575452	LG1	631	A	A
BL00960	18509650	BFL_1	570	ENSLOCG00000016058	21575217	LG1	630	A	A
BL00955	18618372	BFL_1	572	ENSLOCG00000016272	28246884	LG1	678	A	A
BL00901	19652187	BFL_1	588	ENSLOCG00000015762	14562927	LG1	569	A	A
BL00890	19799635	BFL_1	594	ENSLOCG00000016416	32583707	LG1	712	A	A
BL00875	20079003	BFL_1	600	ENSLOCG00000016867	50373270	LG1	821	A	A
BL00872	20133071	BFL_1	603	ENSLOCG00000017167	60829281	LG1	918	A	A
BL00853	20438743	BFL_1	606	ENSLOCG00000017171	60999009	LG1	919	A	A
BL14658	23112969	BFL_1	636	ENSLOCG00000015694	13581029	LG1	558	A	A
BL14680	23629518	BFL_1	654	ENSLOCG00000015938	18830151	LG1	609	A	A
BL14693	23807078	BFL_1	662	ENSLOCG00000017102	59293493	LG1	897	A	A
BL14702	23931732	BFL_1	669	ENSLOCG00000016410	32478359	LG1	710	A	A
BL14706	23964568	BFL_1	671	ENSLOCG00000016396	31946976	LG1	704	A	A
BL22475	26490545	BFL_1	708	ENSLOCG00000016874	50922736	LG1	825	A	A
BL22476	26578955	BFL_1	709	ENSLOCG00000016873	50864926	LG1	824	A	A
BL22479	26633106	BFL_1	710	ENSLOCG00000016872	50800041	LG1	823	A	A
BL22488	26795888	BFL_1	713	ENSLOCG00000017099	58874176	LG1	896	A	A
BL00667	28165828	BFL_1	741	ENSLOCG00000016691	44116086	LG1	784	A	A
BL00653	28414165	BFL_1	746	ENSLOCG00000016039	20643782	LG1	627	A	A
BL00620	29200859	BFL_1	755	ENSLOCG00000017033	56799183	LG1	875	A	A
BL00607	29420111	BFL_1	762	ENSLOCG00000016401	32052012	LG1	708	A	A
BL00590	29684401	BFL_1	769	ENSLOCG00000015903	17845962	LG1	601	A	A
BL00589	29710168	BFL_1	770	ENSLOCG00000015905	17919447	LG1	602	A	A
BL00587	29742939	BFL_1	771	ENSLOCG00000015911	18022289	LG1	603	A	A
BL06802	31333282	BFL_1	775	ENSLOCG00000015790	14988036	LG1	576	A	A
BL08270	34567723	BFL_1	786	ENSLOCG00000016021	20398403	LG1	624	A	A
BL13020	303538	BFL_1	3	ENSLOCG00000014598	65115122	LG2	1452	A	A
BL13019	305728	BFL_1	4	ENSLOCG00000014601	65115763	LG2	1453	A	A
BL14189	1646977	BFL_1	26	ENSLOCG00000014336	62935662	LG2	1437	A	A
BL25519	3611931	BFL_1	54	ENSLOCG00000004186	10669126	LG2	1042	A	A
BL25511	3756698	BFL_1	56	ENSLOCG00000014611	65186644	LG2	1455	A	A
BL25503	3865953	BFL_1	62	ENSLOCG00000014236	62399940	LG2	1431	A	A
BL01980	4311448	BFL_1	72	ENSLOCG00000014662	66465642	LG2	1460	A	A
BL01935	4902902	BFL_1	98	ENSLOCG00000014888	68210852	LG2	1484	A	A
BL01913	5523209	BFL_1	113	ENSLOCG00000013087	57232313	LG2	1369	A	A
BL01879	5928991	BFL_1	124	ENSLOCG00000014856	67911542	LG2	1482	A	A
BL01866	6124184	BFL_1	131	ENSLOCG00000014375	63213373	LG2	1439	A	A
BL01858	6206578	BFL_1	136	ENSLOCG00000014833	67757720	LG2	1478	A	A
BL01848	6367657	BFL_1	143	ENSLOCG00000014771	67249481	LG2	1470	A	A
BL01779	7100504	BFL_1	168	ENSLOCG00000014857	67959160	LG2	1483	A	A
BL01748	7708784	BFL_1	182	ENSLOCG00000014843	67786788	LG2	1479	A	A
BL01739	7819197	BFL_1	190	ENSLOCG00000014228	62354862	LG2	1429	A	A
BL01633	9207084	BFL_1	237	ENSLOCG00000014226	62341833	LG2	1428	A	A
BL01610	9510118	BFL_1	248	ENSLOCG00000014282	62629687	LG2	1432	A	A
BL01606	9541869	BFL_1	251	ENSLOCG00000014846	67796746	LG2	1480	A	A
BL01548	10340510	BFL_1	273	ENSLOCG00000014371	63147830	LG2	1438	A	A
BL01516	10739676	BFL_1	286	ENSLOCG00000014664	66474148	LG2	1461	A	A
BL01508	10800528	BFL_1	292	ENSLOCG00000014292	62644255	LG2	1434	A	A
BL01502	10867915	BFL_1	297	ENSLOCG00000014311	62753297	LG2	1436	A	A
BL01498	10931892	BFL_1	299	ENSLOCG00000017524	13975876	LG2	1074	A	A
BL01429	11798270	BFL_1	334	ENSLOCG00000014197	62174981	LG2	1423	A	A
BL01415	12119288	BFL_1	340	ENSLOCG00000014892	68237026	LG2	1485	A	A
BL01410	12167685	BFL_1	344	ENSLOCG00000014696	66615917	LG2	1463	A	A
BL01406	12213086	BFL_1	348	ENSLOCG00000014690	66574739	LG2	1462	A	A
BL01373	12534001	BFL_1	357	ENSLOCG00000008332	26086722	LG2	1156	A	A
BL01344	12998881	BFL_1	379	ENSLOCG00000014604	65133093	LG2	1454	A	A
BL01311	13565341	BFL_1	395	ENSLOCG00000014743	67102106	LG2	1468	A	A
BL01301	13720935	BFL_1	403	ENSLOCG00000014626	66297387	LG2	1457	A	A
BL01269	14209457	BFL_1	418	ENSLOCG00000017724	67666685	LG2	1476	A	A
BL01263	14291808	BFL_1	420	ENSLOCG00000014383	63261422	LG2	1440	A	A
BL01219	14835971	BFL_1	447	ENSLOCG00000014527	64064713	LG2	1447	A	A
BL01175	15438877	BFL_1	468	ENSLOCG00000014709	66765739	LG2	1466	A	A
BL01014	17677770	BFL_1	539	ENSLOCG00000014303	62673934	LG2	1435	A	A
BL01012	17694465	BFL_1	541	ENSLOCG00000014212	62258240	LG2	1425	A	A
BL01005	17865167	BFL_1	545	ENSLOCG00000010725	43174723	LG2	1251	A	A
BL00968	18440192	BFL_1	565	ENSLOCG00000003212	7904155	LG2	1019	A	A
BL00967	18446908	BFL_1	566	ENSLOCG00000014818	67642981	LG2	1475	A	A
BL00898	19704159	BFL_1	590	ENSLOCG00000014813	67635727	LG2	1474	A	A
BL14674	23549189	BFL_1	648	ENSLOCG00000017553	58732607	LG2	1382	A	A
BL14700	23895688	BFL_1	668	ENSLOCG00000014178	62013158	LG2	1420	A	A
BL22389	24680874	BFL_1	679	ENSLOCG00000014217	62296625	LG2	1426	A	A
BL22423	25452696	BFL_1	697	ENSLOCG00000014647	66408318	LG2	1458	A	A
BL00698	27614550	BFL_1	726	ENSLOCG00000014233	62388978	LG2	1430	A	A
BL00612	29306223	BFL_1	757	ENSLOCG00000014761	67182374	LG2	1469	A	A
BL08259	34790567	BFL_1	787	ENSLOCG00000014810	67618492	LG2	1473	A	A
BL24632	35072575	BFL_1	791	ENSLOCG00000014163	61878501	LG2	1418	A	A
BL01943	4849785	BFL_1	93	ENSLOCG00000003064	4068894	LG3	1520	A	A
BL01927	5195827	BFL_1	106	ENSLOCG00000003015	3943359	LG3	1517	A	A
BL01925	5261953	BFL_1	107	ENSLOCG00000003031	4024878	LG3	1518	A	A
BL01875	5956043	BFL_1	128	ENSLOCG00000014461	49788164	LG3	1914	A	A
BL01662	8789722	BFL_1	224	ENSLOCG00000013474	41054670	LG3	1821	A	A
BL01466	11417698	BFL_1	311	ENSLOCG00000003056	4063163	LG3	1519	A	A
BL01387	12430836	BFL_1	354	ENSLOCG00000012824	37938920	LG3	1779	A	A
BL01179	15386042	BFL_1	466	ENSLOCG00000000838	236445	LG3	1487	A	A
BL01080	16654432	BFL_1	509	ENSLOCG00000005184	7151624	LG3	1565	A	A
BL01068	16805969	BFL_1	513	ENSLOCG00000012353	36307600	LG3	1757	A	A
BL01066	16888266	BFL_1	515	ENSLOCG00000004920	6616527	LG3	1557	A	A
BL01038	17386953	BFL_1	528	ENSLOCG00000002739	3713632	LG3	1513	A	A
BL00873	20125840	BFL_1	602	ENSLOCG00000017961	56167869	LG3	1984	A	A
BL00816	20990376	BFL_1	613	ENSLOCG00000009515	20685430	LG3	1680	A	A
BL00797	21398773	BFL_1	616	ENSLOCG00000014321	47442873	LG3	1906	A	A
BL14683	23659308	BFL_1	655	ENSLOCG00000003111	4152965	LG3	1521	A	A
BL22400	25000240	BFL_1	684	ENSLOCG00000007534	12029330	LG3	1615	A	A
BL22422	25440647	BFL_1	696	ENSLOCG00000009019	17991287	LG3	1670	A	A
BL00688	27866338	BFL_1	732	ENSLOCG00000004620	6063024	LG3	1550	A	A
BL00681	27958067	BFL_1	735	ENSLOCG00000007406	11809966	LG3	1612	A	A
BL00661	28261163	BFL_1	744	ENSLOCG00000002912	3924647	LG3	1516	A	A
BL00640	28727342	BFL_1	749	ENSLOCG00000011387	32888479	LG3	1730	A	A
BL00636	28803266	BFL_1	750	ENSLOCG00000004953	6808316	LG3	1558	A	A
BL25530	3435500	BFL_1	52	ENSLOCG00000012726	43907908	LG9	2267	A	A
BL01679	8483411	BFL_1	217	ENSLOCG00000001733	343773	LG9	1994	A	A
BL01521	10693668	BFL_1	284	ENSLOCG00000011436	34067093	LG9	2203	A	A
BL00774	22433808	BFL_1	626	ENSLOCG00000010686	30191280	LG9	2179	A	A
BL00678	28016662	BFL_1	738	ENSLOCG00000010277	28474679	LG9	2165	A	A
BL08283	34239228	BFL_1	783	ENSLOCG00000007517	15965194	LG9	2086	A	A
BL25508	3817268	BFL_1	59	ENSLOCG00000008830	16916934	LG5	2485	A	A
BL01982	4292330	BFL_1	70	ENSLOCG00000013125	40803251	LG5	2683	A	A
BL01930	5155186	BFL_1	103	ENSLOCG00000014062	47737330	LG5	2749	A	A
BL01929	5168047	BFL_1	104	ENSLOCG00000009958	21766480	LG5	2526	A	A
BL01737	7847053	BFL_1	191	ENSLOCG00000004344	5317665	LG5	2353	A	A
BL01572	10126876	BFL_1	268	ENSLOCG00000010575	25956554	LG5	2553	A	A
BL01489	11030598	BFL_1	302	ENSLOCG00000013968	46982440	LG5	2736	A	A
BL01472	11268641	BFL_1	309	ENSLOCG00000008385	15093768	LG5	2469	A	A
BL01274	14140920	BFL_1	415	ENSLOCG00000010786	26763403	LG5	2564	A	A
BL01117	16128432	BFL_1	492	ENSLOCG00000014416	50395708	LG5	2771	A	A
BL01063	17020908	BFL_1	516	ENSLOCG00000001796	1123100	LG5	2326	A	A
BL01055	17176254	BFL_1	519	ENSLOCG00000001891	1416408	LG5	2328	A	A
BL00694	27793355	BFL_1	728	ENSLOCG00000009434	18512441	LG5	2503	A	A
BL00689	27845503	BFL_1	731	ENSLOCG00000002124	1951701	LG5	2329	A	A
BL00686	27909217	BFL_1	733	ENSLOCG00000012743	37019189	LG5	2655	A	A
BL13021	288152	BFL_1	2	ENSLOCG00000009440	4583834	LG7	2836	A	A
BL13013	398613	BFL_1	6	ENSLOCG00000009320	4232254	LG7	2831	A	A
BL12991	725175	BFL_1	12	ENSLOCG00000014102	32565248	LG7	3073	A	A
BL12989	770991	BFL_1	13	ENSLOCG00000012707	15957788	LG7	2988	A	A
BL14196	1459694	BFL_1	23	ENSLOCG00000010387	8115519	LG7	2877	A	A
BL14185	1689541	BFL_1	29	ENSLOCG00000010710	8823037	LG7	2890	A	A
BL14179	1859395	BFL_1	32	ENSLOCG00000013032	17919874	LG7	3003	A	A
BL25563	2541686	BFL_1	38	ENSLOCG00000012605	15540060	LG7	2984	A	A
BL25559	2618895	BFL_1	40	ENSLOCG00000012587	15374692	LG7	2983	A	A
BL25554	2824976	BFL_1	43	ENSLOCG00000009529	5090583	LG7	2842	A	A
BL25552	2939916	BFL_1	44	ENSLOCG00000009512	4970818	LG7	2841	A	A
BL25547	3122875	BFL_1	46	ENSLOCG00000011145	9710948	LG7	2910	A	A
BL25535	3346734	BFL_1	50	ENSLOCG00000013123	18463274	LG7	3010	A	A
BL25512	3722920	BFL_1	55	ENSLOCG00000012086	12642638	LG7	2956	A	A
BL25510	3796207	BFL_1	57	ENSLOCG00000010934	9388181	LG7	2900	A	A
BL25509	3812262	BFL_1	58	ENSLOCG00000010928	9389563	LG7	2901	A	A
BL25505	3839632	BFL_1	60	ENSLOCG00000010949	9409338	LG7	2902	A	A
BL25504	3855107	BFL_1	61	ENSLOCG00000010967	9409395	LG7	2903	A	A
BL01998	3974437	BFL_1	65	ENSLOCG00000010360	8112601	LG7	2876	A	A
BL01995	4017672	BFL_1	66	ENSLOCG00000013252	18928760	LG7	3019	A	A
BL01994	4031546	BFL_1	67	ENSLOCG00000009284	3864758	LG7	2830	A	A
BL01992	4132914	BFL_1	69	ENSLOCG00000014201	35646050	LG7	3083	A	A
BL01981	4297562	BFL_1	71	ENSLOCG00000009234	3129500	LG7	2825	A	A
BL01977	4323329	BFL_1	73	ENSLOCG00000013510	19768566	LG7	3029	A	A
BL01974	4385422	BFL_1	76	ENSLOCG00000011256	10083899	LG7	2915	A	A
BL01968	4443125	BFL_1	77	ENSLOCG00000011272	10087349	LG7	2916	A	A
BL01964	4484983	BFL_1	80	ENSLOCG00000011524	11120315	LG7	2932	A	A
BL01958	4606215	BFL_1	85	ENSLOCG00000011626	11553435	LG7	2936	A	A
BL01947	4780232	BFL_1	90	ENSLOCG00000014136	34779397	LG7	3076	A	A
BL01936	4898053	BFL_1	97	ENSLOCG00000010649	8731996	LG7	2887	A	A
BL01933	4977289	BFL_1	100	ENSLOCG00000009727	5866610	LG7	2849	A	A
BL01921	5329739	BFL_1	109	ENSLOCG00000010860	9097389	LG7	2898	A	A
BL01920	5340038	BFL_1	110	ENSLOCG00000008557	389904	LG7	2794	A	A
BL01919	5349027	BFL_1	111	ENSLOCG00000011185	9805820	LG7	2911	A	A
BL01906	5638767	BFL_1	117	ENSLOCG00000014174	35462556	LG7	3080	A	A
BL01899	5703690	BFL_1	119	ENSLOCG00000011047	9521265	LG7	2905	A	A
BL01887	5798991	BFL_1	122	ENSLOCG00000011854	12007349	LG7	2945	A	A
BL01876	5948692	BFL_1	127	ENSLOCG00000014159	35401264	LG7	3078	A	A
BL01865	6130474	BFL_1	132	ENSLOCG00000012793	16457331	LG7	2993	A	A
BL01859	6193319	BFL_1	135	ENSLOCG00000009037	2835518	LG7	2816	A	A
BL01854	6241715	BFL_1	138	ENSLOCG00000009172	3064632	LG7	2821	A	A
BL01852	6254027	BFL_1	140	ENSLOCG00000009164	3038569	LG7	2820	A	A
BL01849	6340047	BFL_1	142	ENSLOCG00000008544	319654	LG7	2793	A	A
BL01829	6615547	BFL_1	149	ENSLOCG00000014027	31833940	LG7	3068	A	A
BL01828	6651476	BFL_1	150	ENSLOCG00000009267	3811362	LG7	2828	A	A
BL01821	6730136	BFL_1	156	ENSLOCG00000014066	32233579	LG7	3072	A	A
BL01817	6767562	BFL_1	157	ENSLOCG00000012333	14152719	LG7	2971	A	A
BL01814	6789611	BFL_1	159	ENSLOCG00000011282	10117252	LG7	2917	A	A
BL01812	6819913	BFL_1	160	ENSLOCG00000012925	17688400	LG7	2998	A	A
BL01795	6931966	BFL_1	163	ENSLOCG00000010882	9304348	LG7	2899	A	A
BL01790	7007552	BFL_1	164	ENSLOCG00000012106	12725404	LG7	2958	A	A
BL01782	7079367	BFL_1	165	ENSLOCG00000012096	12661243	LG7	2957	A	A
BL01780	7093959	BFL_1	167	ENSLOCG00000008664	1087222	LG7	2797	A	A
BL01774	7158129	BFL_1	171	ENSLOCG00000009992	6803936	LG7	2862	A	A
BL01771	7214670	BFL_1	173	ENSLOCG00000012123	12736963	LG7	2959	A	A
BL01768	7243793	BFL_1	174	ENSLOCG00000014196	35570005	LG7	3082	A	A
BL01761	7440473	BFL_1	176	ENSLOCG00000014035	31844690	LG7	3069	A	A
BL01756	7488569	BFL_1	178	ENSLOCG00000009008	2780503	LG7	2814	A	A
BL01747	7712033	BFL_1	183	ENSLOCG00000011393	10923767	LG7	2924	A	A
BL01743	7784550	BFL_1	187	ENSLOCG00000008442	44781	LG7	2790	A	A
BL01742	7796452	BFL_1	188	ENSLOCG00000008480	48048	LG7	2791	A	A
BL01733	7885113	BFL_1	193	ENSLOCG00000011893	12103235	LG7	2946	A	A
BL01732	7893146	BFL_1	194	ENSLOCG00000013016	17882893	LG7	3002	A	A
BL01728	7909746	BFL_1	195	ENSLOCG00000014187	35552244	LG7	3081	A	A
BL01725	7960065	BFL_1	197	ENSLOCG00000009415	4574783	LG7	2835	A	A
BL01714	8030952	BFL_1	201	ENSLOCG00000011835	11982052	LG7	2943	A	A
BL01709	8095012	BFL_1	204	ENSLOCG00000011444	10970996	LG7	2928	A	A
BL01708	8103870	BFL_1	205	ENSLOCG00000011434	10959237	LG7	2927	A	A
BL01675	8542274	BFL_1	218	ENSLOCG00000012229	13615276	LG7	2965	A	A
BL01673	8662504	BFL_1	219	ENSLOCG00000012223	13458551	LG7	2964	A	A
BL01668	8711236	BFL_1	220	ENSLOCG00000009191	3079041	LG7	2823	A	A
BL01667	8715126	BFL_1	221	ENSLOCG00000013540	19943785	LG7	3031	A	A
BL01651	8947578	BFL_1	228	ENSLOCG00000017716	18547451	LG7	3014	A	A
BL01649	8972271	BFL_1	229	ENSLOCG00000011361	10227183	LG7	2923	A	A
BL01640	9094920	BFL_1	232	ENSLOCG00000012304	14113998	LG7	2969	A	A
BL01621	9358290	BFL_1	242	ENSLOCG00000012153	12885488	LG7	2961	A	A
BL01620	9394683	BFL_1	243	ENSLOCG00000010427	8197466	LG7	2878	A	A
BL01618	9405738	BFL_1	244	ENSLOCG00000013144	18480008	LG7	3013	A	A
BL01617	9425800	BFL_1	245	ENSLOCG00000013139	18478842	LG7	3012	A	A
BL01611	9507134	BFL_1	247	ENSLOCG00000011844	11985377	LG7	2944	A	A
BL01596	9652213	BFL_1	259	ENSLOCG00000013291	19044306	LG7	3022	A	A
BL01594	9673800	BFL_1	260	ENSLOCG00000013365	19330417	LG7	3026	A	A
BL01582	9847795	BFL_1	263	ENSLOCG00000011982	12329189	LG7	2947	A	A
BL01577	9987096	BFL_1	265	ENSLOCG00000010687	8783603	LG7	2889	A	A
BL01575	10068624	BFL_1	267	ENSLOCG00000009400	4538346	LG7	2834	A	A
BL01561	10214914	BFL_1	271	ENSLOCG00000010563	8376985	LG7	2884	A	A
BL01547	10357525	BFL_1	274	ENSLOCG00000014125	32976056	LG7	3074	A	A
BL01539	10452759	BFL_1	278	ENSLOCG00000010036	6895160	LG7	2863	A	A
BL01534	10542091	BFL_1	282	ENSLOCG00000011806	11904961	LG7	2942	A	A
BL01514	10752539	BFL_1	287	ENSLOCG00000008734	1685395	LG7	2800	A	A
BL01513	10768553	BFL_1	288	ENSLOCG00000008714	1627289	LG7	2799	A	A
BL01512	10775773	BFL_1	289	ENSLOCG00000008698	1619857	LG7	2798	A	A
BL01511	10785501	BFL_1	290	ENSLOCG00000013081	18275322	LG7	3006	A	A
BL01506	10817555	BFL_1	294	ENSLOCG00000014003	31560523	LG7	3065	A	A
BL01490	11009208	BFL_1	301	ENSLOCG00000011454	10998890	LG7	2929	A	A
BL01487	11038631	BFL_1	303	ENSLOCG00000010222	7497380	LG7	2872	A	A
BL01484	11093963	BFL_1	304	ENSLOCG00000012520	15089872	LG7	2982	A	A
BL01479	11149025	BFL_1	306	ENSLOCG00000010048	6931495	LG7	2864	A	A
BL01478	11162528	BFL_1	307	ENSLOCG00000010060	6950538	LG7	2865	A	A
BL01475	11188577	BFL_1	308	ENSLOCG00000013346	19287648	LG7	3025	A	A
BL01455	11554697	BFL_1	318	ENSLOCG00000012721	16182592	LG7	2990	A	A
BL01454	11559237	BFL_1	319	ENSLOCG00000012719	16087752	LG7	2989	A	A
BL01450	11597505	BFL_1	321	ENSLOCG00000012703	15937262	LG7	2987	A	A
BL01449	11617920	BFL_1	322	ENSLOCG00000012891	17036668	LG7	2996	A	A
BL01447	11637264	BFL_1	323	ENSLOCG00000012497	15078705	LG7	2980	A	A
BL01437	11732439	BFL_1	328	ENSLOCG00000013516	19881336	LG7	3030	A	A
BL01426	11813230	BFL_1	335	ENSLOCG00000012064	12599325	LG7	2953	A	A
BL01425	11824315	BFL_1	336	ENSLOCG00000009968	6757265	LG7	2861	A	A
BL01416	12102891	BFL_1	339	ENSLOCG00000012618	15555209	LG7	2985	A	A
BL01362	12685544	BFL_1	365	ENSLOCG00000009469	4630527	LG7	2839	A	A
BL01357	12715694	BFL_1	369	ENSLOCG00000013011	17872628	LG7	3001	A	A
