s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
LOC116939244	24336258	chrm1	175	ENSGALG00000036511	1499114	10	5128
LOC116939299	24707298	chrm1	177	ENSGALG00000032984	12210958	10	5258
EFL1	24799011	chrm1	178	ENSGALG00000006225	12115836	10	5257
LOC116939322	24945888	chrm1	179	ENSGALG00000006104	12079843	10	5255
MTFMT	25236466	chrm1	182	ENSGALG00000007353	18223419	10	5292
ADAMTS17	26061920	chrm1	186	ENSGALG00000038688	17715273	10	5281
LOC116939529	26105622	chrm1	187	ENSGALG00000006519	13200860	10	5264
PARP16	26454551	chrm1	192	ENSGALG00000007365	18261676	10	5294
TMC3	26473897	chrm1	194	ENSGALG00000006376	12525265	10	5259
RPL4	26510990	chrm1	195	ENSGALG00000007711	18948763	10	5302
IQCH	26558918	chrm1	196	ENSGALG00000007909	19311291	10	5305
C1H15orf61	26632555	chrm1	197	ENSGALG00000028141	19374075	10	5306
MAP2K5	26648874	chrm1	198	ENSGALG00000007930	19374079	10	5307
SKOR1	26830094	chrm1	199	ENSGALG00000029521	19503831	10	5308
LOC116939791	26977369	chrm1	201	ENSGALG00000007970	19522397	10	5309
ITGA11	27289784	chrm1	203	ENSGALG00000008007	19629103	10	5311
CORO2B	27301933	chrm1	204	ENSGALG00000008043	19645368	10	5312
LOC116939853	27348515	chrm1	205	ENSGALG00000008054	19696345	10	5313
NOX5	27355551	chrm1	206	ENSGALG00000008063	19716809	10	5314
SMAD6	27470622	chrm1	208	ENSGALG00000025898	19113379	10	5303
LOC116939967	27753737	chrm1	211	ENSGALG00000023436	11326309	10	5250
GABPB1	27808332	chrm1	212	ENSGALG00000023440	11304507	10	5249
KIF23	27814017	chrm1	213	ENSGALG00000008095	19774819	10	5317
LOC116940031	28174997	chrm1	216	ENSGALG00000034100	20076407	10	5318
SPG11	28387734	chrm1	218	ENSGALG00000008180	20171899	10	5321
EIF3J	28507008	chrm1	219	ENSGALG00000008187	20207682	10	5322
LOC116940176	29227831	chrm1	222	ENSGALG00000006635	13300545	10	5267
RLBP1	29463248	chrm1	225	ENSGALG00000006676	13417442	10	5269
LOC116940231	29515247	chrm1	226	ENSGALG00000027501	20443467	10	5329
LOC116940280	29885954	chrm1	229	ENSGALG00000006413	12736649	10	5262
LOC116940290	29917988	chrm1	230	ENSGALG00000021171	12791419	10	5263
STARD5	30165527	chrm1	231	ENSGALG00000021193	12543741	10	5260
LOC116940317	30193273	chrm1	232	ENSGALG00000004270	7557496	10	5216
LOC116940325	30310842	chrm1	234	ENSGALG00000008077	19767467	10	5316
LRRC49	30455038	chrm1	239	ENSGALG00000004059	6707024	10	5204
THSD4	30530077	chrm1	240	ENSGALG00000004087	6784257	10	5205
LOC116940432	30824446	chrm1	241	ENSGALG00000004096	7149541	10	5206
LOC116940461	30896455	chrm1	243	ENSGALG00000003014	4073312	10	5181
LOC116940468	30949154	chrm1	244	ENSGALG00000003005	4055375	10	5180
REC114	31147033	chrm1	246	ENSGALG00000044207	2634078	10	5148
LOC116940524	31153223	chrm1	247	ENSGALG00000001764	2579139	10	5147
ADAL	31304686	chrm1	249	ENSGALG00000004038	6684695	10	5203
GALK2	31328317	chrm1	250	ENSGALG00000036201	10905605	10	5243
LOC116940607	31456415	chrm1	252	ENSGALG00000001981	2054850	10	5142
TMEM266	31525117	chrm1	254	ENSGALG00000002945	3896080	10	5178
TRIP4	32279143	chrm1	255	ENSGALG00000030672	1670289	10	5132
TIPIN	32412210	chrm1	256	ENSGALG00000007649	18905616	10	5300
DIS3L	32435676	chrm1	257	ENSGALG00000007643	18882000	10	5299
GATM	32446727	chrm1	258	ENSGALG00000023435	11349045	10	5251
FANCI	32935025	chrm1	263	ENSGALG00000006658	13416699	10	5268
LOC116940966	33234159	chrm1	264	ENSGALG00000026468	18044858	10	5284
LOC116940949	33260808	chrm1	267	ENSGALG00000023451	11241994	10	5247
LOC116940997	33326078	chrm1	268	ENSGALG00000030120	11169393	10	5246
LOC116941023	33413110	chrm1	271	ENSGALG00000044940	5859319	10	5196
LOC116941057	33488803	chrm1	273	ENSGALG00000004261	7547386	10	5215
MAN2A2	33565844	chrm1	274	ENSGALG00000033790	20534706	10	5337
CIB1	33680726	chrm1	275	ENSGALG00000008302	20486357	10	5333
LOC116941201	33788320	chrm1	277	ENSGALG00000006008	11588865	10	5253
CPEB1	33987654	chrm1	282	ENSGALG00000002150	1820488	10	5135
LOC116941330	34066378	chrm1	285	ENSGALG00000005996	11532698	10	5252
LOC116941336	34119659	chrm1	286	ENSGALG00000027498	5699694	10	5194
LOC116941378	1230151	chrm1	7	ENSGALG00000001697	1203187	12	5360
LOC116941350	34228338	chrm1	288	ENSGALG00000001429	8700998	13	5810
NDUFB6	22679181	chrm1	156	ENSGALG00000002033	13797491	14	6142
LOC116942036	1731566	chrm1	14	ENSGALG00000040131	5747274	15	6387
ZCCHC8	1743097	chrm1	15	ENSGALG00000004486	6191881	15	6400
USP30	6404516	chrm1	32	ENSGALG00000040265	6932849	15	6423
LOC116942990	6444757	chrm1	33	ENSGALG00000008317	12866637	15	6529
PES1	6631737	chrm1	35	ENSGALG00000007778	11069470	15	6504
VPS29	7325677	chrm1	38	ENSGALG00000004529	6242716	15	6403
ARPC3	7410152	chrm1	40	ENSGALG00000003820	5578015	15	6383
LOC116938684	21484046	chrm1	142	ENSGALG00000044726	8190425	17	6840
MRPS23	6217541	chrm1	29	ENSGALG00000005559	8900795	19	7053
LOC116942706	6321765	chrm1	31	ENSGALG00000028210	5945912	19	6980
ERAL1	7275673	chrm1	36	ENSGALG00000003995	6009998	19	6986
PIGW	11172829	chrm1	56	ENSGALG00000023554	8290810	19	7041
LOC116943537	13902644	chrm1	78	ENSGALG00000004618	6788636	19	7007
LOC116941019	33260251	chrm1	266	ENSGALG00000026328	7056891	27	7146
SMAD3	27520712	chrm1	209	ENSGALG00000014184	6650827	W	7383
LOC116943623	22232465	chrm1	149	ENSGALG00000002112	4160677	23	7540
SMG5	27833299	chrm1	214	ENSGALG00000029918	6093669	23	7585
POLB	14256481	chrm1	88	ENSGALG00000040828	3061680	22	7723
LOC116944195	313933	chrm1	3	ENSGALG00000001486	1911961	28	7778
R3HDM4	929030	chrm1	6	ENSGALG00000001998	2947196	28	7799
SMIM7	1477485	chrm1	10	ENSGALG00000043456	4391142	28	7855
THOP1	9682521	chrm1	49	ENSGALG00000041934	3346818	28	7815
LOC116942824	11172480	chrm1	55	ENSGALG00000021679	2117081	28	7780
MED16	13799266	chrm1	76	ENSGALG00000001978	2940550	28	7798
WDR18	14042085	chrm1	81	ENSGALG00000021637	2971389	28	7801
ATP5F1D	14072545	chrm1	83	ENSGALG00000032875	3135590	28	7808
LOC116947425	14689879	chrm1	93	ENSGALG00000001030	2279787	28	7786
MYO9A	15710712	chrm1	98	ENSGALG00000003717	4303548	28	7852
LOC116956002	18480402	chrm1	113	ENSGALG00000037316	3463015	28	7819
ACER1	19012382	chrm1	116	ENSGALG00000001592	1815894	28	7776
LOC116938518	20458316	chrm1	127	ENSGALG00000003160	3831597	28	7834
FAM32A	21110686	chrm1	135	ENSGALG00000036474	4519217	28	7862
CACTIN	22630604	chrm1	154	ENSGALG00000024391	1133935	28	7762
DOT1L	22676314	chrm1	155	ENSGALG00000000843	2185378	28	7782
LOC116938817	23014551	chrm1	163	ENSGALG00000003959	4518819	28	7861
LOC116938981	23292208	chrm1	166	ENSGALG00000042132	3618638	28	7827
ADAMTSL5	23558672	chrm1	168	ENSGALG00000024298	3336022	28	7814
LOC116939249	24537889	chrm1	176	ENSGALG00000001101	2527625	28	7790
CPAMD8	25685746	chrm1	184	ENSGALG00000003742	4313214	28	7853
LOC116939623	26410514	chrm1	190	ENSGALG00000042900	3601481	28	7825
ARMC6	26437872	chrm1	191	ENSGALG00000003024	3761970	28	7831
RNF115	27171114	chrm1	202	ENSGALG00000042948	2829312	28	7796
SLC25A42	29142541	chrm1	221	ENSGALG00000002621	3755054	28	7830
ISYNA1	29603505	chrm1	227	ENSGALG00000030344	4033884	28	7844
NDUFA13	30276390	chrm1	233	ENSGALG00000039212	3555101	28	7824
POLRMT	31302401	chrm1	248	ENSGALG00000001377	2814078	28	7795
LOC116940900	32889675	chrm1	262	ENSGALG00000000613	941429	28	7754
SPPL2B	33240497	chrm1	265	ENSGALG00000000430	659799	28	7747
KXD1	33821751	chrm1	279	ENSGALG00000036736	3991254	28	7842
LOC116941391	1535597	chrm1	12	ENSGALG00000043021	3671692	25	7928
LOC116943050	9510958	chrm1	45	ENSGALG00000026039	463673	25	7884
LOC116951546	17279703	chrm1	104	ENSGALG00000014643	3624498	25	7925
LOC116952559	17309319	chrm1	105	ENSGALG00000014646	3635047	25	7926
LRRC71	17820557	chrm1	107	ENSGALG00000027351	2567856	25	7900
LOC116957900	19670992	chrm1	120	ENSGALG00000013537	2882180	25	7907
RBM8A	23836449	chrm1	170	ENSGALG00000036283	1987362	25	7890
NAXE	25246364	chrm1	183	ENSGALG00000046023	1520003	25	7888
LOC116939538	26209811	chrm1	188	ENSGALG00000024051	196452	25	7872
FDPS	30440983	chrm1	237	ENSGALG00000028880	3549514	25	7921
LOC116940492	31114745	chrm1	245	ENSGALG00000029450	2949623	25	7909
VPS45	33480729	chrm1	272	ENSGALG00000013899	83452	25	7869
SNX27	33843409	chrm1	280	ENSGALG00000040687	414166	25	7880
PRUNE1	34132729	chrm1	287	ENSGALG00000042220	222991	25	7873
ELOF1	14133625	chrm1	84	ENSGALG00000032489	400436	30	7950
NDUFB7	21015641	chrm1	133	ENSGALG00000038714	904843	30	7959
TRAPPC5	22546251	chrm1	152	ENSGALG00000039088	241788	30	7943
KEAP1	22796246	chrm1	159	ENSGALG00000033123	145894	30	7942
VWA8	9573024	chrm2	331	ENSGALG00000016955	167502950	1	847
LOC116947152	14002761	chrm2	371	ENSGALG00000035636	7281113	1	50
LCMT2	17689895	chrm2	413	ENSGALG00000017333	197563822	1	1025
LOC116948489	18885206	chrm2	421	ENSGALG00000032499	195636411	1	992
LOC116948641	19159216	chrm2	425	ENSGALG00000014329	75504709	1	495
LOC116950696	26022211	chrm2	491	ENSGALG00000040666	56329182	1	377
LOC116944830	2688119	chrm2	296	ENSGALG00000013086	80659235	2	1458
WAC	3146028	chrm2	298	ENSGALG00000035281	15395461	2	1109
LOC116944895	3342779	chrm2	299	ENSGALG00000007351	15011632	2	1106
MINDY3	3353617	chrm2	300	ENSGALG00000008739	20283218	2	1145
VPS50	4106817	chrm2	302	ENSGALG00000009500	22944847	2	1170
BLVRA	4652420	chrm2	305	ENSGALG00000031786	51589934	2	1348
ULK4	5691691	chrm2	308	ENSGALG00000033698	43594328	2	1299
SUSD5	5849508	chrm2	309	ENSGALG00000042289	44489221	2	1306
CRTAP	5890975	chrm2	310	ENSGALG00000034163	44415478	2	1305
NT5C3A	5930810	chrm2	311	ENSGALG00000031397	47912832	2	1327
NPSR1	6018264	chrm2	312	ENSGALG00000041820	47378660	2	1324
UBE3C	7276330	chrm2	317	ENSGALG00000006461	8668166	2	1087
LOC116945605	7577309	chrm2	319	ENSGALG00000006379	8175880	2	1083
LOC116945622	7678870	chrm2	320	ENSGALG00000006372	8053973	2	1082
LOC116945647	7990350	chrm2	323	ENSGALG00000006362	7796808	2	1080
LOC116945657	8100284	chrm2	324	ENSGALG00000036064	7797697	2	1081
GALNT11	9149968	chrm2	326	ENSGALG00000006233	6578373	2	1078
LOC103091728	9160954	chrm2	327	ENSGALG00000006219	6550794	2	1077
CRYGN	9243867	chrm2	328	ENSGALG00000006189	6329886	2	1075
SVIL	9323562	chrm2	329	ENSGALG00000007331	14783967	2	1105
MOS	9596309	chrm2	332	ENSGALG00000042082	111224811	2	1591
KRIT1	9705693	chrm2	333	ENSGALG00000042651	22533249	2	1162
LOC116945965	9746677	chrm2	335	ENSGALG00000009365	22507735	2	1161
AKAP9	9836517	chrm2	336	ENSGALG00000040724	22394326	2	1160
MALSU1	10785532	chrm2	339	ENSGALG00000010954	31145532	2	1211
FASTK	10985377	chrm2	345	ENSGALG00000033058	306561	2	1028
ASB10	11171209	chrm2	347	ENSGALG00000032845	185939	2	1027
FRRS1L	11271284	chrm2	350	ENSGALG00000025792	84296124	2	1465
LOC116946504	11322050	chrm2	351	ENSGALG00000028685	78655147	2	1449
BAG1	11424172	chrm2	352	ENSGALG00000013157	85637391	2	1469
NFX1	11456135	chrm2	354	ENSGALG00000043724	55368340	2	1359
UPP1	11611564	chrm2	356	ENSGALG00000013073	79940290	2	1456
LOC116946844	11926549	chrm2	359	ENSGALG00000034493	45873663	2	1311
LOC116946899	12213929	chrm2	361	ENSGALG00000008912	20706383	2	1151
KLHL18	13066968	chrm2	362	ENSGALG00000005582	4048417	2	1058
LOC116946982	13146518	chrm2	364	ENSGALG00000034284	325524	2	1029
LOC116947052	13592046	chrm2	365	ENSGALG00000007145	14057885	2	1102
LOC116947065	13600019	chrm2	366	ENSGALG00000010809	28476109	2	1199
PSMA2	13789272	chrm2	368	ENSGALG00000039387	51155283	2	1345
MRPL32	13789780	chrm2	369	ENSGALG00000037258	51155640	2	1346
NUP42	14030947	chrm2	372	ENSGALG00000010942	30977906	2	1209
GPNMB	14060992	chrm2	373	ENSGALG00000010949	31127613	2	1210
LOC116947221	14306309	chrm2	374	ENSGALG00000013268	88902355	2	1488
LOC116947330	14443575	chrm2	379	ENSGALG00000031947	75998658	2	1434
LOC116947432	14877544	chrm2	385	ENSGALG00000007547	16014647	2	1116
LOC116947546	14878843	chrm2	386	ENSGALG00000007519	15992654	2	1115
MASTL	14895577	chrm2	387	ENSGALG00000007507	15947100	2	1114
LOC116947640	15201792	chrm2	391	ENSGALG00000034119	55820348	2	1363
LOC116947668	15335544	chrm2	392	ENSGALG00000032958	49243786	2	1337
LOC116947759	15899079	chrm2	396	ENSGALG00000011202	33970922	2	1233
LOC116947838	16319083	chrm2	397	ENSGALG00000037940	54947966	2	1356
ELP2	16739184	chrm2	400	ENSGALG00000039034	88439989	2	1485
RECK	17118077	chrm2	402	ENSGALG00000036829	55980845	2	1365
GALNT15	17150817	chrm2	403	ENSGALG00000013197	87858630	2	1483
ANKRD28	17223449	chrm2	404	ENSGALG00000011226	34140082	2	1236
TBC1D5	17279892	chrm2	407	ENSGALG00000011251	34954644	2	1239
HACL1	17343556	chrm2	409	ENSGALG00000011211	34016729	2	1234
BTD	17420238	chrm2	410	ENSGALG00000011216	34016955	2	1235
LOC116944283	17903712	chrm2	414	ENSGALG00000010794	28092164	2	1195
CRPPA	17983141	chrm2	415	ENSGALG00000010795	28389303	2	1196
SOSTDC1	18020663	chrm2	416	ENSGALG00000036836	28403638	2	1197
LOC116948377	18363932	chrm2	417	ENSGALG00000009728	24221691	2	1178
SRI	18671989	chrm2	418	ENSGALG00000008985	20992378	2	1153
GARS1	18752603	chrm2	420	ENSGALG00000005694	4450500	2	1062
DHX30	19782795	chrm2	433	ENSGALG00000039830	805221	2	1034
LOC116948854	20000972	chrm2	435	ENSGALG00000008954	20768641	2	1152
WNT9A	20949830	chrm2	440	ENSGALG00000005401	2665701	2	1049
NEBL	21132594	chrm2	443	ENSGALG00000037769	18124236	2	1132
LOC116949150	21208325	chrm2	444	ENSGALG00000007956	18759573	2	1133
MALRD1	21300436	chrm2	445	ENSGALG00000008498	18995157	2	1134
LOC116949219	21384879	chrm2	446	ENSGALG00000005259	1815086	2	1039
KBTBD2	22164570	chrm2	447	ENSGALG00000038704	47997351	2	1330
OTUD1	22415132	chrm2	450	ENSGALG00000026426	17357165	2	1122
LOC116950794	22469018	chrm2	451	ENSGALG00000027144	17417320	2	1123
LOC116949331	22484021	chrm2	452	ENSGALG00000007928	18034491	2	1130
ACAD11	22640652	chrm2	454	ENSGALG00000035949	42275377	2	1284
LOC116949407	22799628	chrm2	456	ENSGALG00000011291	37152396	2	1247
