s1g	s1gp	s1chr	s1gi	s2g	s2gp	s2chr	s2gi
EA36830	14182472	chr1	43	ENSGALG00000010025	36150075	5	3481
EA39310	15125570	chr1	44	ENSGALG00000010672	43917282	5	3546
EA37816	17516607	chr1	52	ENSGALG00000010639	43451566	5	3542
EA39242	18420406	chr1	54	ENSGALG00000017389	54570180	5	3624
EA37095	67207422	chr1	188	ENSGALG00000042458	28427291	5	3434
EA37319	69081925	chr1	191	ENSGALG00000010052	36329700	5	3486
EA38331	69540346	chr1	193	ENSGALG00000012374	58189491	5	3666
EA39011	70590212	chr1	194	ENSGALG00000043613	58332931	5	3670
EA37813	73518277	chr1	196	ENSGALG00000028203	31002826	5	3457
EA39673	73765094	chr1	197	ENSGALG00000009744	30924514	5	3456
EA38327	74572127	chr1	202	ENSGALG00000033099	46671241	5	3572
EA38313	74837395	chr1	205	ENSGALG00000010459	39440884	5	3523
EA38951	75190306	chr1	206	ENSGALG00000012011	55000989	5	3629
EA35689	77450878	chr1	207	ENSGALG00000010314	38393355	5	3514
EA37471	77628627	chr1	208	ENSGALG00000010318	38412344	5	3515
EA39518	78021842	chr1	209	ENSGALG00000010974	45911817	5	3566
EA38136	78311828	chr1	210	ENSGALG00000010999	46065300	5	3567
EA36949	78772698	chr1	211	ENSGALG00000010734	44579829	5	3553
EA38473	79390028	chr1	212	ENSGALG00000008460	24451175	5	3394
EA36300	81315539	chr1	214	ENSGALG00000011705	53013815	5	3612
EA38918	81411094	chr1	215	ENSGALG00000010598	43224081	5	3538
EA37097	82379146	chr1	216	ENSGALG00000035191	1118735	5	3218
EA37373	82712865	chr1	217	ENSGALG00000011619	51773813	5	3607
EA36512	83696795	chr1	218	ENSGALG00000010504	39583739	5	3528
EA36921	84009918	chr1	221	ENSGALG00000009838	32415012	5	3461
EA35700	94039721	chr1	246	ENSGALG00000010270	38234041	5	3508
EA36351	94255187	chr1	247	ENSGALG00000010340	38539034	5	3517
EA37235	94896359	chr1	251	ENSGALG00000009338	26653985	5	3420
EA38944	104826459	chr1	275	ENSGALG00000009438	28232960	5	3431
EA36350	104982115	chr1	276	ENSGALG00000011389	50027922	5	3592
EA38517	105129820	chr1	277	ENSGALG00000010275	38237595	5	3509
EA39302	105444324	chr1	280	ENSGALG00000000296	27504335	5	3423
EA36762	106523162	chr1	282	ENSGALG00000009345	26695692	5	3421
EA36617	107373907	chr1	284	ENSGALG00000020415	38686020	5	3519
EA36462	107996759	chr1	287	ENSGALG00000017384	28232932	5	3430
EA38683	108329540	chr1	292	ENSGALG00000042309	574129	5	3202
EA37348	109039823	chr1	293	ENSGALG00000009587	29530569	5	3445
EA39352	109221975	chr1	294	ENSGALG00000032249	559554	5	3200
EA37859	109358769	chr1	295	ENSGALG00000036443	22884540	5	3370
EA38368	109851234	chr1	296	ENSGALG00000008553	24738505	5	3396
EA23917	131212338	chr1	351	ENSGALG00000041299	1939176	5	3238
EA21745	132577048	chr1	356	ENSGALG00000006681	14822859	5	3316
EA24295	133414790	chr1	357	ENSGALG00000030499	14412213	5	3315
EA24045	134636621	chr1	359	ENSGALG00000005840	9681276	5	3282
EA23295	155627570	chr1	420	ENSGALG00000006147	12022252	5	3295
EA23625	155649492	chr1	421	ENSGALG00000006121	12018064	5	3294
EA22774	156423190	chr1	423	ENSGALG00000035774	18089359	5	3348
EA23161	166009383	chr1	456	ENSGALG00000012468	58968358	5	3680
EA24143	166181869	chr1	458	ENSGALG00000012466	58942971	5	3678
EA24214	171744322	chr1	475	ENSGALG00000012244	57810248	5	3658
EA22300	171749394	chr1	476	ENSGALG00000012237	57779793	5	3657
EA24425	171823060	chr1	477	ENSGALG00000031212	57745608	5	3655
EA23770	171863931	chr1	480	ENSGALG00000012230	57738423	5	3654
EA22322	171974837	chr1	481	ENSGALG00000031182	58944812	5	3679
EA22203	172299736	chr1	482	ENSGALG00000029996	49547541	5	3584
EA24306	177166408	chr1	495	ENSGALG00000008053	22505244	5	3368
EA23434	192354602	chr1	507	ENSGALG00000006407	13256268	5	3306
EA39134	2935083	chr1	5	ENSGALG00000009224	15680123	7	3782
EA37274	19608526	chr1	57	ENSGALG00000011326	22211975	7	3844
EA38494	20218976	chr1	58	ENSGALG00000011318	22139887	7	3842
EA37057	24421745	chr1	66	ENSGALG00000046494	11424788	7	3751
EA38432	38309495	chr1	106	ENSGALG00000012526	35568418	7	3932
EA39380	39419219	chr1	110	ENSGALG00000012418	32639734	7	3921
EA35727	40042724	chr1	112	ENSGALG00000008786	13766299	7	3768
EA38292	40369601	chr1	114	ENSGALG00000011475	23372262	7	3867
EA37824	40494318	chr1	115	ENSGALG00000011332	22223656	7	3845
EA39083	42626892	chr1	122	ENSGALG00000027991	22444823	7	3853
EA39526	44386211	chr1	125	ENSGALG00000011592	25228578	7	3872
EA37142	44710272	chr1	127	ENSGALG00000011677	26481703	7	3881
EA36157	45269786	chr1	130	ENSGALG00000012166	29649126	7	3908
EA38647	45417193	chr1	132	ENSGALG00000004274	6157284	7	3716
EA36145	46997835	chr1	139	ENSGALG00000008381	11516967	7	3752
EA36892	64960251	chr1	186	ENSGALG00000041666	359266	7	3688
EA39270	86614152	chr1	225	ENSGALG00000008415	11578947	7	3753
EA39477	87853037	chr1	226	ENSGALG00000004363	6859362	7	3723
EA36651	89577586	chr1	232	ENSGALG00000035237	17429748	7	3799
EA38737	95305802	chr1	253	ENSGALG00000011704	27170993	7	3885
EA37027	95934599	chr1	255	ENSGALG00000009287	16657944	7	3789
EA37823	97614672	chr1	260	ENSGALG00000009236	15770328	7	3783
EA37203	98035815	chr1	261	ENSGALG00000009172	15516341	7	3779
EA36873	100904102	chr1	262	ENSGALG00000009001	14780211	7	3775
EA38022	101286421	chr1	264	ENSGALG00000012052	28116724	7	3893
EA37911	101841658	chr1	267	ENSGALG00000011655	26318288	7	3880
EA35818	103400381	chr1	273	ENSGALG00000008818	13811022	7	3769
EA21893	132283599	chr1	355	ENSGALG00000041563	2587733	7	3695
EA23492	145757915	chr1	389	ENSGALG00000009070	10231653	7	3742
EA24136	145758306	chr1	390	ENSGALG00000008094	10231186	7	3741
EA23879	146017299	chr1	392	ENSGALG00000036471	10278917	7	3744
EA23356	149868024	chr1	403	ENSGALG00000012260	30663466	7	3916
EA35736	35303727	chr1	97	ENSGALG00000003249	9967531	6	3984
EA39153	46436504	chr1	134	ENSGALG00000003085	9417895	6	3982
EA39480	60590488	chr1	177	ENSGALG00000005169	16781124	6	4036
EA38388	90283844	chr1	233	ENSGALG00000025996	34319707	6	4218
EA38635	90727421	chr1	235	ENSGALG00000010476	35762509	6	4223
EA38901	118887858	chr1	316	ENSGALG00000032308	15164432	6	4027
EA21699	153177676	chr1	413	ENSGALG00000002744	7005074	6	3974
EA22765	160039248	chr1	434	ENSGALG00000008949	28606239	6	4168
EA22506	162402405	chr1	437	ENSGALG00000013685	33448528	6	4212
EA23190	162561073	chr1	438	ENSGALG00000013688	33482070	6	4213
EA24076	162732479	chr1	440	ENSGALG00000008585	26948856	6	4157
EA24196	163385975	chr1	443	ENSGALG00000006617	33485511	6	4214
EA21889	164285127	chr1	447	ENSGALG00000008086	24136313	6	4133
EA22306	164997675	chr1	449	ENSGALG00000007465	23057822	6	4097
EA22414	174280241	chr1	491	ENSGALG00000024271	10067481	6	3988
EA23524	174385313	chr1	493	ENSGALG00000008114	24283252	6	4137
EA23110	191459891	chr1	506	ENSGALG00000036785	24231050	6	4135
EA36437	19125912	chr1	55	ENSGALG00000003438	5849103	8	4274
EA36014	25813924	chr1	73	ENSGALG00000036789	18095888	8	4373
EA38763	46539138	chr1	136	ENSGALG00000009902	19971911	8	4382
EA39689	48863937	chr1	145	ENSGALG00000010681	24984864	8	4444
EA35701	50672884	chr1	150	ENSGALG00000002305	2975513	8	4241
EA37486	57948573	chr1	167	ENSGALG00000010721	25429515	8	4447
EA38988	58328200	chr1	168	ENSGALG00000031606	25452503	8	4448
EA36929	59442991	chr1	172	ENSGALG00000011016	28213175	8	4470
EA38434	59457324	chr1	173	ENSGALG00000010570	24612083	8	4434
EA36901	105366535	chr1	279	ENSGALG00000001863	16869041	8	4369
EA36642	118788752	chr1	315	ENSGALG00000010619	24727774	8	4436
EA38234	121797751	chr1	326	ENSGALG00000010629	24784695	8	4439
EA22819	124061929	chr1	332	ENSGALG00000010343	21841064	8	4413
EA23312	124410254	chr1	333	ENSGALG00000010255	21528402	8	4410
EA23140	124730699	chr1	335	ENSGALG00000010293	21606407	8	4411
EA21849	127508627	chr1	340	ENSGALG00000005248	12174911	8	4323
EA24355	127626412	chr1	341	ENSGALG00000005329	12364573	8	4328
EA23539	127888733	chr1	342	ENSGALG00000005302	12336170	8	4327
EA22076	128660416	chr1	348	ENSGALG00000010689	25003801	8	4446
EA23935	145469047	chr1	388	ENSGALG00000010774	25575125	8	4454
EA22745	150148406	chr1	404	ENSGALG00000010481	22291564	8	4426
EA22234	151228004	chr1	407	ENSGALG00000010924	27396998	8	4466
EA23347	157701883	chr1	427	ENSGALG00000008916	19242727	8	4375
EA24385	158572567	chr1	428	ENSGALG00000026516	25001166	8	4445
EA39072	2654633	chr1	4	ENSGALG00000009533	22123903	9	4664
EA39200	28015296	chr1	79	ENSGALG00000006294	16044674	9	4624
EA39506	30317986	chr1	82	ENSGALG00000026302	4765591	9	4526
EA35760	33271384	chr1	92	ENSGALG00000006283	4978364	9	4536
EA35973	49571493	chr1	146	ENSGALG00000003067	9611814	9	4564
EA37614	49767630	chr1	147	ENSGALG00000006298	4978293	9	4535
EA36227	50326295	chr1	148	ENSGALG00000037352	4378149	9	4522
EA36883	50807000	chr1	152	ENSGALG00000009252	19674292	9	4651
EA38034	51143896	chr1	153	ENSGALG00000034562	15863643	9	4615
EA39633	52528783	chr1	156	ENSGALG00000006361	4924316	9	4531
EA38589	52815949	chr1	157	ENSGALG00000009553	22345248	9	4666
EA37001	53752721	chr1	158	ENSGALG00000007557	15184391	9	4601
EA38868	53831449	chr1	159	ENSGALG00000021855	17337012	9	4636
EA37361	101135790	chr1	263	ENSGALG00000037238	698704	9	4495
EA39014	102618969	chr1	270	ENSGALG00000009634	22620465	9	4670
EA37532	102715039	chr1	271	ENSGALG00000036356	2775389	9	4513
EA36148	102977595	chr1	272	ENSGALG00000009593	22572591	9	4669
EA23179	149584109	chr1	402	ENSGALG00000005667	5336965	9	4546
EA22377	165714892	chr1	453	ENSGALG00000006805	11727846	9	4581
EA22702	200610012	chr1	523	ENSGALG00000006241	24091634	9	4695
EA23394	201064609	chr1	525	ENSGALG00000002706	10611437	9	4574
EA36282	118459495	chr1	314	ENSGALG00000008314	19004929	12	5077
EA37193	120426331	chr1	321	ENSGALG00000007284	13810283	12	5052
EA37865	121594133	chr1	324	ENSGALG00000008308	18986974	12	5076
EA39101	122181158	chr1	329	ENSGALG00000006867	12002723	12	5038
EA22575	135160978	chr1	363	ENSGALG00000005909	9596108	12	5009
EA22623	137742005	chr1	368	ENSGALG00000041650	641954	12	4906
