EA28386	ENSLOCG00000008751
EA67968	ENSLOCG00000013571
EA50743	ENSLOCG00000008496
EA82346	ENSLOCG00000005163
EA06893	ENSLOCG00000004080
EA66281	ENSLOCG00000010283
EA21770	ENSLOCG00000010577
EA26009	ENSLOCG00000002777
EA25211	ENSLOCG00000004362
EA49444	ENSLOCG00000009529
EA20501	ENSLOCG00000014217
EA67592	ENSLOCG00000012433
EA03912	ENSLOCG00000001885
EA57570	ENSLOCG00000004017
EA35876	ENSLOCG00000009441
EA31626	ENSLOCG00000010209
EA77232	ENSLOCG00000018252
EA26512	ENSLOCG00000009094
EA34542	ENSLOCG00000005611
EA74497	ENSLOCG00000012918
EA73978	ENSLOCG00000008488
EA71598	ENSLOCG00000014947
EA04495	ENSLOCG00000002007
EA00800	ENSLOCG00000010453
EA48179	ENSLOCG00000006057
EA47218	ENSLOCG00000013235
EA53708	ENSLOCG00000001722
EA33563	ENSLOCG00000005967
EA85589	ENSLOCG00000001717
EA77596	ENSLOCG00000001980
EA74305	ENSLOCG00000004918
EA44942	ENSLOCG00000016934
EA82664	ENSLOCG00000012709
EA18247	ENSLOCG00000012707
EA10463	ENSLOCG00000015517
EA72103	ENSLOCG00000000903
EA03965	ENSLOCG00000016470
EA67942	ENSLOCG00000005661
EA41850	ENSLOCG00000002767
EA02005	ENSLOCG00000000081
EA05093	ENSLOCG00000001807
EA14530	ENSLOCG00000006385
EA13581	ENSLOCG00000014657
EA15974	ENSLOCG00000006589
EA61285	ENSLOCG00000010245
EA09416	ENSLOCG00000013737
EA84052	ENSLOCG00000010664
EA06391	ENSLOCG00000006508
EA52471	ENSLOCG00000013073
EA37070	ENSLOCG00000017360
EA59490	ENSLOCG00000015747
EA37945	ENSLOCG00000012452
EA69898	ENSLOCG00000002579
EA47266	ENSLOCG00000004525
EA27654	ENSLOCG00000003274
EA80815	ENSLOCG00000012634
EA51014	ENSLOCG00000015431
EA74227	ENSLOCG00000004870
EA07953	ENSLOCG00000001618
EA12698	ENSLOCG00000005737
EA63017	ENSLOCG00000014038
EA60577	ENSLOCG00000006475
EA66955	ENSLOCG00000003693
EA23404	ENSLOCG00000016992
EA14333	ENSLOCG00000003573
EA12840	ENSLOCG00000011401
EA23625	ENSLOCG00000002963
EA73246	ENSLOCG00000008498
EA09548	ENSLOCG00000006055
EA59246	ENSLOCG00000009194
EA18933	ENSLOCG00000011360
EA02671	ENSLOCG00000018347
EA31391	ENSLOCG00000015177
EA54932	ENSLOCG00000013203
EA69984	ENSLOCG00000013547
EA37716	ENSLOCG00000014309
EA80058	ENSLOCG00000006519
EA13923	ENSLOCG00000005247
EA54979	ENSLOCG00000008835
EA53658	ENSLOCG00000017418
EA74183	ENSLOCG00000014020
EA18939	ENSLOCG00000008804
EA50003	ENSLOCG00000017565
EA36651	ENSLOCG00000007479
EA15891	ENSLOCG00000011261
EA10498	ENSLOCG00000007895
EA03562	ENSLOCG00000006015
EA38234	ENSLOCG00000006248
EA76883	ENSLOCG00000010367
EA68185	ENSLOCG00000007673
EA68335	ENSLOCG00000008583
EA43274	ENSLOCG00000015187
EA11729	ENSLOCG00000016163
EA74519	ENSLOCG00000013317
EA85209	ENSLOCG00000010492
EA20892	ENSLOCG00000003007
EA15511	ENSLOCG00000010018
EA14342	ENSLOCG00000017192
EA84125	ENSLOCG00000010783
EA40221	ENSLOCG00000016928
EA40787	ENSLOCG00000016153
EA70913	ENSLOCG00000008083
EA62777	ENSLOCG00000007329
EA28394	ENSLOCG00000000934
EA17293	ENSLOCG00000007586
EA83733	ENSLOCG00000004717
EA78631	ENSLOCG00000003810
EA69404	ENSLOCG00000009752
EA53694	ENSLOCG00000015770
EA62805	ENSLOCG00000007458
EA13944	ENSLOCG00000000178
EA61970	ENSLOCG00000003551
EA38711	ENSLOCG00000007278
EA32729	ENSLOCG00000014926
EA58699	ENSLOCG00000004320
EA50537	ENSLOCG00000006914
EA48104	ENSLOCG00000016788
EA79725	ENSLOCG00000015092
EA04847	ENSLOCG00000016126
EA33386	ENSLOCG00000013949
EA74746	ENSLOCG00000005104
EA84547	ENSLOCG00000014096
EA61297	ENSLOCG00000013505
EA55149	ENSLOCG00000016376
EA32782	ENSLOCG00000004537
EA78928	ENSLOCG00000009122
EA22801	ENSLOCG00000003264
EA84399	ENSLOCG00000011609
EA25464	ENSLOCG00000011333
EA44769	ENSLOCG00000011515
EA53736	ENSLOCG00000016356
EA43676	ENSLOCG00000017861
EA51399	ENSLOCG00000000583
EA62536	ENSLOCG00000006748
EA19231	ENSLOCG00000011504
EA49549	ENSLOCG00000000694
EA67306	ENSLOCG00000008682
EA13003	ENSLOCG00000013927
EA10220	ENSLOCG00000015853
EA77239	ENSLOCG00000016641
EA27576	ENSLOCG00000009394
EA28201	ENSLOCG00000012445
EA20201	ENSLOCG00000010495
EA65536	ENSLOCG00000007587
EA15512	ENSLOCG00000008461
EA67663	ENSLOCG00000004975
EA04369	ENSLOCG00000001798
EA00981	ENSLOCG00000008610
EA34377	ENSLOCG00000016744
EA19425	ENSLOCG00000017169
EA50311	ENSLOCG00000000833
EA61921	ENSLOCG00000004544
EA38997	ENSLOCG00000012557
EA28154	ENSLOCG00000015214
EA02826	ENSLOCG00000014653
EA52812	ENSLOCG00000003626
EA38364	ENSLOCG00000015632
EA18887	ENSLOCG00000001638
EA19310	ENSLOCG00000006029
EA00679	ENSLOCG00000002439
EA18236	ENSLOCG00000014580
EA18384	ENSLOCG00000003526
EA22377	ENSLOCG00000014476
EA45204	ENSLOCG00000016278
EA22658	ENSLOCG00000008117
EA05987	ENSLOCG00000000875
EA67542	ENSLOCG00000008169
EA59214	ENSLOCG00000003268
EA35810	ENSLOCG00000014709
EA16145	ENSLOCG00000001228
EA15537	ENSLOCG00000008463
EA36396	ENSLOCG00000017836
EA42408	ENSLOCG00000015212
EA10634	ENSLOCG00000008658
EA10122	ENSLOCG00000005746
EA73981	ENSLOCG00000012230
EA72999	ENSLOCG00000001222
EA10377	ENSLOCG00000001236
EA66019	ENSLOCG00000015064
EA16516	ENSLOCG00000007232
EA61599	ENSLOCG00000010799
EA82112	ENSLOCG00000013980
EA50386	ENSLOCG00000001883
EA37681	ENSLOCG00000005446
EA72409	ENSLOCG00000012330
EA20175	ENSLOCG00000008832
EA34049	ENSLOCG00000004275
EA31914	ENSLOCG00000015556
EA83499	ENSLOCG00000008543
EA82983	ENSLOCG00000005659
EA49664	ENSLOCG00000000709
EA60462	ENSLOCG00000004865
EA86301	ENSLOCG00000005545
EA16644	ENSLOCG00000008200
EA07588	ENSLOCG00000015321
EA35202	ENSLOCG00000010551
EA32791	ENSLOCG00000018088
EA00674	ENSLOCG00000010200
EA13955	ENSLOCG00000008942
EA63320	ENSLOCG00000012314
EA58620	ENSLOCG00000005656
EA61286	ENSLOCG00000011441
EA04493	ENSLOCG00000011657
EA71115	ENSLOCG00000014257
EA32148	ENSLOCG00000009577
EA82325	ENSLOCG00000001945
EA03381	ENSLOCG00000003730
EA30940	ENSLOCG00000003146
EA76959	ENSLOCG00000008321
EA42746	ENSLOCG00000003158
EA78004	ENSLOCG00000008866
EA60790	ENSLOCG00000014159
EA61337	ENSLOCG00000005164
EA69021	ENSLOCG00000014193
EA54679	ENSLOCG00000016645
EA00459	ENSLOCG00000007381
EA54147	ENSLOCG00000012223
EA72327	ENSLOCG00000010079
EA43025	ENSLOCG00000000149
EA01648	ENSLOCG00000002829
EA02194	ENSLOCG00000002780
EA27148	ENSLOCG00000007028
EA80099	ENSLOCG00000006031
EA85558	ENSLOCG00000002280
EA85167	ENSLOCG00000003915
EA82651	ENSLOCG00000017505
EA80332	ENSLOCG00000011582
EA45259	ENSLOCG00000003195
EA11938	ENSLOCG00000015474
EA16148	ENSLOCG00000008691
EA06667	ENSLOCG00000004372
EA17258	ENSLOCG00000004949
EA84594	ENSLOCG00000008566
EA54967	ENSLOCG00000004123
EA85594	ENSLOCG00000016310
EA84263	ENSLOCG00000005912
EA85161	ENSLOCG00000009507
EA54830	ENSLOCG00000013797
EA35700	ENSLOCG00000010734
EA14196	ENSLOCG00000010059
EA42788	ENSLOCG00000008007
EA02232	ENSLOCG00000015066
EA75857	ENSLOCG00000007939
EA83692	ENSLOCG00000000693
EA20308	ENSLOCG00000012171
EA14858	ENSLOCG00000001884
EA17894	ENSLOCG00000013193
EA54000	ENSLOCG00000011607
EA32918	ENSLOCG00000007628
EA84264	ENSLOCG00000001996
EA62973	ENSLOCG00000003119
EA58131	ENSLOCG00000006591
EA69536	ENSLOCG00000009340
EA26215	ENSLOCG00000008304
EA78777	ENSLOCG00000014064
EA12756	ENSLOCG00000016049
EA40250	ENSLOCG00000016563
EA07750	ENSLOCG00000005501
EA03013	ENSLOCG00000008294
EA03190	ENSLOCG00000010016
EA23140	ENSLOCG00000007879
EA00303	ENSLOCG00000000791
EA79005	ENSLOCG00000012973
EA46108	ENSLOCG00000009988
EA68862	ENSLOCG00000008288
EA75203	ENSLOCG00000012242
EA63890	ENSLOCG00000006206
EA65636	ENSLOCG00000007320
EA64685	ENSLOCG00000011171
EA00374	ENSLOCG00000003606
EA20380	ENSLOCG00000013581
EA49097	ENSLOCG00000016750
EA39380	ENSLOCG00000001250
EA16650	ENSLOCG00000006226
EA06676	ENSLOCG00000005982
EA18258	ENSLOCG00000012109
EA10791	ENSLOCG00000014375
EA80659	ENSLOCG00000006446
EA34122	ENSLOCG00000008085
EA64010	ENSLOCG00000004596
EA45850	ENSLOCG00000003809
EA24563	ENSLOCG00000011591
EA13570	ENSLOCG00000006554
EA15509	ENSLOCG00000007567
EA72118	ENSLOCG00000015594
EA61031	ENSLOCG00000005522
EA28933	ENSLOCG00000009263
EA81407	ENSLOCG00000001281
EA02731	ENSLOCG00000005677
EA85434	ENSLOCG00000013367
EA47987	ENSLOCG00000015341
EA07368	ENSLOCG00000003979
EA48064	ENSLOCG00000015905
EA48735	ENSLOCG00000015931
EA84368	ENSLOCG00000003912
EA29430	ENSLOCG00000008346
EA52550	ENSLOCG00000006464
EA38125	ENSLOCG00000002455
EA15030	ENSLOCG00000004790
EA14104	ENSLOCG00000006987
EA61105	ENSLOCG00000005774
EA36970	ENSLOCG00000013366
EA54168	ENSLOCG00000006002
EA25248	ENSLOCG00000012256
EA84303	ENSLOCG00000002569
EA23901	ENSLOCG00000012738
EA22954	ENSLOCG00000004129
EA13583	ENSLOCG00000002983
EA06872	ENSLOCG00000004565
EA51230	ENSLOCG00000016123
EA45302	ENSLOCG00000012645
EA83872	ENSLOCG00000008091
EA49419	ENSLOCG00000016296
EA30953	ENSLOCG00000010945
EA14713	ENSLOCG00000006474
EA47812	ENSLOCG00000017586
EA63925	ENSLOCG00000006501
EA48129	ENSLOCG00000016640
EA37486	ENSLOCG00000012972
EA70298	ENSLOCG00000008850
EA60026	ENSLOCG00000011836
EA36699	ENSLOCG00000016015
EA70652	ENSLOCG00000016942
EA29286	ENSLOCG00000007973
EA66471	ENSLOCG00000002474
EA40207	ENSLOCG00000016724
EA39815	ENSLOCG00000017662
EA41727	ENSLOCG00000004901
EA55138	ENSLOCG00000012947
EA84213	ENSLOCG00000000885
EA50190	ENSLOCG00000010188
EA20138	ENSLOCG00000016449
EA31644	ENSLOCG00000009731
EA14317	ENSLOCG00000003852
EA76558	ENSLOCG00000014570
EA19526	ENSLOCG00000015854
EA24184	ENSLOCG00000016047
EA17149	ENSLOCG00000009443
EA79781	ENSLOCG00000004343
EA23897	ENSLOCG00000010958
EA38254	ENSLOCG00000013515
EA65688	ENSLOCG00000011522
EA84612	ENSLOCG00000012873
EA68009	ENSLOCG00000002434
EA59737	ENSLOCG00000010489
EA64962	ENSLOCG00000001551
EA13995	ENSLOCG00000012362
EA07463	ENSLOCG00000002914
EA51503	ENSLOCG00000002966
EA81985	ENSLOCG00000003652
EA47415	ENSLOCG00000016860
EA63898	ENSLOCG00000013333
EA10390	ENSLOCG00000003192
EA37865	ENSLOCG00000015327
EA27213	ENSLOCG00000011221
EA74081	ENSLOCG00000015432
EA65468	ENSLOCG00000014387
EA45662	ENSLOCG00000004106
EA44299	ENSLOCG00000007778
EA45763	ENSLOCG00000004400
EA16894	ENSLOCG00000007846
EA01670	ENSLOCG00000007128
EA20623	ENSLOCG00000016793
EA77214	ENSLOCG00000014442
EA11042	ENSLOCG00000016154
EA26851	ENSLOCG00000002321
EA52778	ENSLOCG00000014383
EA74650	ENSLOCG00000013186
EA09579	ENSLOCG00000016996
EA64544	ENSLOCG00000006082
EA80488	ENSLOCG00000002753
EA63901	ENSLOCG00000007535
EA24076	ENSLOCG00000012326
EA69221	ENSLOCG00000001925
EA53985	ENSLOCG00000008162
EA04656	ENSLOCG00000005179
EA67726	ENSLOCG00000014105
EA67015	ENSLOCG00000014711
EA79310	ENSLOCG00000000106
EA13136	ENSLOCG00000001677
EA00580	ENSLOCG00000010592
EA00923	ENSLOCG00000017319
EA61979	ENSLOCG00000003374
EA42825	ENSLOCG00000015418
EA04857	ENSLOCG00000000533
EA33306	ENSLOCG00000015248
EA12355	ENSLOCG00000014846
EA82705	ENSLOCG00000016923
EA73146	ENSLOCG00000014797
EA19365	ENSLOCG00000012434
EA47531	ENSLOCG00000015761
EA54416	ENSLOCG00000014245
EA25000	ENSLOCG00000002678
EA30652	ENSLOCG00000002732
EA00699	ENSLOCG00000013768
EA31758	ENSLOCG00000012701
EA18577	ENSLOCG00000015403
EA49493	ENSLOCG00000007746
EA27084	ENSLOCG00000006001
EA50058	ENSLOCG00000009103
EA04300	ENSLOCG00000000733
EA03525	ENSLOCG00000005464
EA23747	ENSLOCG00000014414
EA83901	ENSLOCG00000013116
EA48280	ENSLOCG00000016417
EA84858	ENSLOCG00000008929
EA70422	ENSLOCG00000006482
EA76813	ENSLOCG00000001479
EA01485	ENSLOCG00000008577
EA72227	ENSLOCG00000014289
EA50637	ENSLOCG00000004402
EA65043	ENSLOCG00000012453
EA54083	ENSLOCG00000014345
EA11618	ENSLOCG00000013716
EA14828	ENSLOCG00000006499
EA14882	ENSLOCG00000016660
EA69093	ENSLOCG00000014584
EA13681	ENSLOCG00000016338
EA10092	ENSLOCG00000008379
EA83972	ENSLOCG00000003075
EA11099	ENSLOCG00000013910
EA11371	ENSLOCG00000013428
EA81391	ENSLOCG00000004748
EA53234	ENSLOCG00000015938
EA00099	ENSLOCG00000015235
EA76800	ENSLOCG00000014928
EA79464	ENSLOCG00000007680
EA79994	ENSLOCG00000000768
EA18549	ENSLOCG00000009931
EA84438	ENSLOCG00000005894
EA57308	ENSLOCG00000009647
EA34567	ENSLOCG00000015258
EA42130	ENSLOCG00000009460
EA06045	ENSLOCG00000015211
EA04379	ENSLOCG00000011826
EA33780	ENSLOCG00000003135
EA31318	ENSLOCG00000013119
EA23776	ENSLOCG00000007899
EA26501	ENSLOCG00000012044
EA84628	ENSLOCG00000007910
EA26835	ENSLOCG00000005087
EA42844	ENSLOCG00000002563
EA39881	ENSLOCG00000004731
EA45419	ENSLOCG00000010990
EA33669	ENSLOCG00000013035
EA33038	ENSLOCG00000003298
EA30854	ENSLOCG00000003528
EA69242	ENSLOCG00000008820
EA00517	ENSLOCG00000008532
EA32138	ENSLOCG00000016340
EA47044	ENSLOCG00000007073
EA24045	ENSLOCG00000003559
EA22168	ENSLOCG00000016380
EA34714	ENSLOCG00000002723
EA35464	ENSLOCG00000012320
EA77722	ENSLOCG00000001500
EA06616	ENSLOCG00000003980
EA40706	ENSLOCG00000005929
EA19894	ENSLOCG00000014371
EA35909	ENSLOCG00000004461
EA36626	ENSLOCG00000010675
EA71768	ENSLOCG00000011457
EA05020	ENSLOCG00000018328
EA24674	ENSLOCG00000002895
EA24758	ENSLOCG00000008260
EA02926	ENSLOCG00000011208
EA25737	ENSLOCG00000009276
EA54458	ENSLOCG00000015798
EA75471	ENSLOCG00000013985
EA35449	ENSLOCG00000011528
EA11005	ENSLOCG00000011719
EA53705	ENSLOCG00000005329
EA64661	ENSLOCG00000010541
EA14966	ENSLOCG00000009703
EA49954	ENSLOCG00000010998
EA68407	ENSLOCG00000000961
EA68432	ENSLOCG00000006663
EA20077	ENSLOCG00000015274
EA82685	ENSLOCG00000006759
EA84602	ENSLOCG00000003231
EA29524	ENSLOCG00000008964
EA84837	ENSLOCG00000002677
EA79908	ENSLOCG00000016947
EA25585	ENSLOCG00000005368
EA15578	ENSLOCG00000007570
EA13823	ENSLOCG00000014199
EA14762	ENSLOCG00000007832
EA70042	ENSLOCG00000014884
EA13673	ENSLOCG00000010026
EA69604	ENSLOCG00000001068
EA21893	ENSLOCG00000004735
EA32524	ENSLOCG00000001203
EA78378	ENSLOCG00000014510
EA23335	ENSLOCG00000003179
EA54053	ENSLOCG00000009609
EA01600	ENSLOCG00000010173
EA15562	ENSLOCG00000016175
EA58177	ENSLOCG00000006096
EA05979	ENSLOCG00000003798
EA38062	ENSLOCG00000008667
EA02138	ENSLOCG00000006654
EA68038	ENSLOCG00000008444
EA22534	ENSLOCG00000016983
EA06665	ENSLOCG00000001683
EA70757	ENSLOCG00000015673
EA60815	ENSLOCG00000006137
EA36883	ENSLOCG00000002886
EA06822	ENSLOCG00000007734
EA36571	ENSLOCG00000014187
EA20069	ENSLOCG00000009881
EA52402	ENSLOCG00000015579
EA35447	ENSLOCG00000015537
EA05254	ENSLOCG00000005852
EA66350	ENSLOCG00000003172
EA45931	ENSLOCG00000013196
EA58791	ENSLOCG00000007521
EA42429	ENSLOCG00000014881
EA39915	ENSLOCG00000012149
EA43746	ENSLOCG00000004979
EA50844	ENSLOCG00000015787
EA65657	ENSLOCG00000000574
EA85021	ENSLOCG00000004663
EA06079	ENSLOCG00000005903
EA50299	ENSLOCG00000015135
EA10953	ENSLOCG00000016387
EA25243	ENSLOCG00000010929
EA54329	ENSLOCG00000017165
EA10371	ENSLOCG00000015793
EA56336	ENSLOCG00000011644
EA75484	ENSLOCG00000005607
EA22901	ENSLOCG00000009946
EA22390	ENSLOCG00000014341
EA51448	ENSLOCG00000001275
EA64436	ENSLOCG00000012867
EA40061	ENSLOCG00000018304
EA66168	ENSLOCG00000004727
EA59442	ENSLOCG00000006608
EA81337	ENSLOCG00000016236
EA82604	ENSLOCG00000012779
EA18525	ENSLOCG00000011105
EA46538	ENSLOCG00000010330
EA36061	ENSLOCG00000005831
EA00504	ENSLOCG00000010197
EA72558	ENSLOCG00000011313
EA45712	ENSLOCG00000005736
EA37373	ENSLOCG00000012749
EA06313	ENSLOCG00000017812
EA47502	ENSLOCG00000016824
EA66171	ENSLOCG00000004868
EA38870	ENSLOCG00000017068
EA65272	ENSLOCG00000009549
EA80174	ENSLOCG00000008616
EA81078	ENSLOCG00000006105
EA07802	ENSLOCG00000005942
EA35862	ENSLOCG00000006617
EA50649	ENSLOCG00000002852
EA47063	ENSLOCG00000018159
EA68568	ENSLOCG00000004001
EA84349	ENSLOCG00000016080
EA72490	ENSLOCG00000004919
EA78536	ENSLOCG00000003931
EA55494	ENSLOCG00000017046
EA02863	ENSLOCG00000006124
EA35935	ENSLOCG00000011954
EA01592	ENSLOCG00000012436
EA49737	ENSLOCG00000017175
EA18218	ENSLOCG00000004365
EA75788	ENSLOCG00000012043
EA49065	ENSLOCG00000012861
EA54952	ENSLOCG00000011524
EA59802	ENSLOCG00000007525
EA34544	ENSLOCG00000009379
EA32408	ENSLOCG00000004931
EA57072	ENSLOCG00000006491
EA70521	ENSLOCG00000017959
EA59949	ENSLOCG00000014098
EA61397	ENSLOCG00000010346
EA54698	ENSLOCG00000012146
EA52797	ENSLOCG00000015413
EA78872	ENSLOCG00000013788
EA35339	ENSLOCG00000007632
EA73419	ENSLOCG00000001569
EA79331	ENSLOCG00000003367
EA45281	ENSLOCG00000004282
EA85328	ENSLOCG00000008472
EA34111	ENSLOCG00000016504
EA15983	ENSLOCG00000009661
EA17269	ENSLOCG00000001615
EA43616	ENSLOCG00000000031
EA15284	ENSLOCG00000000917
EA07569	ENSLOCG00000011031
EA70678	ENSLOCG00000016844
EA03661	ENSLOCG00000000998
EA32470	ENSLOCG00000006955
EA09017	ENSLOCG00000003523
EA55068	ENSLOCG00000003287
EA00219	ENSLOCG00000013759
EA04462	ENSLOCG00000002844
EA54592	ENSLOCG00000010910
EA45733	ENSLOCG00000013148
EA60994	ENSLOCG00000017411
EA38092	ENSLOCG00000001804
EA47162	ENSLOCG00000014757
EA12946	ENSLOCG00000012245
EA16575	ENSLOCG00000013407
EA30573	ENSLOCG00000001826
EA64048	ENSLOCG00000014625
EA17051	ENSLOCG00000004535
EA13279	ENSLOCG00000001566
EA35506	ENSLOCG00000011636
EA46858	ENSLOCG00000014850
EA76903	ENSLOCG00000010609
EA59542	ENSLOCG00000016826
EA35281	ENSLOCG00000011427
EA77498	ENSLOCG00000015357
EA06119	ENSLOCG00000006412
EA39726	ENSLOCG00000009240
EA32989	ENSLOCG00000001836
EA74957	ENSLOCG00000013360
EA32866	ENSLOCG00000001434
EA77095	ENSLOCG00000013048
EA03208	ENSLOCG00000012834
EA77918	ENSLOCG00000008999
EA51350	ENSLOCG00000009631
EA26481	ENSLOCG00000001811
EA80794	ENSLOCG00000010720
EA59003	ENSLOCG00000003827
EA19975	ENSLOCG00000011129
EA50484	ENSLOCG00000000317
EA48966	ENSLOCG00000004263
EA35783	ENSLOCG00000006465
EA01518	ENSLOCG00000011521
EA75282	ENSLOCG00000004171
EA30862	ENSLOCG00000007562
EA34025	ENSLOCG00000015884
EA72817	ENSLOCG00000015709
EA21047	ENSLOCG00000014407
EA18953	ENSLOCG00000011596
EA19327	ENSLOCG00000012271
EA15631	ENSLOCG00000016815
EA31860	ENSLOCG00000010596
EA41260	ENSLOCG00000013902
EA81605	ENSLOCG00000006828
EA66341	ENSLOCG00000011963
EA77100	ENSLOCG00000012524
EA55288	ENSLOCG00000015510
EA02632	ENSLOCG00000016657
EA24425	ENSLOCG00000017706
EA19550	ENSLOCG00000009829
EA11471	ENSLOCG00000014561
EA18599	ENSLOCG00000008510
EA12157	ENSLOCG00000014771
EA05321	ENSLOCG00000002180
EA78070	ENSLOCG00000014262
EA10965	ENSLOCG00000017597
EA20314	ENSLOCG00000007149
EA02253	ENSLOCG00000004131
EA01442	ENSLOCG00000002364
EA39480	ENSLOCG00000000619
EA41206	ENSLOCG00000016752
EA85452	ENSLOCG00000001332
EA46914	ENSLOCG00000005671
EA10254	ENSLOCG00000016429
EA10781	ENSLOCG00000013109
EA45752	ENSLOCG00000003198
EA35174	ENSLOCG00000007877
EA34849	ENSLOCG00000012179
EA78030	ENSLOCG00000003401
EA74074	ENSLOCG00000009307
EA85564	ENSLOCG00000017027
EA61629	ENSLOCG00000006986
EA43007	ENSLOCG00000017166
EA27504	ENSLOCG00000011237
EA12044	ENSLOCG00000018250
EA58046	ENSLOCG00000003935
EA77433	ENSLOCG00000011083
EA21817	ENSLOCG00000014458
EA44243	ENSLOCG00000000562
EA55437	ENSLOCG00000015452
EA15366	ENSLOCG00000001376
EA84177	ENSLOCG00000003689
EA45903	ENSLOCG00000012138
EA26474	ENSLOCG00000013417
EA77102	ENSLOCG00000009773
EA27199	ENSLOCG00000003093
EA23295	ENSLOCG00000002925
EA81103	ENSLOCG00000009498
EA49164	ENSLOCG00000017421
EA49987	ENSLOCG00000014290
EA69776	ENSLOCG00000011134
EA72096	ENSLOCG00000008195
EA38774	ENSLOCG00000015922
EA19267	ENSLOCG00000002598
EA51247	ENSLOCG00000009425
EA07552	ENSLOCG00000018319
EA02339	ENSLOCG00000008123
EA31440	ENSLOCG00000004325
EA66858	ENSLOCG00000011337
EA52876	ENSLOCG00000010824
EA23080	ENSLOCG00000006568
EA09864	ENSLOCG00000010553
EA16870	ENSLOCG00000006942
EA47644	ENSLOCG00000017052
EA22314	ENSLOCG00000005685
EA50100	ENSLOCG00000009368
EA55139	ENSLOCG00000007466
EA62619	ENSLOCG00000003965
EA59602	ENSLOCG00000007194
EA35801	ENSLOCG00000002060
EA49296	ENSLOCG00000016461
EA69605	ENSLOCG00000014778
EA05496	ENSLOCG00000004081
EA41813	ENSLOCG00000007435
EA75560	ENSLOCG00000004368
EA10303	ENSLOCG00000013044
EA35052	ENSLOCG00000007655
EA75297	ENSLOCG00000008924
EA65725	ENSLOCG00000001970
EA85286	ENSLOCG00000009969
EA25247	ENSLOCG00000010208
EA66094	ENSLOCG00000007568
EA52272	ENSLOCG00000007733
EA36642	ENSLOCG00000006267
EA54591	ENSLOCG00000017125
EA85709	ENSLOCG00000004351
EA20490	ENSLOCG00000011888
EA66191	ENSLOCG00000013595
EA42113	ENSLOCG00000003786
EA60420	ENSLOCG00000007695
EA70940	ENSLOCG00000013846
EA18974	ENSLOCG00000013575
EA35521	ENSLOCG00000004075
EA32217	ENSLOCG00000008389
EA35101	ENSLOCG00000012812
EA53814	ENSLOCG00000005649
EA02606	ENSLOCG00000005068
EA46269	ENSLOCG00000008225
EA27412	ENSLOCG00000000959
EA46959	ENSLOCG00000007537
