MRPL3	ENSGALG00000040873.2
MBTD1	ENSGALG00000002954.5
CHMP6	ENSGALG00000026428.2
ABHD13	ENSGALG00000016853.5
FAM160B1	ENSGALG00000031404.2
LOC116956610	ENSGALG00000034396.2
ARPC3	ENSGALG00000003820.5
LOC116940040	ENSGALG00000031503.1
EEF1AKNMT	ENSGALG00000003206.6
STN1	ENSGALG00000008304.5
TMEM254	ENSGALG00000021231.4
NEK2	ENSGALG00000009854.6
LOC116938835	ENSGALG00000009044.5
LOC103091759	ENSGALG00000038084.1
DECR1	ENSGALG00000036990.2
LOC116955369	ENSGALG00000042210.1
LOC116944282	ENSGALG00000035492.1
SBNO1	ENSGALG00000003392.5
SLC6A5	ENSGALG00000003908.5
LOC116938073	ENSGALG00000001611.5
LOC116946561	ENSGALG00000004143.5
SMIM12	ENSGALG00000030261.1
LOC116951640	ENSGALG00000007278.4
LOC116937559	ENSGALG00000012816.5
LOC116950268	ENSGALG00000026722.3
C43H6orf120	ENSGALG00000011193.1
LOC116947668	ENSGALG00000032958.1
NOP2	ENSGALG00000037807.2
LOC116946915	ENSGALG00000006783.6
MMP23B	ENSGALG00000001392.6
NIP7	ENSGALG00000000650.5
ECI1	ENSGALG00000031563.2
LOC116948823	ENSGALG00000010870.6
LOC116940566	ENSGALG00000029095.3
LOC116956456	ENSGALG00000023122.3
LOC116956503	ENSGALG00000013205.6
SH3TC1	ENSGALG00000015568.5
LOC116940709	ENSGALG00000028602.3
GLRX3	ENSGALG00000010464.5
TK1	ENSGALG00000007191.5
LOC116955759	ENSGALG00000016936.7
CCNB3	ENSGALG00000025810.3
NAE1	ENSGALG00000038957.1
LIN54	ENSGALG00000011133.6
ZCCHC7	ENSGALG00000028675.2
RMND1	ENSGALG00000012968.5
LOC116954084	ENSGALG00000015358.6
DNM1L	ENSGALG00000012929.4
LOC116950599	ENSGALG00000006534.5
LOC116952915	ENSGALG00000015858.6
EIF2AK4	ENSGALG00000009611.6
LOC116946651	ENSGALG00000015407.5
PDIA5	ENSGALG00000011689.5
MOK	ENSGALG00000011366.6
LOC116944188	ENSGALG00000032031.2
WRNIP1	ENSGALG00000012856.5
FASTKD1	ENSGALG00000009841.5
LOC116938609	ENSGALG00000011668.3
LOC116952738	ENSGALG00000043672.1
PSMD7	ENSGALG00000000707.5
LOC116955970	ENSGALG00000004494.6
ASTE1	ENSGALG00000042906.1
TRAPPC5	ENSGALG00000039088.2
MCM3	ENSGALG00000016676.5
GFRAL	ENSGALG00000016296.5
TGFBR2	ENSGALG00000011442.5
LOC116948040	ENSGALG00000015094.5
CUNH19orf12	ENSGALG00000004480.4
GNE	ENSGALG00000015331.5
PAOX	ENSGALG00000003557.6
KCTD12	ENSGALG00000009628.5
LOC116958295	ENSGALG00000041898.1
LOC116937491	ENSGALG00000009288.6
LOC116958119	ENSGALG00000001501.4
LOC116942274	ENSGALG00000017040.5
SMAD6	ENSGALG00000025898.2
PSMC3IP	ENSGALG00000019741.5
LOC116948156	ENSGALG00000006818.5
SLC7A5	ENSGALG00000005845.6
MLKL	ENSGALG00000002766.6
POLH	ENSGALG00000010317.6
GTF3C3	ENSGALG00000007958.5
AFG3L2	ENSGALG00000013853.5
LHPP	ENSGALG00000030925.1
LOC116948603	ENSGALG00000029247.1
TRMT10A	ENSGALG00000012264.5
GPR37	ENSGALG00000040954.1
POC1A	ENSGALG00000034572.2
DESI1	ENSGALG00000011934.5
CFAP58	ENSGALG00000008417.6
LOC116942416	ENSGALG00000008115.4
USP49	ENSGALG00000011400.7
LOC116956148	ENSGALG00000001391.4
ATMIN	ENSGALG00000040475.2
LOC116937861	ENSGALG00000007840.5
LOC116941201	ENSGALG00000006008.5
ANKIB1	ENSGALG00000031917.1
PLXNA1	ENSGALG00000006097.4
CABCOCO1	ENSGALG00000003013.5
C9H20orf27	ENSGALG00000045441.1
UXS1	ENSGALG00000016801.5
LOC116945000	ENSGALG00000038128.1
LOC116943156	ENSGALG00000041575.1
FSIP1	ENSGALG00000009624.5
LOC116944240	ENSGALG00000007009.5
SF3B1	ENSGALG00000008038.5
LOC116948489	ENSGALG00000032499.1
LOC116954029	ENSGALG00000004693.6
PGRMC1	ENSGALG00000010209.4
KIF27	ENSGALG00000012588.5
SUSD5	ENSGALG00000042289.2
AGPAT5	ENSGALG00000016329.6
SLC25A19	ENSGALG00000008011.5
FSTL1	ENSGALG00000014970.6
TENT2	ENSGALG00000014810.6
LOC116938638	ENSGALG00000011649.3
LOC116953212	ENSGALG00000040773.1
LOC116953643	ENSGALG00000028478.2
LOC116953359	ENSGALG00000029011.2
PIGV	ENSGALG00000039883.2
LIAS	ENSGALG00000014312.5
LOC116942909	ENSGALG00000045052.1
LOC116948641	ENSGALG00000014329.5
OAT	ENSGALG00000031158.2
LOC116943691	ENSGALG00000016737.4
GAS2	ENSGALG00000003655.5
LOC116955595	ENSGALG00000004711.5
PAFAH1B1	ENSGALG00000005834.4
CCDC65	ENSGALG00000030917.1
QTRT1	ENSGALG00000034757.2
TEX10	ENSGALG00000013438.5
SNAP47	ENSGALG00000005412.6
LOC116952498	ENSGALG00000038512.1
LOC116949454	ENSGALG00000003458.3
UBE2O	ENSGALG00000001971.5
MRPL18	ENSGALG00000011625.6
CDK2AP1	ENSGALG00000034919.2
KIF15	ENSGALG00000036645.1
LOC116941300	ENSGALG00000001416.5
TXNDC5	ENSGALG00000012784.5
LOC116940436	ENSGALG00000015374.5
LOC116941872	ENSGALG00000015105.5
C13H9orf64	ENSGALG00000012589.5
SURF4	ENSGALG00000028265.3
LOC103091843	ENSGALG00000029301.1
TRIT1	ENSGALG00000003851.5
SELENOO	ENSGALG00000038467.1
THG1L	ENSGALG00000003722.5
LOC116950300	ENSGALG00000028595.2
CENPL	ENSGALG00000038411.2
USP9X	ENSGALG00000016236.5
LOC116951557	ENSGALG00000026316.2
LOC116958439	ENSGALG00000021529.3
GMPPB	ENSGALG00000002500.6
LOC116950621	ENSGALG00000028174.2
LOC116944033	ENSGALG00000035368.1
RAN	ENSGALG00000002569.6
PIGL	ENSGALG00000004492.5
LOC116956017	ENSGALG00000001817.5
LOC116950141	ENSGALG00000038301.1
MICOS13	ENSGALG00000026847.2
L2HGDH	ENSGALG00000012282.5
CDKN1B	ENSGALG00000022980.2
TMEM41B	ENSGALG00000005815.5
SNCAIP	ENSGALG00000005330.5
ABCD3	ENSGALG00000005647.3
HYLS1	ENSGALG00000036796.2
LOC116943358	ENSGALG00000011624.6
SIRT4	ENSGALG00000007244.5
SIN3A	ENSGALG00000001644.6
TMBIM6	ENSGALG00000031426.2
LOC116951132	ENSGALG00000039403.1
LOC116953581	ENSGALG00000035202.1
DNAAF2	ENSGALG00000012232.5
TECPR1	ENSGALG00000003507.5
UBE2K	ENSGALG00000014290.5
MCTS1	ENSGALG00000008517.4
CLNS1A	ENSGALG00000008574.6
SKIV2L	ENSGALG00000035499.1
CWC22	ENSGALG00000009001.5
LOC116938636	ENSGALG00000003162.5
LOC116952591	ENSGALG00000005638.5
LOC116954743	ENSGALG00000002907.6
LOC116953221	ENSGALG00000003091.5
AIG1	ENSGALG00000013780.5
TRIM37	ENSGALG00000005084.5
NOP14	ENSGALG00000015649.6
CNP	ENSGALG00000003457.6
LOC116944140	ENSGALG00000023898.3
SLCO2A1	ENSGALG00000017302.5
LOC116941142	ENSGALG00000007426.6
LOC116957432	ENSGALG00000005418.5
LOC116952583	ENSGALG00000006361.6
PCID2	ENSGALG00000016831.6
LOC116954189	ENSGALG00000034999.1
CNGB1	ENSGALG00000042647.1
SARAF	ENSGALG00000011395.6
MAD2L2	ENSGALG00000004640.6
EIF2A	ENSGALG00000010401.6
MTCH2	ENSGALG00000036196.2
LOC116957332	ENSGALG00000021676.5
LMCD1	ENSGALG00000008349.5
EIF3E	ENSGALG00000037067.2
LOC116937796	ENSGALG00000005843.4
GTPBP10	ENSGALG00000009035.6
LOC116952920	ENSGALG00000012336.5
CEP43	ENSGALG00000011423.5
NUP43	ENSGALG00000012387.6
PTPN9	ENSGALG00000001664.5
RBM8A	ENSGALG00000036283.1
LOC116941516	ENSGALG00000016580.5
SLC7A11	ENSGALG00000009758.5
LOC116947033	ENSGALG00000014746.5
LOC116936903	ENSGALG00000015014.5
R3HDM4	ENSGALG00000001998.5
MGST3	ENSGALG00000003445.5
LOC116956869	ENSGALG00000011184.6
AHCY	ENSGALG00000033677.1
C25H12orf57	ENSGALG00000014555.4
TRIP4	ENSGALG00000030672.2
LOC116943685	ENSGALG00000001690.5
LOC116951632	ENSGALG00000035799.1
LOC116947210	ENSGALG00000025887.2
SIRT2	ENSGALG00000029761.1
LOC116950883	ENSGALG00000034104.2
DHX37	ENSGALG00000002964.6
LOC116952176	ENSGALG00000007272.5
LOC103091776	ENSGALG00000006300.6
LOC116943041	ENSGALG00000031227.1
VPS33B	ENSGALG00000012833.6
RMND5A	ENSGALG00000015815.6
MGAT3	ENSGALG00000036743.2
LOC116953430	ENSGALG00000020005.5
LOC116955834	ENSGALG00000040030.1
PSMB1	ENSGALG00000011174.5
PSPH	ENSGALG00000002397.5
LOC116951871	ENSGALG00000010160.6
MAPKAPK5	ENSGALG00000004743.5
LOC116954502	ENSGALG00000044293.1
DOT1L	ENSGALG00000000843.5
FAM162A	ENSGALG00000007378.5
LOC116941303	ENSGALG00000041255.1
FNTA	ENSGALG00000015397.5
EPSTI1	ENSGALG00000016964.5
HHAT	ENSGALG00000009881.5
COPS9	ENSGALG00000028636.2
CHRND	ENSGALG00000007899.5
LOC116941207	ENSGALG00000015528.5
AGPS	ENSGALG00000009236.5
ASAH1	ENSGALG00000026364.3
M1AP	ENSGALG00000029780.1
LOC116953480	ENSGALG00000002430.6
FAM169A	ENSGALG00000014943.5
LOC116947021	ENSGALG00000007193.5
LOC116941285	ENSGALG00000009289.5
MRPS26	ENSGALG00000014118.5
MMS19	ENSGALG00000007572.5
PDE1A	ENSGALG00000039935.1
LDLRAD4	ENSGALG00000037780.1
ASCC3	ENSGALG00000015465.6
TAB2	ENSGALG00000012356.5
LOC116939898	ENSGALG00000013042.5
LOC116944894	ENSGALG00000029834.1
LOC116938031	ENSGALG00000005079.5
SEL1L	ENSGALG00000010581.5
HYPK	ENSGALG00000013916.5
LOC116942873	ENSGALG00000014673.5
BCKDHA	ENSGALG00000042246.2
LOC116948115	ENSGALG00000036760.1
SLC37A4	ENSGALG00000007716.4
MTX2	ENSGALG00000009264.5
MPP5	ENSGALG00000009581.6
RMDN3	ENSGALG00000035242.2
LOC116944887	ENSGALG00000033407.1
LOC116944930	ENSGALG00000038753.1
POLR2I	ENSGALG00000038595.2
ITGA9	ENSGALG00000029378.1
FAM151A	ENSGALG00000015577.6
C9orf72	ENSGALG00000001864.6
BUD31	ENSGALG00000004705.6
LOC116941316	ENSGALG00000010461.5
LOC116941355	ENSGALG00000007666.4
LOC116942164	ENSGALG00000034453.2
MRI1	ENSGALG00000034575.1
LOC116942061	ENSGALG00000037880.2
INF2	ENSGALG00000011608.5
ANAPC4	ENSGALG00000014378.6
LOC116951885	ENSGALG00000033705.2
PIN4	ENSGALG00000003878.5
LOC116954471	ENSGALG00000006453.6
PLBD2	ENSGALG00000008319.5
RPS7	ENSGALG00000016392.6
CFAP97	ENSGALG00000010611.6
LOC116946988	ENSGALG00000035869.1
LOC116948135	ENSGALG00000040857.1
LOC116948170	ENSGALG00000016196.5
LOC116941229	ENSGALG00000007007.6
LOC116944493	ENSGALG00000006465.5
SREBF1	ENSGALG00000027188.3
LOC116938552	ENSGALG00000004394.5
EIF4B	ENSGALG00000043411.1
OXCT1	ENSGALG00000014846.5
LOC116951844	ENSGALG00000005329.5
SNX14	ENSGALG00000015831.5
LOC116944209	ENSGALG00000037533.2
LOC116955968	ENSGALG00000011626.5
LOC103091757	ENSGALG00000030902.1
AK3	ENSGALG00000014447.4
ELOF1	ENSGALG00000032489.1
ITGB1BP1	ENSGALG00000016421.6
SPCS3	ENSGALG00000010839.4
EFHC1	ENSGALG00000016674.5
LOC116943666	ENSGALG00000008867.4
MLX	ENSGALG00000003199.4
DNAH5	ENSGALG00000012997.5
PYM1	ENSGALG00000046169.1
LOC116957127	ENSGALG00000016288.5
DCAF5	ENSGALG00000009463.4
LOC116954259	ENSGALG00000021471.4
TSNAXIP1	ENSGALG00000001533.5
NEK10	ENSGALG00000011322.5
LOC116944809	ENSGALG00000031529.1
NAA60	ENSGALG00000042322.1
LOC116951407	ENSGALG00000027899.3
LOC116941023	ENSGALG00000044940.1
SLC22A7	ENSGALG00000001661.4
DRAXIN	ENSGALG00000004631.6
TMEM234	ENSGALG00000037052.1
NFYB	ENSGALG00000041193.2
TDRD7	ENSGALG00000012350.6
DSN1	ENSGALG00000035406.2
LOC116953584	ENSGALG00000014661.6
LOC116955545	ENSGALG00000014937.5
ZNF593	ENSGALG00000000542.2
LOC116942952	ENSGALG00000030530.1
USB1	ENSGALG00000035604.2
LOC116947180	ENSGALG00000010513.5
LOC116947215	ENSGALG00000012208.5
KLHL12	ENSGALG00000000518.5
TYW5	ENSGALG00000008145.4
RCBTB1	ENSGALG00000017008.5
LOC116945589	ENSGALG00000011594.6
PINX1	ENSGALG00000041139.1
ARMC9	ENSGALG00000007691.6
LOC116941098	ENSGALG00000035060.1
BTBD19	ENSGALG00000028978.3
LOC116943539	ENSGALG00000010668.5
HAUS2	ENSGALG00000009111.4
LOC116948575	ENSGALG00000019651.4
LOC116950188	ENSGALG00000002631.2
LOC116950320	ENSGALG00000004324.6
BTBD9	ENSGALG00000010131.5
LOC116951068	ENSGALG00000034735.1
HTR3A	ENSGALG00000007004.6
MRPL58	ENSGALG00000007822.5
LOC116941511	ENSGALG00000040254.2
LOC116939485	ENSGALG00000043081.2
LOC116942691	ENSGALG00000043033.1
LOC116950671	ENSGALG00000002093.6
ABCB9	ENSGALG00000003736.5
AS3MT	ENSGALG00000008133.6
LOC116948533	ENSGALG00000014581.6
ASAH2	ENSGALG00000003751.6
LOC116957809	ENSGALG00000035769.1
LOC116938182	ENSGALG00000016930.6
FASN	ENSGALG00000040896.2
CLUAP1	ENSGALG00000030877.1
COG8	ENSGALG00000043126.1
LOC116947819	ENSGALG00000010186.6
LOC116937895	ENSGALG00000024031.3
LOC116943335	ENSGALG00000006352.5
LOC116943367	ENSGALG00000017388.5
FGFR1OP2	ENSGALG00000014084.4
MARCKSL1	ENSGALG00000037726.1
ZMYND10	ENSGALG00000035883.1
KIF6	ENSGALG00000010057.5
LOC116944127	ENSGALG00000002091.5
NPL	ENSGALG00000004614.5
OS9	ENSGALG00000032035.1
MMS22L	ENSGALG00000015513.5
DAPK3	ENSGALG00000037733.2
OIT3	ENSGALG00000004345.5
LOC116944439	ENSGALG00000013177.5
ECHDC1	ENSGALG00000014828.5
CDH23	ENSGALG00000004653.6
APTX	ENSGALG00000001954.5
LOC116952269	ENSGALG00000038943.2
KRI1	ENSGALG00000042508.1
LOC116958582	ENSGALG00000003201.5
CUTA	ENSGALG00000001620.5
SMG7	ENSGALG00000004667.5
LOC116941533	ENSGALG00000015959.5
LOC116941575	ENSGALG00000001329.5
LOC116946867	ENSGALG00000009569.5
LRSAM1	ENSGALG00000008819.5
PTGES2	ENSGALG00000033760.1
LOC116955995	ENSGALG00000031920.1
ATP5F1D	ENSGALG00000032875.2
LAMC1	ENSGALG00000004620.5
CTHRC1	ENSGALG00000033351.1
MRPS18C	ENSGALG00000023191.4
LOC116936887	ENSGALG00000015548.6
LOC116951028	ENSGALG00000005107.5
HM13	ENSGALG00000006207.5
FKTN	ENSGALG00000015443.5
IQCH	ENSGALG00000007909.5
LOC116949705	ENSGALG00000026167.2
GSS	ENSGALG00000003281.5
SF3B4	ENSGALG00000013352.5
INS	ENSGALG00000006552.5
LOC116954418	ENSGALG00000028815.2
NMD3	ENSGALG00000009533.4
COL24A1	ENSGALG00000006958.5
SLC18A3	ENSGALG00000041103.2
ATIC	ENSGALG00000003570.4
MYB	ENSGALG00000013956.6
LOC116945283	ENSGALG00000015908.6
LOC116955159	ENSGALG00000045758.1
LOC116954077	ENSGALG00000025938.3
LOC116940156	ENSGALG00000003135.5
COPA	ENSGALG00000009153.6
NRBP1	ENSGALG00000016512.5
MALRD1	ENSGALG00000008498.4
MCM3AP	ENSGALG00000004363.5
ATOH8	ENSGALG00000033083.1
RALGAPB	ENSGALG00000001420.5
NUDCD1	ENSGALG00000040879.1
TRAM1	ENSGALG00000041112.2
CRPPA	ENSGALG00000010795.5
UGCG	ENSGALG00000015682.6
PKD1L2	ENSGALG00000005435.5
CMPK2	ENSGALG00000028982.2
ACOT8	ENSGALG00000006842.5
LOC116954225	ENSGALG00000015151.4
LOC116956351	ENSGALG00000015218.6
KNTC1	ENSGALG00000004515.6
DSTYK	ENSGALG00000041123.1
LRRC23	ENSGALG00000043468.1
UBE2J1	ENSGALG00000015775.5
LOC116942561	ENSGALG00000030031.1
UFSP2	ENSGALG00000010601.5
LOC116939517	ENSGALG00000015150.6
LOC116942927	ENSGALG00000007470.5
KLHL26	ENSGALG00000033270.2
NTRK2	ENSGALG00000019019.5
LOC116943029	ENSGALG00000016927.5
ASB13	ENSGALG00000008401.4
LOC116945527	ENSGALG00000036754.2
LOC116947585	ENSGALG00000007098.5
POU2F1	ENSGALG00000015446.5
SKP1	ENSGALG00000006474.4
PTGER3	ENSGALG00000023142.3
POLE4	ENSGALG00000031679.1
GPATCH11	ENSGALG00000010561.6
LOC116948586	ENSGALG00000006217.6
LCLAT1	ENSGALG00000009056.5
GNPTAB	ENSGALG00000012763.5
MTOR	ENSGALG00000003339.5
TULP4	ENSGALG00000037377.1
LOC116941054	ENSGALG00000002804.4
LOC116942255	ENSGALG00000008109.5
GCC1	ENSGALG00000033149.1
CPSF3	ENSGALG00000016424.5
LOC116950786	ENSGALG00000039417.1
NDUFV1	ENSGALG00000042809.1
THAP9	ENSGALG00000044141.1
LOC116941895	ENSGALG00000041089.1
USP10	ENSGALG00000005674.5
LTBP1	ENSGALG00000010448.6
LOC116939440	ENSGALG00000009483.5
LOC116942618	ENSGALG00000014858.6
LOC116940353	ENSGALG00000004980.6
LOC116942970	ENSGALG00000043035.2
SYT13	ENSGALG00000008055.5
LOC116953034	ENSGALG00000016266.5
LOC116954198	ENSGALG00000000521.5
LOC116954178	ENSGALG00000025864.3
AACS	ENSGALG00000002899.5
LOC116953008	ENSGALG00000031183.2
LOC116954901	ENSGALG00000016590.6
LOC116950527	ENSGALG00000002820.6
CDT1	ENSGALG00000013784.5
LOC116940599	ENSGALG00000015554.5
PABPN1	ENSGALG00000006242.6
LOC116956059	ENSGALG00000037242.2
MCU	ENSGALG00000004355.5
LOC116951161	ENSGALG00000008834.5
LLPH	ENSGALG00000019358.5
ZYG11B	ENSGALG00000010643.5
MIF4GD	ENSGALG00000026715.2
TMEM11	ENSGALG00000004749.4
NUP58	ENSGALG00000017111.6
LOC116955882	ENSGALG00000015720.5
CCDC32	ENSGALG00000029332.2
LOC116945170	ENSGALG00000016583.5
LOC116945203	ENSGALG00000007115.5
LOC116943635	ENSGALG00000036791.1
