EA44645	ENSGALG00000032763.2
EA46287	ENSGALG00000037377.1
EA41420	ENSGALG00000039472.1
EA52385	ENSGALG00000012414.5
EA00823	ENSGALG00000023335.3
EA65758	ENSGALG00000003793.6
EA64972	ENSGALG00000007426.6
EA65846	ENSGALG00000040999.1
EA83648	ENSGALG00000007484.5
EA83368	ENSGALG00000020922.5
EA34305	ENSGALG00000004908.5
EA83393	ENSGALG00000004191.4
EA11586	ENSGALG00000004438.5
EA52558	ENSGALG00000005076.5
EA72308	ENSGALG00000007610.6
EA52807	ENSGALG00000004342.5
EA15618	ENSGALG00000033110.1
EA59115	ENSGALG00000005654.6
EA51177	ENSGALG00000009992.5
EA26302	ENSGALG00000009677.5
EA81737	ENSGALG00000031564.1
EA42704	ENSGALG00000020005.5
EA46237	ENSGALG00000001283.6
EA13583	ENSGALG00000036297.1
EA12115	ENSGALG00000009843.5
EA07167	ENSGALG00000011898.4
EA61826	ENSGALG00000006596.4
EA01559	ENSGALG00000006254.5
EA35215	ENSGALG00000004749.4
EA18890	ENSGALG00000039315.1
EA23222	ENSGALG00000037214.1
EA56413	ENSGALG00000023621.3
EA30242	ENSGALG00000014031.5
EA13383	ENSGALG00000042599.2
EA71129	ENSGALG00000013646.5
EA53571	ENSGALG00000034999.1
EA22730	ENSGALG00000010311.5
EA69604	ENSGALG00000004150.5
EA71208	ENSGALG00000006840.5
EA68224	ENSGALG00000008842.5
EA61172	ENSGALG00000012379.5
EA27849	ENSGALG00000013510.4
EA01949	ENSGALG00000008798.5
EA36220	ENSGALG00000031265.1
EA55286	ENSGALG00000004899.6
EA04146	ENSGALG00000004700.5
EA80905	ENSGALG00000030481.2
EA34927	ENSGALG00000006649.4
EA34602	ENSGALG00000038502.1
EA34853	ENSGALG00000011305.5
EA34936	ENSGALG00000034225.2
EA69763	ENSGALG00000008670.6
EA52915	ENSGALG00000001375.4
EA17920	ENSGALG00000016908.4
EA71160	ENSGALG00000037487.1
EA46439	ENSGALG00000040793.1
EA83076	ENSGALG00000005853.5
EA29430	ENSGALG00000000184.6
EA16358	ENSGALG00000016363.4
EA66409	ENSGALG00000019796.5
EA44150	ENSGALG00000005326.5
EA05662	ENSGALG00000016287.4
EA06290	ENSGALG00000015059.4
EA66828	ENSGALG00000036618.2
EA45752	ENSGALG00000006015.6
EA52574	ENSGALG00000036264.2
EA06340	ENSGALG00000005778.6
EA73877	ENSGALG00000015225.5
EA61285	ENSGALG00000011224.5
EA07899	ENSGALG00000017021.5
EA83983	ENSGALG00000009222.5
EA66748	ENSGALG00000017378.4
EA82011	ENSGALG00000016804.5
EA66834	ENSGALG00000033690.1
EA10990	ENSGALG00000016421.6
EA10208	ENSGALG00000040522.2
EA83952	ENSGALG00000010042.5
EA49214	ENSGALG00000009791.5
EA34331	ENSGALG00000019738.4
EA63026	ENSGALG00000000802.5
EA62426	ENSGALG00000000707.5
EA11522	ENSGALG00000017189.5
EA68007	ENSGALG00000035768.2
EA66350	ENSGALG00000028046.3
EA70670	ENSGALG00000008795.4
EA29056	ENSGALG00000008532.5
EA08967	ENSGALG00000000234.4
EA01586	ENSGALG00000032718.2
EA37235	ENSGALG00000009338.4
EA07961	ENSGALG00000014963.5
EA48212	ENSGALG00000033993.2
EA47742	ENSGALG00000015180.5
EA29796	ENSGALG00000011445.5
EA80232	ENSGALG00000014915.6
EA31287	ENSGALG00000002067.5
EA32364	ENSGALG00000011019.4
EA53678	ENSGALG00000037315.1
EA34856	ENSGALG00000033123.2
EA33884	ENSGALG00000024391.3
EA35280	ENSGALG00000007822.5
EA08146	ENSGALG00000006771.5
EA13712	ENSGALG00000028998.3
EA22575	ENSGALG00000005909.5
EA24394	ENSGALG00000009840.5
EA15687	ENSGALG00000014887.5
EA75471	ENSGALG00000005001.6
EA10341	ENSGALG00000002722.5
EA72689	ENSGALG00000029795.2
EA03229	ENSGALG00000016831.6
EA20201	ENSGALG00000009813.5
EA06616	ENSGALG00000042624.1
EA70606	ENSGALG00000034189.1
EA31545	ENSGALG00000012206.5
EA73735	ENSGALG00000000146.5
EA39352	ENSGALG00000032249.1
EA37070	ENSGALG00000008716.4
EA49536	ENSGALG00000042134.1
EA20142	ENSGALG00000008195.4
EA20691	ENSGALG00000010150.5
EA54513	ENSGALG00000010562.4
EA04554	ENSGALG00000036915.2
EA49505	ENSGALG00000040687.2
EA09051	ENSGALG00000014979.5
EA53602	ENSGALG00000029266.1
EA04772	ENSGALG00000003634.5
EA53461	ENSGALG00000009291.6
EA04836	ENSGALG00000003022.4
EA53219	ENSGALG00000010677.6
EA54039	ENSGALG00000008808.6
EA38257	ENSGALG00000012620.6
EA38070	ENSGALG00000010179.5
EA15578	ENSGALG00000017207.6
EA48025	ENSGALG00000010326.6
EA12727	ENSGALG00000031681.2
EA75836	ENSGALG00000004326.5
EA25248	ENSGALG00000000685.5
EA20015	ENSGALG00000032316.1
EA08002	ENSGALG00000004856.5
EA13461	ENSGALG00000030030.2
EA82705	ENSGALG00000015812.5
EA47109	ENSGALG00000032273.1
EA48311	ENSGALG00000008172.5
EA06739	ENSGALG00000044527.1
EA05886	ENSGALG00000015720.5
EA60049	ENSGALG00000005037.6
EA69979	ENSGALG00000001273.4
EA68912	ENSGALG00000000402.4
EA01050	ENSGALG00000037998.2
EA02824	ENSGALG00000007079.4
EA06407	ENSGALG00000004412.6
EA30330	ENSGALG00000008867.4
EA28179	ENSGALG00000042122.1
EA19516	ENSGALG00000031426.2
EA42139	ENSGALG00000007308.4
EA46631	ENSGALG00000000955.5
EA73558	ENSGALG00000016862.5
EA36966	ENSGALG00000037561.1
EA14836	ENSGALG00000046000.1
EA57870	ENSGALG00000005295.5
EA38647	ENSGALG00000004274.4
EA20077	ENSGALG00000033447.2
EA17462	ENSGALG00000010555.7
EA06397	ENSGALG00000015486.5
EA75554	ENSGALG00000036728.1
EA13621	ENSGALG00000016487.6
EA81532	ENSGALG00000011897.5
EA52945	ENSGALG00000037511.1
EA00615	ENSGALG00000011614.5
EA29653	ENSGALG00000015166.4
EA84858	ENSGALG00000016837.6
EA81694	ENSGALG00000002963.4
EA57477	ENSGALG00000013157.5
EA06886	ENSGALG00000016285.5
EA02509	ENSGALG00000005637.5
EA68647	ENSGALG00000006179.6
EA68405	ENSGALG00000001433.6
EA50649	ENSGALG00000010228.6
EA83973	ENSGALG00000010357.5
EA59503	ENSGALG00000021232.3
EA07252	ENSGALG00000029947.1
EA27045	ENSGALG00000036441.1
EA47347	ENSGALG00000026322.2
EA25454	ENSGALG00000034421.1
EA69622	ENSGALG00000007706.5
EA14741	ENSGALG00000010789.5
EA74823	ENSGALG00000006341.5
EA31998	ENSGALG00000003845.5
EA48417	ENSGALG00000005930.6
EA01709	ENSGALG00000003495.6
EA03578	ENSGALG00000005986.6
EA02472	ENSGALG00000043051.2
EA35122	ENSGALG00000015027.5
EA00256	ENSGALG00000034229.1
EA25119	ENSGALG00000015492.6
EA19431	ENSGALG00000042875.2
EA33497	ENSGALG00000010183.5
EA19390	ENSGALG00000037996.1
EA77753	ENSGALG00000007466.5
EA26445	ENSGALG00000013100.5
EA48158	ENSGALG00000011618.5
EA77100	ENSGALG00000000949.4
EA73179	ENSGALG00000043672.1
EA62364	ENSGALG00000006652.5
EA20376	ENSGALG00000010060.5
EA24946	ENSGALG00000010873.5
EA30582	ENSGALG00000001726.5
EA18314	ENSGALG00000004293.5
EA44544	ENSGALG00000003405.5
EA07581	ENSGALG00000006728.6
EA70226	ENSGALG00000014184.3
EA02315	ENSGALG00000031542.2
EA77177	ENSGALG00000026517.3
EA59395	ENSGALG00000006011.5
EA39548	ENSGALG00000014734.4
EA70493	ENSGALG00000000613.5
EA35891	ENSGALG00000040685.1
EA55588	ENSGALG00000009185.1
EA05925	ENSGALG00000003770.7
EA40638	ENSGALG00000020479.4
EA06002	ENSGALG00000016138.5
EA59628	ENSGALG00000006714.6
EA39656	ENSGALG00000030901.1
EA79540	ENSGALG00000003243.5
EA73681	ENSGALG00000009435.6
EA29546	ENSGALG00000012833.6
EA26337	ENSGALG00000037327.2
EA82661	ENSGALG00000016803.5
EA05363	ENSGALG00000014913.4
EA14358	ENSGALG00000025915.2
EA17451	ENSGALG00000034876.1
EA24295	ENSGALG00000030499.1
EA43455	ENSGALG00000015804.5
EA40976	ENSGALG00000015414.5
EA31016	ENSGALG00000008365.4
EA81360	ENSGALG00000004707.5
EA47355	ENSGALG00000010051.5
EA67410	ENSGALG00000004437.5
EA53048	ENSGALG00000007130.4
EA60562	ENSGALG00000008435.4
EA53565	ENSGALG00000032858.1
EA53734	ENSGALG00000011483.6
EA55103	ENSGALG00000001684.5
EA33306	ENSGALG00000014126.6
EA26045	ENSGALG00000033385.2
EA82198	ENSGALG00000004705.6
EA06425	ENSGALG00000015858.6
EA82648	ENSGALG00000031099.1
EA31829	ENSGALG00000012410.4
EA03883	ENSGALG00000021231.4
EA32376	ENSGALG00000045619.1
EA28046	ENSGALG00000034955.1
EA27148	ENSGALG00000040521.2
EA13528	ENSGALG00000030563.1
EA58470	ENSGALG00000043724.1
EA03523	ENSGALG00000029863.2
EA72842	ENSGALG00000001709.5
EA76044	ENSGALG00000014078.5
EA79111	ENSGALG00000010592.5
EA30489	ENSGALG00000040017.1
EA59540	ENSGALG00000001473.6
EA69695	ENSGALG00000009445.6
EA73956	ENSGALG00000030475.1
EA10406	ENSGALG00000002399.5
EA33828	ENSGALG00000015684.5
EA72916	ENSGALG00000009276.5
EA02716	ENSGALG00000016531.5
EA31461	ENSGALG00000015050.5
EA46182	ENSGALG00000011221.5
EA42552	ENSGALG00000012452.4
EA44449	ENSGALG00000005413.6
EA04493	ENSGALG00000010882.6
EA84628	ENSGALG00000001938.5
EA28201	ENSGALG00000041154.1
EA76666	ENSGALG00000011963.6
EA16137	ENSGALG00000003221.6
EA77800	ENSGALG00000012211.5
EA18864	ENSGALG00000031863.2
EA66998	ENSGALG00000016690.6
EA06863	ENSGALG00000036005.1
EA72112	ENSGALG00000009985.6
EA14893	ENSGALG00000015660.5
EA48181	ENSGALG00000000632.5
EA62683	ENSGALG00000012355.5
EA09886	ENSGALG00000029829.1
EA32092	ENSGALG00000014335.6
EA83320	ENSGALG00000008663.5
EA20175	ENSGALG00000010006.5
EA75808	ENSGALG00000041845.1
EA83998	ENSGALG00000036969.1
EA45363	ENSGALG00000002273.6
EA57180	ENSGALG00000030904.1
EA58261	ENSGALG00000000603.5
EA82924	ENSGALG00000041454.2
EA19449	ENSGALG00000002904.5
EA09352	ENSGALG00000001749.6
EA60088	ENSGALG00000009372.5
EA10573	ENSGALG00000011293.5
EA18495	ENSGALG00000005481.3
EA20304	ENSGALG00000005012.5
EA27973	ENSGALG00000012156.5
EA06665	ENSGALG00000023294.4
EA05918	ENSGALG00000016796.3
EA58143	ENSGALG00000012592.3
EA75136	ENSGALG00000029282.1
EA76853	ENSGALG00000009262.5
EA38018	ENSGALG00000029831.1
EA52507	ENSGALG00000001502.4
EA03190	ENSGALG00000035478.1
EA75729	ENSGALG00000006921.6
EA40220	ENSGALG00000003642.6
EA54366	ENSGALG00000026471.2
EA27085	ENSGALG00000010956.5
EA50030	ENSGALG00000045621.1
EA19336	ENSGALG00000003348.5
EA62700	ENSGALG00000033500.1
EA15936	ENSGALG00000006474.4
EA83639	ENSGALG00000004448.5
EA71136	ENSGALG00000009934.6
EA00330	ENSGALG00000016824.5
EA74227	ENSGALG00000026392.2
EA31057	ENSGALG00000010805.5
EA18803	ENSGALG00000016581.4
EA33803	ENSGALG00000014756.5
EA83460	ENSGALG00000008247.4
EA25025	ENSGALG00000012424.5
EA04885	ENSGALG00000006322.5
EA37103	ENSGALG00000042853.1
EA34488	ENSGALG00000016686.4
EA24719	ENSGALG00000012129.3
EA81065	ENSGALG00000021128.4
EA20478	ENSGALG00000005128.6
EA65326	ENSGALG00000006925.5
EA74085	ENSGALG00000004065.5
EA72309	ENSGALG00000002488.6
EA59895	ENSGALG00000036683.1
EA12116	ENSGALG00000014821.5
EA12953	ENSGALG00000010104.6
EA10819	ENSGALG00000033709.2
EA71917	ENSGALG00000006955.5
EA72165	ENSGALG00000014413.6
EA75035	ENSGALG00000008480.5
EA12658	ENSGALG00000007251.5
EA34334	ENSGALG00000005815.5
EA76441	ENSGALG00000010658.5
EA83964	ENSGALG00000014935.5
EA78714	ENSGALG00000006487.3
EA06045	ENSGALG00000005775.5
EA80815	ENSGALG00000006911.5
EA41813	ENSGALG00000000259.3
EA69229	ENSGALG00000006334.6
EA54594	ENSGALG00000036833.1
EA79165	ENSGALG00000012986.5
EA06673	ENSGALG00000011865.5
EA58928	ENSGALG00000013506.4
EA65267	ENSGALG00000030120.2
EA21079	ENSGALG00000036791.1
EA16410	ENSGALG00000045499.1
EA80681	ENSGALG00000002062.6
EA62768	ENSGALG00000009421.5
EA07340	ENSGALG00000004625.5
EA06774	ENSGALG00000027492.2
EA20555	ENSGALG00000027295.2
EA47228	ENSGALG00000008563.6
EA50423	ENSGALG00000010385.5
EA06280	ENSGALG00000017111.6
EA40235	ENSGALG00000036749.1
EA62862	ENSGALG00000033511.1
EA06242	ENSGALG00000039724.2
EA21951	ENSGALG00000043456.1
EA21682	ENSGALG00000032171.1
EA26935	ENSGALG00000039897.1
EA19625	ENSGALG00000008872.5
EA69902	ENSGALG00000033411.1
EA04963	ENSGALG00000002764.5
EA64982	ENSGALG00000011427.5
EA18209	ENSGALG00000009815.5
EA41973	ENSGALG00000012034.5
EA71193	ENSGALG00000009314.4
EA19904	ENSGALG00000010349.6
EA27197	ENSGALG00000003220.5
EA61297	ENSGALG00000000836.4
EA59763	ENSGALG00000034218.2
EA16743	ENSGALG00000005284.6
EA43840	ENSGALG00000015712.5
EA42775	ENSGALG00000029528.1
EA13302	ENSGALG00000028928.2
EA74810	ENSGALG00000011421.5
EA78777	ENSGALG00000039316.1
EA41407	ENSGALG00000033356.1
EA78726	ENSGALG00000030515.2
EA84812	ENSGALG00000038355.1
EA74200	ENSGALG00000008378.6
EA30650	ENSGALG00000003908.5
EA61887	ENSGALG00000000461.6
EA34567	ENSGALG00000012647.6
EA72934	ENSGALG00000012932.5
EA18610	ENSGALG00000028821.2
EA32495	ENSGALG00000012619.5
EA84656	ENSGALG00000015387.5
EA30144	ENSGALG00000014030.6
EA25016	ENSGALG00000011177.6
EA50882	ENSGALG00000011096.5
EA50505	ENSGALG00000034179.1
EA43676	ENSGALG00000045705.1
EA75607	ENSGALG00000046521.1
EA07683	ENSGALG00000045204.1
EA75484	ENSGALG00000040069.1
EA67608	ENSGALG00000002689.6
EA54967	ENSGALG00000019514.5
EA04912	ENSGALG00000010646.6
EA73417	ENSGALG00000009501.5
EA56336	ENSGALG00000015664.6
EA78591	ENSGALG00000001926.5
EA12150	ENSGALG00000014681.5
EA48426	ENSGALG00000033322.2
EA67466	ENSGALG00000042941.1
EA22314	ENSGALG00000004133.5
EA80758	ENSGALG00000008301.5
EA60203	ENSGALG00000034278.1
EA47063	ENSGALG00000042505.1
EA42027	ENSGALG00000004693.6
EA33528	ENSGALG00000028186.3
EA22082	ENSGALG00000011304.6
EA49665	ENSGALG00000010026.6
EA48047	ENSGALG00000009616.5
EA19584	ENSGALG00000030081.1
EA50904	ENSGALG00000007554.4
EA67931	ENSGALG00000000264.5
EA74086	ENSGALG00000005696.5
EA61322	ENSGALG00000002853.5
EA12396	ENSGALG00000003084.4
EA73299	ENSGALG00000037784.1
EA84803	ENSGALG00000014331.5
EA42825	ENSGALG00000013846.5
EA32290	ENSGALG00000023359.3
EA75212	ENSGALG00000006168.4
EA37384	ENSGALG00000014964.5
EA27010	ENSGALG00000014248.5
EA54067	ENSGALG00000042895.1
EA19335	ENSGALG00000020067.5
EA18965	ENSGALG00000041449.1
EA60490	ENSGALG00000033609.2
EA81061	ENSGALG00000013621.5
EA39666	ENSGALG00000012287.4
EA43415	ENSGALG00000035378.1
EA31130	ENSGALG00000000409.6
EA79091	ENSGALG00000006682.5
EA70238	ENSGALG00000003818.4
EA64459	ENSGALG00000008739.5
EA39896	ENSGALG00000031306.1
EA06523	ENSGALG00000042809.1
EA38331	ENSGALG00000012374.4
EA10347	ENSGALG00000006403.5
EA47464	ENSGALG00000040348.1
EA50067	ENSGALG00000010812.5
EA43150	ENSGALG00000015198.5
EA04386	ENSGALG00000006404.5
EA06990	ENSGALG00000016791.5
EA61381	ENSGALG00000005084.5
EA62009	ENSGALG00000000396.6
EA48782	ENSGALG00000003568.2
EA42876	ENSGALG00000014902.5
EA18389	ENSGALG00000011827.5
EA25002	ENSGALG00000015293.5
EA20046	ENSGALG00000014264.6
EA21770	ENSGALG00000014767.6
EA41040	ENSGALG00000015529.5
EA43860	ENSGALG00000013737.4
EA46523	ENSGALG00000005668.5
EA06414	ENSGALG00000000895.5
EA27842	ENSGALG00000033064.1
EA04222	ENSGALG00000004727.5
