NCAPH2	ENSLOCG00000015775
LOC116952972	ENSLOCG00000016205
SOD2	ENSLOCG00000016188
LOC116946776	ENSLOCG00000001641
DDX20	ENSLOCG00000010372
CCDC59	ENSLOCG00000016324
LOC116945247	ENSLOCG00000001817
LOC116947957	ENSLOCG00000016291
SERPIND1	ENSLOCG00000002284
FUCA1	ENSLOCG00000001807
ILRUN	ENSLOCG00000009988
SYT1	ENSLOCG00000016283
TXN2	ENSLOCG00000012007
LOC116949760	ENSLOCG00000006614
LOC116951917	ENSLOCG00000006451
CACHD1	ENSLOCG00000006750
ANO1	ENSLOCG00000017053
FEN1	ENSLOCG00000004298
PRXL2A	ENSLOCG00000012586
LOC116938626	ENSLOCG00000002266
SYAP1	ENSLOCG00000007380
CRYL1	ENSLOCG00000010863
THOC5	ENSLOCG00000008401
LOC116940956	ENSLOCG00000010548
SLC30A9	ENSLOCG00000012479
ATP8A1	ENSLOCG00000012435
LOC116955632	ENSLOCG00000016949
CMIP	ENSLOCG00000002603
IDS	ENSLOCG00000015405
LOC116949383	ENSLOCG00000010476
LOC116938684	ENSLOCG00000004423
KEAP1	ENSLOCG00000005625
LOC116942573	ENSLOCG00000004628
ADCY8	ENSLOCG00000016676
LOC116952979	ENSLOCG00000007630
DALRD3	ENSLOCG00000014389
CWC15	ENSLOCG00000007570
LOC116955381	ENSLOCG00000001438
NPLOC4	ENSLOCG00000013007
C3H16orf89	ENSLOCG00000006823
PSMG3	ENSLOCG00000001382
DCAF7	ENSLOCG00000011848
EXO1	ENSLOCG00000016639
UGP2	ENSLOCG00000016059
TMEM64	ENSLOCG00000010212
MAN1B1	ENSLOCG00000001522
LOC116945999	ENSLOCG00000002848
LOC116947390	ENSLOCG00000016705
LOC116951284	ENSLOCG00000005362
SLC30A6	ENSLOCG00000015520
LOC116948450	ENSLOCG00000017176
PIGW	ENSLOCG00000017424
BPNT2	ENSLOCG00000005325
CIDEB	ENSLOCG00000014579
LOC116940706	ENSLOCG00000012315
LOC116948854	ENSLOCG00000010363
TAF5L	ENSLOCG00000015464
LOC116950958	ENSLOCG00000012254
RIPOR1	ENSLOCG00000006914
LOC116937576	ENSLOCG00000010881
B3GLCT	ENSLOCG00000000422
LOC116955936	ENSLOCG00000004306
MRPL35	ENSLOCG00000010848
LOC116940499	ENSLOCG00000000903
RNF121	ENSLOCG00000007891
LOC116938084	ENSLOCG00000013812
NHP2	ENSLOCG00000009630
DTYMK	ENSLOCG00000006505
TIMM50	ENSLOCG00000014699
TAF13	ENSLOCG00000002878
PAIP2B	ENSLOCG00000011563
LOC116943683	ENSLOCG00000012384
LOC116943818	ENSLOCG00000011696
LOC116944251	ENSLOCG00000011881
LOC116944282	ENSLOCG00000007091
SART1	ENSLOCG00000001871
DHX35	ENSLOCG00000004639
LOC116953362	ENSLOCG00000018283
ARFGEF3	ENSLOCG00000015418
LOC116937117	ENSLOCG00000006164
LOC116940518	ENSLOCG00000011322
GYS1	ENSLOCG00000015387
HSPA13	ENSLOCG00000000950
LOC116940189	ENSLOCG00000009521
ZGPAT	ENSLOCG00000001659
EIF2B5	ENSLOCG00000004645
RSPH3	ENSLOCG00000016370
IFT81	ENSLOCG00000007148
MARCHF7	ENSLOCG00000006058
EFTUD2	ENSLOCG00000011460
LOC116958596	ENSLOCG00000005051
LNPK	ENSLOCG00000007190
MARS2	ENSLOCG00000015357
VPS29	ENSLOCG00000007274
LTA4H	ENSLOCG00000015731
LOC116953616	ENSLOCG00000005731
LOC116954431	ENSLOCG00000009026
TMEM167B	ENSLOCG00000010229
ATG14	ENSLOCG00000011741
LOC116944686	ENSLOCG00000015312
ZBTB41	ENSLOCG00000007514
GULP1	ENSLOCG00000006118
ZNF142	ENSLOCG00000008959
LOC116952360	ENSLOCG00000012155
LOC116939732	ENSLOCG00000016003
LOC116939448	ENSLOCG00000013957
LOC116940097	ENSLOCG00000003301
PTDSS2	ENSLOCG00000000829
SLC31A2	ENSLOCG00000001771
TRMT5	ENSLOCG00000010120
EXOSC5	ENSLOCG00000014220
GEMIN6	ENSLOCG00000015777
NAGK	ENSLOCG00000001362
LOC116940582	ENSLOCG00000008167
LOC116958614	ENSLOCG00000001078
LOC116939791	ENSLOCG00000013933
IFT52	ENSLOCG00000001372
LOC116945025	ENSLOCG00000015292
CCDC134	ENSLOCG00000011860
MAP11	ENSLOCG00000013030
LOC116940190	ENSLOCG00000011208
TM9SF3	ENSLOCG00000011244
LRP2	ENSLOCG00000008113
GALNT3	ENSLOCG00000008304
LOC103091696	ENSLOCG00000013443
LOC116938541	ENSLOCG00000004706
DDX58	ENSLOCG00000006504
BEAN1	ENSLOCG00000005177
MRPS15	ENSLOCG00000003165
TMEM181	ENSLOCG00000016260
LOC116955392	ENSLOCG00000003627
ACTR6	ENSLOCG00000015163
LOC116958222	ENSLOCG00000004998
TRIP4	ENSLOCG00000014993
IDNK	ENSLOCG00000002152
ZFYVE21	ENSLOCG00000009956
LOC116939438	ENSLOCG00000009908
LOC116945890	ENSLOCG00000009425
LOC116941515	ENSLOCG00000005686
LOC116946860	ENSLOCG00000004155
LOC116946893	ENSLOCG00000005980
LOC116944195	ENSLOCG00000001129
KRI1	ENSLOCG00000007754
LOC116938511	ENSLOCG00000008426
MEAK7	ENSLOCG00000002721
C37H1orf146	ENSLOCG00000004762
VPS9D1	ENSLOCG00000002943
LOC116944901	ENSLOCG00000010341
LOC116955448	ENSLOCG00000011351
NAXE	ENSLOCG00000008812
RNF115	ENSLOCG00000005159
LOC116939888	ENSLOCG00000016320
NIM1K	ENSLOCG00000008131
RIOX2	ENSLOCG00000005079
LOC116951038	ENSLOCG00000013099
LOC116951990	ENSLOCG00000007879
TMEM182	ENSLOCG00000008692
NAA10	ENSLOCG00000014858
LOC116948253	ENSLOCG00000015966
SRD5A1	ENSLOCG00000008745
LOC116945906	ENSLOCG00000010956
DPAGT1	ENSLOCG00000003785
MRPS24	ENSLOCG00000015305
RACK1	ENSLOCG00000009758
LOC116958638	ENSLOCG00000009525
LOC116940967	ENSLOCG00000011314
CCT5	ENSLOCG00000013549
LOC116950914	ENSLOCG00000010135
LOC116946132	ENSLOCG00000007868
RPS15A	ENSLOCG00000007017
LOC116947177	ENSLOCG00000015921
LOC116947209	ENSLOCG00000002755
UFSP2	ENSLOCG00000013795
MYO15A	ENSLOCG00000005025
LOC116946264	ENSLOCG00000004308
LOC116952187	ENSLOCG00000002199
USE1	ENSLOCG00000004161
MCMDC2	ENSLOCG00000004629
LOC116955056	ENSLOCG00000015082
LOC116943130	ENSLOCG00000016795
LOC116946015	ENSLOCG00000012990
PEMT	ENSLOCG00000001840
MRPS22	ENSLOCG00000004403
SQSTM1	ENSLOCG00000011462
LOC116946137	ENSLOCG00000011822
VGLL4	ENSLOCG00000013927
RARS2	ENSLOCG00000016928
USP34	ENSLOCG00000016101
EIF3M	ENSLOCG00000004520
LOC116958346	ENSLOCG00000014847
PIGS	ENSLOCG00000006015
LOC116956017	ENSLOCG00000006895
C79H15orf40	ENSLOCG00000012937
LOC116947260	ENSLOCG00000014857
DNAJB11	ENSLOCG00000004052
WDSUB1	ENSLOCG00000006001
IDI1	ENSLOCG00000012273
SLC35B1	ENSLOCG00000011700
ECD	ENSLOCG00000008493
FAF1	ENSLOCG00000009388
EFL1	ENSLOCG00000012862
HACL1	ENSLOCG00000006085
LOC116948043	ENSLOCG00000008862
LAMTOR4	ENSLOCG00000016775
LOC116952502	ENSLOCG00000009658
LOC116939185	ENSLOCG00000003060
TMEM248	ENSLOCG00000002034
RAD1	ENSLOCG00000011768
SDHD	ENSLOCG00000006052
LOC116948230	ENSLOCG00000016114
RPL15	ENSLOCG00000006808
PXK	ENSLOCG00000013200
S100A1	ENSLOCG00000008004
FAM120B	ENSLOCG00000015490
LOC116937225	ENSLOCG00000015824
EPRS1	ENSLOCG00000016794
PRIMPOL	ENSLOCG00000013749
LOC116938657	ENSLOCG00000007634
LOC116938697	ENSLOCG00000012767
BANF1	ENSLOCG00000016781
RNF103	ENSLOCG00000010801
MPV17L	ENSLOCG00000007339
MPST	ENSLOCG00000011138
GCSH	ENSLOCG00000004029
CLPB	ENSLOCG00000007715
TPP1	ENSLOCG00000011342
C31H15orf41	ENSLOCG00000012223
RPAP1	ENSLOCG00000014706
LOC116943341	ENSLOCG00000016592
LOC116958276	ENSLOCG00000012253
P4HB	ENSLOCG00000013887
LOC116941062	ENSLOCG00000011135
LMO4	ENSLOCG00000005105
SLC30A2	ENSLOCG00000004764
FRS2	ENSLOCG00000016194
GPR157	ENSLOCG00000007093
LOC116950577	ENSLOCG00000002391
LOC116951465	ENSLOCG00000011103
THUMPD1	ENSLOCG00000000854
KLHDC10	ENSLOCG00000015965
ATP5PB	ENSLOCG00000011269
C9H2orf81	ENSLOCG00000005065
SHOC2	ENSLOCG00000012301
LOC116957920	ENSLOCG00000016991
NT5C1A	ENSLOCG00000002015
EXOSC1	ENSLOCG00000003776
LOC116941435	ENSLOCG00000009189
CD151	ENSLOCG00000016843
LOC116958418	ENSLOCG00000004823
LOC116941933	ENSLOCG00000002336
NUDT8	ENSLOCG00000007952
PPIL4	ENSLOCG00000017002
RPIA	ENSLOCG00000009361
LOC116940740	ENSLOCG00000010109
PIGC	ENSLOCG00000010464
PPCDC	ENSLOCG00000014263
LOC116951898	ENSLOCG00000002705
TCP1	ENSLOCG00000016197
LOC116936942	ENSLOCG00000003415
INSC	ENSLOCG00000003105
TRAF6	ENSLOCG00000001118
LOC116947568	ENSLOCG00000013716
LMOD2	ENSLOCG00000010089
IDH2	ENSLOCG00000014327
HAPLN3	ENSLOCG00000004701
KIAA0930	ENSLOCG00000016527
KDM6A	ENSLOCG00000001802
C11H2orf42	ENSLOCG00000015328
LOC116943342	ENSLOCG00000014873
NEURL2	ENSLOCG00000006803
WDR5	ENSLOCG00000004568
CDC45	ENSLOCG00000001829
LOC116944144	ENSLOCG00000003566
GOT2	ENSLOCG00000006474
LOC116946486	ENSLOCG00000017076
SPG7	ENSLOCG00000004540
NUP205	ENSLOCG00000016600
KLHL26	ENSLOCG00000001457
MPHOSPH9	ENSLOCG00000005656
LOC116953031	ENSLOCG00000001188
NTMT1	ENSLOCG00000002241
LOC116940485	ENSLOCG00000008752
KIF27	ENSLOCG00000002225
LOC116944895	ENSLOCG00000007357
PDPK1	ENSLOCG00000003794
LUC7L	ENSLOCG00000007877
GTF3C1	ENSLOCG00000000909
SC5D	ENSLOCG00000004754
SUPT4H1	ENSLOCG00000002970
LOC116950740	ENSLOCG00000008751
PERCC1	ENSLOCG00000006402
LOC116951654	ENSLOCG00000002463
DGCR2	ENSLOCG00000004943
ADPRH	ENSLOCG00000010474
RHBDL3	ENSLOCG00000003471
USP10	ENSLOCG00000004297
ABHD12	ENSLOCG00000016763
FBLN7	ENSLOCG00000016546
ZEB2	ENSLOCG00000001301
SURF4	ENSLOCG00000005358
LOC116939460	ENSLOCG00000014189
UBE2T	ENSLOCG00000009649
GTF2E2	ENSLOCG00000013191
ALX1	ENSLOCG00000002829
PIP4K2A	ENSLOCG00000011828
HDAC11	ENSLOCG00000014033
CDK10	ENSLOCG00000002991
DCUN1D3	ENSLOCG00000007958
LOC116952963	ENSLOCG00000010758
TMEM62	ENSLOCG00000013540
TRANK1	ENSLOCG00000004808
LOC116956103	ENSLOCG00000013142
NCAPG2	ENSLOCG00000012399
CMTR2	ENSLOCG00000017595
PRADC1	ENSLOCG00000000225
ZPR1	ENSLOCG00000005578
KCNRG	ENSLOCG00000009277
COL4A6	ENSLOCG00000014335
LOC116954644	ENSLOCG00000010541
LOC116955019	ENSLOCG00000014180
KCNG3	ENSLOCG00000016461
LOC116939323	ENSLOCG00000009618
LOC116952268	ENSLOCG00000010337
LOC116936980	ENSLOCG00000011681
LOC116941307	ENSLOCG00000007685
PHB	ENSLOCG00000011441
TMEM237	ENSLOCG00000010304
LOC116952475	ENSLOCG00000011084
UVRAG	ENSLOCG00000004748
RBP1	ENSLOCG00000007648
LOC116944449	ENSLOCG00000006792
LOC116947365	ENSLOCG00000016466
TRMT11	ENSLOCG00000016519
LOC116953387	ENSLOCG00000018199
LOC116953316	ENSLOCG00000017147
LOC116955098	ENSLOCG00000008162
DMTF1	ENSLOCG00000016713
LOC116958608	ENSLOCG00000011937
LOC116944817	ENSLOCG00000001585
LOC116948094	ENSLOCG00000003395
DCTN2	ENSLOCG00000005825
VIL1	ENSLOCG00000008995
MED24	ENSLOCG00000012864
LOC116938518	ENSLOCG00000004047
LOC116943714	ENSLOCG00000008324
MTFP1	ENSLOCG00000007521
GARS1	ENSLOCG00000009688
LOC116947298	ENSLOCG00000012106
ACVR2A	ENSLOCG00000009939
LOC116943970	ENSLOCG00000006846
LOC116944894	ENSLOCG00000006343
LOC116946231	ENSLOCG00000011192
DUSP27	ENSLOCG00000009695
LOC116948063	ENSLOCG00000003343
CHTF18	ENSLOCG00000005695
LOC116951439	ENSLOCG00000002701
LOC116940283	ENSLOCG00000012269
LOC116953308	ENSLOCG00000012963
CEP97	ENSLOCG00000009560
FANCB	ENSLOCG00000010078
LOC116955849	ENSLOCG00000003056
AARSD1	ENSLOCG00000012212
LOC116951045	ENSLOCG00000012019
FGD6	ENSLOCG00000015755
LOC116952684	ENSLOCG00000010248
LOC116948538	ENSLOCG00000010716
LOC116938827	ENSLOCG00000004317
TADA1	ENSLOCG00000010492
CDAN1	ENSLOCG00000013516
LOC116954233	ENSLOCG00000007320
LOC116948204	ENSLOCG00000004802
TMEM86A	ENSLOCG00000001930
KCTD9	ENSLOCG00000014981
MAP2K4	ENSLOCG00000012127
LOC116938368	ENSLOCG00000002018
TSKU	ENSLOCG00000001049
LOC116953363	ENSLOCG00000016506
RNASET2	ENSLOCG00000016824
COQ6	ENSLOCG00000010998
LOC116952595	ENSLOCG00000009085
WDR47	ENSLOCG00000007751
LOC116940597	ENSLOCG00000010207
IDUA	ENSLOCG00000012221
LOC116941646	ENSLOCG00000009809
ATOX1	ENSLOCG00000011673
TMED4	ENSLOCG00000015187
LOC116951493	ENSLOCG00000012634
PICALM	ENSLOCG00000005274
MTHFR	ENSLOCG00000005606
LOC116937861	ENSLOCG00000007503
LOC116940729	ENSLOCG00000008720
COL17A1	ENSLOCG00000011911
GOSR1	ENSLOCG00000004641
LOC116957930	ENSLOCG00000001022
SRA1	ENSLOCG00000011051
RNF32	ENSLOCG00000012477
LOC116948587	ENSLOCG00000013296
LOC116955498	ENSLOCG00000017803
ALPK1	ENSLOCG00000006584
TMEM189	ENSLOCG00000002269
TBR1	ENSLOCG00000008583
LOC116953091	ENSLOCG00000004506
LOC116945524	ENSLOCG00000001539
EEF1AKMT4	ENSLOCG00000005939
MCM8	ENSLOCG00000016449
DSCC1	ENSLOCG00000009176
SLC40A1	ENSLOCG00000008735
PLA2G3	ENSLOCG00000005777
LOC116939510	ENSLOCG00000015682
LOC116939552	ENSLOCG00000010457
SMPD2	ENSLOCG00000009741
LOC116939943	ENSLOCG00000015085
LOC116946507	ENSLOCG00000009827
PRRC1	ENSLOCG00000008454
LOC116942561	ENSLOCG00000004948
PDCL3	ENSLOCG00000010617
THOC2	ENSLOCG00000014546
CTDNEP1	ENSLOCG00000014490
LOC116956978	ENSLOCG00000018055
CFAP58	ENSLOCG00000011978
LOC116943122	ENSLOCG00000009849
XPO6	ENSLOCG00000003304
SLC29A4	ENSLOCG00000004787
LOC116954762	ENSLOCG00000006498
LOC116939286	ENSLOCG00000003310
CMC1	ENSLOCG00000002385
TCTEX1D4	ENSLOCG00000017733
LOC116951843	ENSLOCG00000013213
BRF1	ENSLOCG00000010360
VMP1	ENSLOCG00000003867
CCDC189	ENSLOCG00000003315
SQOR	ENSLOCG00000013097
POLR2F	ENSLOCG00000011827
LOC116955120	ENSLOCG00000011121
TMEM251	ENSLOCG00000017714
TADA2A	ENSLOCG00000005887
PTPA	ENSLOCG00000002220
FIBIN	ENSLOCG00000006483
STC2	ENSLOCG00000009157
LOC116938318	ENSLOCG00000007981
DNTTIP2	ENSLOCG00000009635
LOC116957020	ENSLOCG00000003053
TSPO	ENSLOCG00000000562
LOC116938299	ENSLOCG00000012118
TRMT112	ENSLOCG00000001190
BTBD9	ENSLOCG00000017047
COPS2	ENSLOCG00000013176
WDTC1	ENSLOCG00000003956
TMEM104	ENSLOCG00000011150
LOC116952320	ENSLOCG00000015734
PRAF2	ENSLOCG00000010101
LOC116953499	ENSLOCG00000001782
RFX7	ENSLOCG00000013505
LOC116955759	ENSLOCG00000004652
LOC116957066	ENSLOCG00000002289
LOC116938595	ENSLOCG00000001087
MCAT	ENSLOCG00000015128
LOC116956389	ENSLOCG00000011510
LOC116943534	ENSLOCG00000002621
COG4	ENSLOCG00000007581
MED10	ENSLOCG00000008783
DHRS7B	ENSLOCG00000002078
LOC116957568	ENSLOCG00000010783
TFAP2D	ENSLOCG00000016336
PGLS	ENSLOCG00000008572
LOC116937796	ENSLOCG00000004048
LOC116940748	ENSLOCG00000001228
LOC116947671	ENSLOCG00000015953
CPQ	ENSLOCG00000003378
RIOK1	ENSLOCG00000011728
TRHDE	ENSLOCG00000016252
MRPS11	ENSLOCG00000014531
TRMT61A	ENSLOCG00000009920
LRRIQ1	ENSLOCG00000016340
LOC116939769	ENSLOCG00000016743
LOC116942190	ENSLOCG00000013480
DARS2	ENSLOCG00000009206
AMFR	ENSLOCG00000006944
LOC116954062	ENSLOCG00000008715
EXOC3	ENSLOCG00000013261
SLC25A30	ENSLOCG00000005454
LOC116949327	ENSLOCG00000003208
SGPL1	ENSLOCG00000011521
NME5	ENSLOCG00000009764
PTRHD1	ENSLOCG00000015890
RPS21	ENSLOCG00000005469
LOC116955109	ENSLOCG00000006854
ANKRD27	ENSLOCG00000001654
ZC3H3	ENSLOCG00000008621
TNIP1	ENSLOCG00000011786
HELLS	ENSLOCG00000009470
LOC116939079	ENSLOCG00000005354
MTRES1	ENSLOCG00000016585
NPEPL1	ENSLOCG00000006225
LOC116941144	ENSLOCG00000003882
CPSF3	ENSLOCG00000016823
PXMP4	ENSLOCG00000000996
LOC116940543	ENSLOCG00000013002
LOC116940580	ENSLOCG00000008201
ISYNA1	ENSLOCG00000005587
FANCL	ENSLOCG00000016137
RWDD1	ENSLOCG00000017114
SIRT3	ENSLOCG00000002426
API5	ENSLOCG00000001136
PUF60	ENSLOCG00000010106
LOC116951428	ENSLOCG00000009407
ATP13A3	ENSLOCG00000004949
LOC116956443	ENSLOCG00000015564
RAB10	ENSLOCG00000016323
NELL1	ENSLOCG00000016436
KCNJ10	ENSLOCG00000018193
JHY	ENSLOCG00000005503
LOC116948091	ENSLOCG00000002758
PHGDH	ENSLOCG00000007973
KIZ	ENSLOCG00000016881
ARV1	ENSLOCG00000015761
LOC116942923	ENSLOCG00000008825
RPL30	ENSLOCG00000009836
LOC116957825	ENSLOCG00000014083
MYB	ENSLOCG00000016218
LOC116945283	ENSLOCG00000016895
LOC116952405	ENSLOCG00000017919
WDR93	ENSLOCG00000014364
LOC116939529	ENSLOCG00000012763
DLD	ENSLOCG00000015897
EIF2B2	ENSLOCG00000010473
LOC116938252	ENSLOCG00000002845
LOC116947574	ENSLOCG00000011154
LOC116953204	ENSLOCG00000017913
LOC116953516	ENSLOCG00000007963
EIF3B	ENSLOCG00000004215
KLHL22	ENSLOCG00000006522
ARMH4	ENSLOCG00000011110
LOC116957390	ENSLOCG00000009490
C57H15orf48	ENSLOCG00000013117
TATDN3	ENSLOCG00000000863
BPNT1	ENSLOCG00000000317
LOC116955858	ENSLOCG00000003111
SYT12	ENSLOCG00000001528
TTLL12	ENSLOCG00000015088
LOC116958225	ENSLOCG00000004582
WDR60	ENSLOCG00000012365
LOC116954157	ENSLOCG00000002198
LOC116955890	ENSLOCG00000000869
QDPR	ENSLOCG00000003181
SCG5	ENSLOCG00000012605
LOC116942169	ENSLOCG00000017948
ZNF608	ENSLOCG00000008603
RBM45	ENSLOCG00000006862
LOC116945618	ENSLOCG00000015542
LOC116946470	ENSLOCG00000004791
PAMR1	ENSLOCG00000001426
CCDC197	ENSLOCG00000013016
EEF2K	ENSLOCG00000008265
SRPRA	ENSLOCG00000002733
RPL37	ENSLOCG00000011220
FBXO4	ENSLOCG00000008043
LOC116954876	ENSLOCG00000013609
PGM3	ENSLOCG00000017072
LOC116957054	ENSLOCG00000012136
CNMD	ENSLOCG00000005306
PJVK	ENSLOCG00000006261
BET1	ENSLOCG00000010821
HMCN1	ENSLOCG00000001656
NGDN	ENSLOCG00000000774
LOC116940477	ENSLOCG00000012958
LOC116945641	ENSLOCG00000003172
LOC116945159	ENSLOCG00000005830
MAP10	ENSLOCG00000015849
HERC1	ENSLOCG00000014851
LOC116942849	ENSLOCG00000008896
DUS2	ENSLOCG00000008097
RWDD3	ENSLOCG00000008213
RPS9	ENSLOCG00000008007
C3H11orf88	ENSLOCG00000001229
LRRC47	ENSLOCG00000005902
DOT1L	ENSLOCG00000005809
LOC116948120	ENSLOCG00000006785
ST14	ENSLOCG00000003953
METTL15	ENSLOCG00000006371
LOC116958720	ENSLOCG00000003921
CLYBL	ENSLOCG00000003101
LOC116940339	ENSLOCG00000013115
GOLGA7	ENSLOCG00000008912
ADAL	ENSLOCG00000014596
LAMTOR2	ENSLOCG00000008891
PSMC3IP	ENSLOCG00000012441
KBTBD12	ENSLOCG00000013077
STX12	ENSLOCG00000017026
RPS29	ENSLOCG00000011385
MASTL	ENSLOCG00000007561
PIK3CD	ENSLOCG00000004421
LOC116953419	ENSLOCG00000000948
LOC116953396	ENSLOCG00000009615
LOC116950634	ENSLOCG00000001415
EEF2	ENSLOCG00000006634
LOC116953354	ENSLOCG00000010990
WDR76	ENSLOCG00000014639
MRPL3	ENSLOCG00000001514
LOC116949365	ENSLOCG00000016703
GPN1	ENSLOCG00000015949
ROGDI	ENSLOCG00000001146
GUSB	ENSLOCG00000003067
LOC116955970	ENSLOCG00000005671
ASTE1	ENSLOCG00000001565
C9H20orf27	ENSLOCG00000001593
LOC116945826	ENSLOCG00000012125
LOC116948082	ENSLOCG00000008983
ETHE1	ENSLOCG00000005717
LOC116950430	ENSLOCG00000009401
CTH	ENSLOCG00000010025
ADSS2	ENSLOCG00000012740
DHDH	ENSLOCG00000015126
LOC116953884	ENSLOCG00000014626
BBS1	ENSLOCG00000002571
ZUP1	ENSLOCG00000017125
