ID	NAME	Eggs_G	Embr_32cells	Embr_8h	Embr_15h	Embr_36h	PreMetam_G	Cirri_b	Epidermis_b	FemGonads_b	Gills_b	Gut_b	Hepatic_b	Hepatic_o	MaleGonads_b	Muscle_b	NeuralTube_b	NeuralTube_o
BL00036	FAT4	0.00	0.02	0.03	0.03	0.11	156.14	0.18	0.09	0.33	2.71	266.76	1055.54	924.02	1.39	1.63	1.57	4.14
BL00037	MFSD9	9.01	6.14	1.23	0.23	0.80	1.40	7.78	4.07	5.18	4.07	3.84	4.68	4.09	6.62	1.35	2.81	2.79
BL00038	ANGPTL2	0.23	0.69	22.17	16.35	22.77	2.79	1.24	1.91	1.44	3.27	1.48	0.67	0.45	1.17	0.81	19.44	7.33
BL00039	FMO4	21.06	24.77	5.53	0.80	2.07	7.77	4.03	4.96	4.02	5.65	4.70	3.18	3.77	7.99	2.40	4.50	4.49
BL00040	Hypp13589	0.08	0.07	0.32	0.19	0.03	4.78	0.43	0.00	0.11	8.76	0.19	0.13	0.02	0.40	1.94	0.11	0.12
BL00041	Hypp13597	19.05	19.38	22.03	0.00	0.35	0.00	0.00	0.00	20.99	11.83	0.00	0.05	0.00	35.17	1.39	0.15	0.18
BL00043	Hypp13595	0.02	0.07	0.55	0.55	7.51	6.85	2.50	0.04	0.25	0.09	0.26	0.30	0.10	1.28	6.74	1.97	1.51
BL00044	PPIB	2.05	0.00	3.02	35.49	28.89	29.85	20.32	4.79	337.64	0.89	53.71	85.67	39.20	81.90	6.33	43.34	32.10
BL00045	CYP2U1	0.00	0.00	0.31	0.22	0.40	0.22	0.49	0.17	0.00	0.61	0.56	0.00	0.00	0.35	1.14	1.15	1.15
BL00046	ZCCHC14	66.88	10.78	6.10	11.57	12.13	7.24	21.41	15.24	17.17	17.72	7.88	12.03	18.90	34.40	9.14	9.98	12.74
BL00049	RECQL	0.43	23.37	2.60	11.22	1.54	1.19	4.52	0.11	2.67	1.58	0.06	0.46	0.51	2.41	0.04	3.13	1.68
BL00051	Hypp4039	0.77	0.08	0.27	0.17	0.48	1.82	6.48	0.19	1.28	0.18	0.18	4.21	0.22	0.14	0.12	0.88	0.58
BL00053	Hypp4348	0.03	0.08	0.03	0.06	0.35	88.11	0.80	0.08	0.90	0.59	241.24	175.30	328.28	4.86	13.07	36.18	107.39
BL00057	XPO6	43.23	34.07	11.70	10.15	12.55	5.87	8.45	13.39	19.55	7.95	12.26	6.51	5.60	31.91	10.52	6.75	5.96
BL00059	Hypp5931	0.79	1.27	1.29	0.35	0.40	0.39	5.26	19.86	0.33	3.28	3.69	2.72	2.02	0.99	3.41	1.49	1.38
BL00060	PTPN14	74.57	66.40	61.52	23.42	26.32	22.40	26.61	16.52	10.08	26.57	13.22	7.09	10.85	37.58	18.97	10.39	16.53
BL00061	NINL	66.13	69.68	29.07	24.17	24.93	20.99	17.47	6.25	13.89	20.28	15.48	16.46	29.31	9.67	6.37	7.97	13.65
BL00063	ENSG00000262472	0.51	23.58	79.41	60.88	63.06	6.73	7.99	12.85	227.79	6.01	8.47	12.44	20.38	22.16	15.58	1.50	1.22
BL00065	DGCR6L	3.36	7.76	12.74	7.37	6.59	3.17	6.06	10.88	45.26	11.54	3.23	2.78	3.43	26.76	9.35	6.64	8.01
BL00068	CYP24A1	0.01	0.00	0.00	0.00	0.00	0.19	0.60	0.87	0.09	0.50	0.02	8.02	6.19	0.07	0.32	0.22	0.66
BL00073	SMPD2	0.00	0.00	0.10	0.03	0.28	1.75	0.45	0.18	0.99	0.36	0.08	0.46	0.31	1.18	0.13	0.05	0.14
BL00077	HPGDS	0.70	0.00	1.28	0.05	0.08	1.89	12.37	8.71	4.90	10.45	1.91	2.98	12.03	2.88	4.77	4.98	8.71
BL00078	NLGN2	0.02	0.11	0.03	0.05	0.01	0.10	0.19	0.03	0.14	0.00	0.10	0.05	0.02	0.10	0.03	0.95	0.14
BL00079	GOT1	4.22	55.81	6.21	19.10	48.14	51.48	52.42	30.36	20.18	43.60	99.72	47.36	44.93	94.50	94.10	45.39	32.03
BL00081	SYT15	0.00	0.00	0.10	0.00	0.29	2.95	0.57	0.01	0.11	2.24	6.95	2.78	4.21	0.27	0.27	3.81	1.15
BL00082	PLG	0.05	0.00	0.40	0.37	0.10	34.10	0.04	0.01	0.16	0.40	35.24	182.20	263.28	1.12	0.93	0.20	0.87
BL00083	LOXHD1	0.85	2.18	1.59	3.84	5.99	15.59	8.75	6.77	3.03	17.22	11.28	3.44	4.73	11.66	2.37	11.02	8.32
BL00085	FAT4	4.57	1.45	0.42	0.07	1.47	5.80	3.72	2.47	2.14	49.94	24.60	60.18	34.64	3.08	7.35	1.52	4.95
BL00086	Hypp14426	0.38	0.22	99.67	40.41	22.06	7.22	0.67	0.02	8.15	4.45	0.20	0.86	0.84	0.61	0.84	0.06	0.18
BL00088	NR0B1	4.62	1.45	1.83	0.56	5.91	3.49	2.91	2.54	5.37	1.24	5.81	3.02	2.83	5.31	1.51	3.31	4.01
BL00089	KLHL24	0.00	0.06	0.04	0.00	0.00	2.26	2.47	0.00	0.63	0.22	0.11	0.34	0.02	1.12	4.05	0.59	0.28
BL00091	POMGNT1	64.92	33.78	12.53	15.73	12.93	8.45	5.15	2.42	3.10	4.79	4.78	2.74	2.59	3.41	2.86	7.09	4.69
BL00092	Hypp13208	0.00	0.00	0.08	0.00	0.02	2.30	0.04	0.02	0.13	0.16	0.00	0.01	0.10	1.48	0.03	2.10	1.74
BL00094	TMEM93	0.07	29.20	12.19	25.04	20.54	14.50	11.76	15.39	32.83	22.12	19.89	11.71	14.18	24.23	13.92	25.24	16.72
BL00095	CPLX1	3.04	8.12	7.42	0.44	3.95	117.72	7.16	6.99	5.10	2.30	3.34	1.46	6.91	22.14	13.24	321.32	188.37
BL00096	Hypp13212	0.00	0.00	0.01	0.00	0.03	7.37	5.67	0.00	0.11	0.00	0.03	1.15	0.09	0.45	0.17	0.12	0.00
BL00097	CPE	0.09	0.03	0.22	0.01	0.23	5.89	4.07	0.03	0.47	14.18	4.45	2.20	5.97	10.21	1.13	1.31	0.46
BL00098	PCYT2	0.44	2.10	50.39	218.26	38.74	5.81	0.35	0.67	0.42	19.89	3.59	33.62	29.65	0.93	6.64	0.43	0.22
BL00099	FAM53A	1.66	37.55	4.60	39.30	48.62	36.25	61.63	17.39	26.71	93.19	8.39	6.93	13.20	36.02	28.50	62.09	129.45
BL00102	ACHE	5.65	9.88	40.46	46.44	48.96	52.38	108.55	89.13	47.64	47.44	74.65	51.55	39.27	56.88	30.26	84.14	61.11
BL00106	N6AMT2	16.78	32.36	102.00	20.90	15.85	4.33	8.89	12.02	10.07	9.34	10.22	5.52	5.33	14.42	8.01	9.83	6.84
BL00107	KIAA0895L	0.41	4.37	3.18	15.05	5.88	9.11	2.50	0.67	1.46	8.66	1.89	1.04	0.89	39.52	1.03	1.89	2.83
BL00110	MALT1	2.99	3.00	1.08	0.30	1.84	11.47	6.15	8.77	1.38	5.27	9.89	7.99	1.74	1.32	1.77	1.69	3.34
BL00111	MED23	26.61	13.96	6.15	6.69	6.23	4.29	12.50	8.51	5.96	9.07	3.27	3.14	3.74	8.90	5.32	14.63	10.63
BL00112	SLC16A12	0.00	0.00	0.09	0.08	0.06	1.29	4.15	0.04	0.32	0.07	0.03	0.03	0.13	0.85	4.21	1.55	0.56
BL00114	ELP3	2.43	30.65	3.35	9.10	7.59	4.50	8.91	7.04	10.79	11.22	7.36	4.94	5.81	7.56	5.20	8.92	10.38
BL00115	SVEP1	0.12	8.07	0.28	1.79	0.03	0.03	8.41	65.85	0.38	0.19	0.18	0.16	0.05	0.14	0.76	0.30	0.06
BL00121	TSPAN17	0.04	0.08	0.10	0.26	0.38	11.43	1.50	0.22	0.57	0.54	8.10	0.22	0.83	0.85	11.13	88.72	195.12
BL00122	SYNPO2	0.00	0.12	0.15	0.03	7.75	77.93	59.70	1.11	3.14	6.50	7.20	0.82	2.74	7.17	840.12	1.92	14.61
BL00123	ANGPT1	0.43	0.31	0.39	0.34	0.21	2.52	0.39	0.13	0.43	0.05	0.05	0.01	0.01	0.51	0.16	0.68	1.18
BL00124	ENSG00000267909	3.91	10.51	6.55	6.75	3.99	9.67	2.03	1.59	10.93	16.12	7.30	3.14	3.67	28.43	2.22	8.93	7.45
BL00125	Hypp15883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BL00126	Hypp15884	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BL00127	Hypp15896	0.00	0.00	0.29	0.11	0.17	0.19	1.17	0.00	1.68	0.26	0.10	0.08	0.16	2.22	0.03	0.74	0.21
BL00128	Hypp15889	0.00	0.00	1.32	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
BL00129	ZNF569	0.22	0.15	1.13	0.87	0.28	0.04	0.09	0.00	1.90	0.00	0.05	0.00	0.00	1.14	0.03	0.03	0.00
BL00131	FRY	2.78	4.32	0.77	3.85	4.68	5.55	7.83	6.04	4.25	5.25	2.50	1.64	2.89	7.88	2.01	7.74	6.76
BL00132	USP46	1.04	97.69	25.71	35.21	56.71	7.00	27.02	23.26	30.71	46.16	8.10	7.79	8.35	15.41	14.60	21.57	23.49
BL00134	SLC6A5	0.09	0.00	0.09	0.04	0.34	2.39	0.84	0.00	0.09	0.78	0.05	0.14	0.78	2.82	0.21	27.46	17.74
BL00135	TTC28	0.03	0.00	0.02	0.00	0.00	0.24	0.18	0.02	0.00	0.38	0.10	1.43	3.33	0.07	0.00	0.01	0.06
BL00136	Hypp688	0.00	0.02	0.58	0.07	0.14	0.49	0.22	0.06	0.09	0.27	0.07	0.12	0.03	1.60	0.24	7.78	4.96
BL00137	DHX40	17.26	4.99	1.25	0.82	4.04	1.75	5.23	5.28	10.17	4.43	2.04	3.37	2.41	4.00	6.04	3.65	6.93
BL00138	SULT1B1	0.76	0.06	1.20	0.37	0.18	0.63	2.32	0.56	2.66	3.48	0.63	0.87	0.20	6.39	1.94	3.70	1.72
BL00139	HIST1H2BM	0.08	0.10	0.51	0.01	0.12	0.18	0.09	0.00	0.88	0.05	0.03	0.08	0.12	12.11	0.00	0.02	0.02
BL00142	TACR2	0.00	0.00	0.58	0.02	0.00	0.13	0.00	0.00	0.04	0.00	0.00	0.00	0.01	0.05	0.00	0.30	0.02
BL00143	DHX37	14.77	12.96	2.95	8.62	6.94	4.40	5.29	5.33	16.93	6.31	7.39	4.34	3.00	10.13	2.84	4.31	5.26
BL00144	MFSD2A	0.04	0.77	8.58	0.68	0.25	2.26	0.31	0.08	0.64	0.39	0.00	0.24	1.19	1.90	0.23	0.95	1.33
BL00145	PELP1	9.00	11.67	5.70	7.57	4.41	1.54	2.44	3.42	7.58	1.45	5.41	3.11	1.12	7.86	2.35	1.69	0.76
BL00148	ITM2C	213.06	144.54	195.90	46.84	127.62	283.19	469.18	443.83	21.83	550.72	241.59	183.78	187.10	82.70	256.70	539.48	323.89
BL00149	PANK4	3.99	6.00	2.69	1.89	3.10	6.00	14.52	10.85	7.63	9.52	7.51	7.79	8.56	15.02	6.51	8.51	11.86
BL00151	MATN2	0.15	0.11	0.27	0.02	0.05	1.40	0.63	1.00	8.55	0.07	0.00	0.03	0.04	11.14	0.63	0.29	0.09
BL00152	CAV3	0.48	0.03	0.13	0.08	5.92	15.35	5.87	0.37	0.39	1.19	0.62	0.07	0.91	1.56	34.91	0.70	3.00
BL00153	GRTP1	16.20	7.66	4.79	5.99	5.56	4.19	3.17	3.36	2.93	0.65	4.31	3.23	4.57	1.21	0.97	5.14	3.63
BL00154	Hypp15235	123.62	40.51	142.48	41.28	93.44	150.17	69.06	80.34	62.90	56.24	56.75	48.04	51.51	76.38	69.24	70.14	69.00
BL00155	Hypp2449	2.87	2.50	1.34	2.16	8.40	39.36	30.02	20.80	18.85	6.56	35.89	12.59	11.24	39.41	51.22	173.70	42.15
BL00156	RNASEH2A	2.16	17.84	4.06	3.95	5.69	1.00	9.48	5.26	63.10	2.24	2.14	3.38	2.80	15.18	6.36	5.94	2.88
BL00157	RPE	26.89	32.70	13.08	8.66	9.10	6.11	9.28	15.13	49.94	17.48	15.83	13.12	7.12	13.72	6.78	5.92	7.87
BL00158	CCDC55	0.78	8.48	3.52	4.60	5.71	3.10	4.46	2.89	6.35	3.68	6.56	2.86	2.57	6.41	3.68	3.92	11.44
BL00159	TSPAN33	10.27	0.43	0.78	0.16	4.36	2.99	10.13	9.71	7.68	13.28	9.62	7.83	8.54	7.78	12.21	8.80	10.29
BL00160	C6orf192	0.10	4.14	0.20	0.08	0.02	1.68	1.01	0.69	0.09	0.57	5.92	10.93	9.41	0.53	0.33	0.71	3.25
BL00165	DGCR14	35.88	56.78	16.26	12.38	16.90	15.55	9.94	8.16	13.80	10.53	9.24	7.79	5.27	15.60	7.37	9.19	11.40
BL00166	Hypp5473	0.00	0.04	0.06	0.02	0.07	0.26	0.01	0.04	0.02	0.02	0.02	0.00	0.00	0.06	0.00	1.58	0.18
BL00168	TSSK1B	0.00	0.52	0.21	0.00	0.03	0.07	0.13	0.02	0.12	0.00	0.03	0.00	0.00	3.39	0.00	0.07	0.51
BL00170	Hypp5467	0.00	0.00	0.14	0.07	0.03	0.02	0.01	0.00	0.12	0.43	0.07	0.00	0.00	31.53	0.02	0.01	0.00
BL00171	Hypp5471	0.00	0.01	23.87	65.89	1.05	5.88	1.07	1.03	0.18	0.81	0.01	0.04	0.05	0.16	0.12	15.11	6.69
BL00174	HMGCR	1.32	47.39	20.68	17.02	23.17	24.80	11.73	16.03	8.98	21.04	44.96	15.58	11.94	63.24	17.21	13.08	11.23
BL00175	Hypp15259	0.00	0.00	0.46	0.24	0.00	0.49	1.08	0.36	0.33	0.00	0.00	0.00	0.24	0.00	0.36	0.95	0.72
BL00176	INSR	20.07	26.23	4.54	27.42	51.18	108.25	116.10	63.09	16.32	207.86	158.95	117.61	108.89	137.10	87.45	93.09	236.42
BL00177	CAMK4	5.15	14.92	6.81	73.41	22.92	63.50	23.44	7.39	6.86	23.21	16.61	12.53	6.84	5.23	9.48	77.45	73.48
BL00179	CPNE3	6.49	4.31	2.81	2.76	13.75	14.38	33.65	41.54	6.54	27.35	27.77	13.29	11.15	6.23	12.67	28.04	30.66
BL00184	FCN1	0.00	0.00	0.00	0.10	0.00	1.25	0.00	0.16	0.00	0.00	38.05	1.12	6.05	1.81	0.77	0.00	0.47
BL00185	PDE11A	0.02	0.01	1.60	0.22	0.55	24.63	2.51	8.04	0.41	0.54	0.35	1.20	0.16	1.66	0.43	37.98	27.18
BL00186	GBX2	0.00	0.00	0.09	0.30	8.90	10.29	29.64	9.85	0.15	1.86	0.18	0.00	0.22	0.94	9.33	1.12	4.04
BL00188	Hypp14390	0.04	0.09	0.05	0.03	0.11	1.41	0.52	0.38	0.17	0.26	0.16	0.05	0.25	0.92	0.63	9.58	1.58
BL00190	NPBWR1	0.03	0.09	0.09	0.07	0.60	0.63	1.33	0.16	0.34	0.10	1.22	0.17	0.07	0.45	1.22	6.80	16.00
BL00191	Hypp14378	0.06	0.00	0.30	0.03	0.05	0.31	0.25	0.43	0.13	11.76	0.06	0.02	0.04	0.61	0.18	0.33	0.12
BL00192	Hypp14393	4.11	20.60	10.96	2.94	5.92	2.33	2.78	1.36	5.12	2.57	4.18	0.75	1.40	7.12	2.66	1.63	1.56
BL00193	Hypp14386	1.05	0.07	9.89	10.93	4.07	10.17	16.31	0.85	0.28	8.21	5.03	1.01	1.39	0.73	2.88	0.10	0.52
BL00195	KLHL7	0.46	0.71	1.52	2.75	5.35	5.34	8.90	7.58	8.49	6.01	4.51	4.03	3.48	20.18	3.74	8.59	7.37
BL00196	TUBG1	24.72	42.83	3.19	6.14	9.03	9.46	11.50	11.53	36.75	13.38	7.60	9.79	7.34	38.81	10.01	31.90	13.55
BL00197	HIST4H4	0.00	0.00	0.15	0.12	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00
BL00199	RAP2C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BL00200	NKAPL	79.43	59.69	49.15	20.10	16.45	13.72	18.80	12.27	10.08	25.31	14.89	11.31	9.27	28.19	8.61	13.46	21.13
BL00202	Hypp5709	78.16	31.10	26.99	7.70	9.17	10.47	30.75	20.06	13.55	28.19	5.88	14.32	13.35	13.88	11.77	28.73	13.40
BL00204	ENSG00000263965	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.53	0.00	0.00	0.00
BL00207	KLHDC5	2.54	0.35	0.40	0.14	0.00	0.42	0.12	0.00	0.11	0.10	0.00	0.00	0.03	3.34	0.94	0.04	9.40
BL00209	DPH1	1.63	2.18	0.84	4.23	7.75	10.32	6.94	10.18	19.53	7.69	14.27	11.25	6.35	12.86	8.95	5.64	6.81
BL00210	ESPNL	0.08	0.27	3.34	1.52	3.10	3.88	8.53	0.18	1.11	3.70	1.04	2.89	1.73	17.03	2.07	5.81	4.38
BL00212	STRA6	0.00	0.05	3.19	0.43	0.03	0.70	0.61	0.21	0.08	3.01	0.57	0.13	0.21	0.18	0.22	0.44	0.39
BL00214	Hypp7354	0.02	0.00	0.03	0.11	0.06	0.49	0.53	0.00	0.05	0.13	0.05	0.03	0.02	0.48	0.00	0.00	0.00
BL00215	FBN1	0.00	0.00	0.04	0.07	0.00	0.04	20.66	0.01	0.05	1.59	0.04	0.07	0.03	0.09	0.00	0.03	0.11
BL00218	UBE2J2	10.62	13.92	2.06	5.14	9.00	11.35	10.78	9.20	10.34	12.74	19.15	14.34	6.21	18.05	8.40	10.55	10.30
BL00219	MTOR	1.02	3.41	1.64	1.48	7.22	9.15	10.53	12.82	5.12	13.14	6.02	8.04	13.66	6.28	5.84	10.09	15.95
BL00220	PLA2G7	0.04	0.41	17.26	2.62	0.01	0.06	0.16	0.00	0.15	0.04	0.02	0.02	0.11	0.11	0.04	0.09	0.25
BL00221	ZMAT3	0.49	3.02	1.52	0.25	0.20	4.08	2.50	0.50	1.59	0.97	0.95	0.44	1.36	1.03	0.84	4.80	3.62
BL00223	CCDC27	2.49	1.41	1.64	11.17	8.92	15.49	9.37	10.97	3.57	64.93	24.00	12.93	9.51	11.52	5.02	3.37	3.39
BL00226	CHSY3	0.02	0.04	0.04	0.01	0.04	1.44	0.01	0.01	0.09	0.08	0.00	0.24	0.06	0.07	0.02	12.24	5.01
BL00227	ENSG00000269180	4.29	17.52	62.45	38.31	18.51	6.39	1.95	1.42	26.18	9.46	9.74	10.21	10.25	6.39	1.07	1.05	2.30
BL00230	QRICH2	0.04	8.23	2.04	20.03	11.90	16.46	6.26	4.02	2.02	31.53	24.82	11.05	4.69	33.62	3.59	1.68	1.76
BL00231	Hypp2030	0.00	0.03	0.30	0.03	0.06	0.08	0.08	0.06	0.13	0.40	0.06	0.22	0.06	70.93	0.07	0.05	0.10
BL00232	Hypp2021	0.03	0.27	0.11	0.03	2.20	1.93	0.21	0.02	1.98	0.14	0.04	0.00	0.01	0.67	0.14	4.24	2.35
BL00233	EIF3D	11.91	41.85	24.96	77.39	79.30	43.90	22.44	33.08	132.47	25.98	94.61	44.51	18.32	29.03	49.78	28.72	21.15
BL00236	LLGL2	849.14	357.76	522.16	401.72	167.39	162.85	217.89	104.89	44.76	113.08	58.99	78.21	64.81	38.19	37.06	142.32	346.88
BL00240	LRP3	2792.59	1210.19	1543.05	4.12	63.96	309.70	49.41	5.17	60.44	31.61	2.45	3.26	8.08	11.99	16.80	403.60	133.57
BL00242	TECR	0.50	14.07	2.32	0.63	4.34	4.94	11.15	21.00	15.25	7.49	8.75	29.82	25.79	7.96	6.67	5.31	8.10
BL00244	UBE2K	4.02	73.88	16.39	18.28	18.94	3.06	9.35	20.91	28.25	9.38	6.05	18.37	8.96	49.41	18.86	4.85	8.86
BL00245	CNKSR2	3.55	3.10	6.79	43.51	16.06	12.50	73.83	42.17	9.91	59.33	9.37	6.73	13.88	19.02	17.29	22.15	31.44
BL00246	HDX	1.60	7.33	2.12	3.93	2.50	3.01	3.97	4.30	7.67	3.14	1.24	1.51	1.40	10.25	1.68	3.35	3.54
BL00248	UBE2D4	1.71	3.45	7.21	2.02	0.61	3.05	9.77	0.76	39.10	9.39	4.50	9.37	5.49	7.19	0.75	1.98	9.08
BL00249	TLL1	0.00	0.00	0.07	0.00	0.08	0.42	0.10	0.00	0.00	0.13	0.00	3.54	0.00	0.00	0.00	0.00	0.42
BL00250	Hypp3518	2.71	15.88	4.74	6.54	4.55	3.30	4.67	0.65	2.23	2.65	2.45	3.19	2.95	8.00	0.63	1.30	2.03
BL00251	APOD	0.10	0.03	2.07	0.30	0.00	162.95	0.18	0.00	0.64	0.06	0.09	0.85	2.93	0.66	0.18	0.06	0.31
BL00253	CYP2U1	0.28	1.38	2.27	1.00	1.65	1.52	8.50	12.34	1.08	1.35	0.85	2.37	5.64	1.21	1.90	1.37	1.32
BL00254	HEBP2	0.58	0.18	0.72	0.97	0.07	89.89	0.35	0.00	0.87	0.00	0.05	0.18	29.31	3.73	0.06	0.03	0.70
BL00257	NELL2	2.59	31.51	4.79	9.22	12.13	38.15	23.18	3.65	6.34	20.51	10.02	4.10	13.16	4.07	9.73	45.15	13.44
BL00259	CPA2	0.26	0.04	6.21	5.03	22.58	46.28	6.59	0.00	0.07	50.56	4.34	25.22	77.88	0.00	0.10	5.72	3.39
BL00260	TERF2	11.25	46.74	29.85	4.36	6.99	2.77	4.40	6.95	3.46	8.72	4.66	2.72	1.87	18.59	3.19	3.24	5.05
BL00262	EXT2	19.67	63.82	35.37	15.59	24.13	21.47	21.01	13.15	11.83	22.48	19.16	13.37	6.44	10.14	7.33	12.48	11.54
BL00264	Hypp1780	0.02	0.16	0.29	0.06	0.07	0.32	0.82	0.41	0.14	0.23	0.27	0.45	0.41	0.22	0.29	1.15	0.62
BL00265	PMS1	0.84	5.23	1.20	0.29	0.43	0.65	0.48	0.54	2.42	0.30	0.41	0.10	0.74	1.23	0.19	1.31	0.44
BL00268	Hypp14269	0.00	0.00	0.06	0.00	5.70	168.72	0.24	0.00	0.98	10.51	230.88	1037.16	789.14	21.44	3.88	0.82	4.28
BL00269	ACHE	0.00	0.01	0.27	0.03	0.48	31.87	0.03	0.01	0.34	0.13	0.00	0.12	0.04	0.59	0.02	0.02	0.09
BL00272	PHOSPHO2	3.43	0.74	0.40	2.31	2.51	2.11	9.35	4.60	3.25	2.56	1.49	1.09	1.38	0.91	1.39	2.87	3.63
BL00273	CACNA2D4	0.70	2.78	1.83	0.22	6.61	5.70	9.95	15.48	2.90	14.63	12.09	8.89	3.75	8.22	6.95	8.87	6.34
BL00275	TTC28	0.03	0.09	0.09	0.05	0.05	0.50	0.19	0.05	0.03	0.12	2.97	7.70	16.47	0.23	0.02	0.06	0.17
BL00278	Hypp9435	0.00	0.00	0.29	5.61	2.37	0.00	0.10	0.00	0.02	0.37	0.00	0.04	0.01	0.20	0.02	0.00	0.00
BL00279	FAR1	4.49	1.34	3.45	0.39	0.62	1.35	0.78	0.58	1.09	0.35	0.29	0.22	0.13	1.15	0.44	0.68	0.61
BL00280	ARL1	73.09	68.46	132.09	107.35	68.58	35.81	31.81	42.44	18.52	24.71	57.98	20.85	14.37	29.66	16.82	36.89	22.62
BL00281	Hypp6141	0.08	0.12	0.14	0.01	0.15	2.93	7.81	8.53	0.79	6.91	9.52	10.80	8.23	2.00	4.96	6.46	12.28
