FID	NbGenes	NbSpecies	NbDesc	Strata	Losses	Panther Name
PTHR13568	66	22	23	Deuterostomia	Amical	Fam11a, b protein
PTHR10027:SF14	34	22	23	Deuterostomia	Amical	Potassium channel subfamily t member 1
PTHR32261:SF4	23	13	16	Vertebrata	Letrei,Petmar,Amical	Protein fam26f
PTHR13318:SF185	1	1	1	Eptbur		Not found
PTHR14186:SF21	15	13	23	Deuterostomia	Strpur,Hemichordata,Cephalochordata,Letrei,Amical,Euteleostei	Kazal-type serine protease inhibitor domain-containing protein 1
PTHR16154	77	22	23	Deuterostomia	Amical	Neurabin
PTHR11808:SF15	36	22	23	Deuterostomia	Amical	Cystathionine gamma-lyase
PTHR23022:SF105	112	9	23	Deuterostomia	Echinodermata,Sackow,Bralan,Hyperoartia,Chondrichthyes,Amical,Tetrapoda	Subfamily not named
PTHR34072:SF16	906	14	23	Deuterostomia	Hyperoartia,Calmil,Amical,Danrer,Amniotes	Not found
PTHR43903	97	14	23	Deuterostomia	Letrei,Actinopterygii,Tetrapoda	Family not named
PTHR14890	19	18	23	Deuterostomia	Brabel,Braflo,Leth,Amical	Family not named
PTHR14890:SF1	19	18	23	Deuterostomia	Brabel,Braflo,Leth,Amical	Fanconi anemia core complex-associated protein 100
PTHR22891:SF46	19	13	16	Vertebrata	Letrei,Amical,Orylat	Piwi-like protein 1
PTHR45935:SF16	194	2	2	Myxines		Not found
PTHR45913	236	7	16	Vertebrata	Letrei,Petmar,Actinopterygii,Amniotes	Family not named
PTHR22967:SF57	2	2	19	Chordata	Brabel,Braflo,Hyperoartia,Parata,Gnathostomata	Ap2-associated protein kinase 1
PTHR13456	16	15	23	Deuterostomia	Echinodermata,Ptyfla,Bralan,Letrei,Petmar,Amical,Danrer	Family not named
PTHR13456:SF0	16	15	23	Deuterostomia	Echinodermata,Ptyfla,Bralan,Letrei,Petmar,Amical,Danrer	Upf0729 protein c18orf32
PTHR36963	4	4	19	Chordata	Brabel,Bralan,Letrei,Petmar,Parata,Calmil,Osteichthyes	Family not named
PTHR36963:SF2	4	4	19	Chordata	Brabel,Bralan,Letrei,Petmar,Parata,Calmil,Osteichthyes	Subfamily not named
PTHR11890	15	7	23	Deuterostomia	Echinodermata,Sackow,Ceph2,Letrei,Calmil,Osteichthyes	Interleukin-1 receptor
PTHR19303:SF52	120	11	23	Deuterostomia	Strpur,Braflo,Leth,Chondrichthyes,Actinopterygii,Xentro,Galgal	Not found
PTHR23215:SF1	15	13	16	Vertebrata	Letjap,Parata,Amical	Not found
PTHR24023:SF1042	16	10	23	Deuterostomia	Strpur,Hemichordata,Brabel,Petmar,Holostei,Danrer,Sarcopterygia	Not found
PTHR13808:SF34	35	22	23	Deuterostomia	Amical	Not found
PTHR46113:SF1	166	3	16	Vertebrata	Hyperoartia,Chondrichthyes,Actinopterygii,Tetrapoda	Subfamily not named
PTHR46113	166	3	16	Vertebrata	Hyperoartia,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR13196:SF22	23	14	16	Vertebrata	Letrei,Amical	Denn domain-containing protein 1a
PTHR11255:SF43	27	21	23	Deuterostomia	Ptyfla,Amical	Diacylglycerol kinase zeta
PTHR46349	44	16	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Amical	Family not named
PTHR37445:SF3	55	6	23	Deuterostomia	Echinodermata,Sackow,Hyperoartia,Gnathostomata	Not found
PTHR37445	55	6	23	Deuterostomia	Echinodermata,Sackow,Hyperoartia,Gnathostomata	Family not named
PTHR42757:SF9	14	13	16	Vertebrata	Petmar,Calmil,Amical	Neurotrimin
PTHR11675:SF18	17	15	16	Vertebrata	Amical	Polypeptide n-acetylgalactosaminyltransferase 12
PTHR11954:SF22	46	16	23	Deuterostomia	Ptyfla,Letrei,Chipun,Amical,Amniotes	D-dopachrome decarboxylase
PTHR34226:SF10	90	11	23	Deuterostomia	Acapla,Ptyfla,Brabel,Letrei,Petmar,Calmil,Holostei,Latcha,Amniotes	Not found
PTHR12187	15	12	23	Deuterostomia	Letrei,Calmil,Osteichthyes	Family not named
PTHR47018	588	6	23	Deuterostomia	Acapla,Ptyfla,Brabel,Braflo,Hyperoartia,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR37209:SF10	29	1	1	Eptbur		Not found
PTHR46229:SF2	16	16	23	Deuterostomia	Strpur,Ptyfla,Chondrichthyes,Amical,Danrer,Galgal	Bola-like protein 1
PTHR24099:SF17	17	9	19	Chordata	Letrei,Osteichthyes	Subfamily not named
PTHR13884:SF9	66	13	23	Deuterostomia	Acapla,Ptyfla,Calmil,Holostei,Danrer,Latcha,Amniotes	Subfamily not named
PTHR19918:SF34	23	19	23	Deuterostomia	Echinodermata,Letrei,Amical	Fizzy/cell division cycle 20 related 1 (drosophila)
PTHR31511:SF12	167	7	23	Deuterostomia	Strpur,Sackow,Hyperoartia,Gnathostomata	Subfamily not named
PTHR31278	19	19	23	Deuterostomia	Ptyfla,Letrei,Chipun,Amical	Family not named
PTHR31278:SF2	19	19	23	Deuterostomia	Ptyfla,Letrei,Chipun,Amical	Coiled-coil-helix-coiled-coil-helix domain-containing protein 1
PTHR43053:SF4	51	22	23	Deuterostomia	Amical	Si:dkey-228b2.5
PTHR14139:SF2	13	7	23	Deuterostomia	Echinodermata,Sackow,Leth,Gnathostomata	Calsyntenin-1
PTHR22590:SF2	9	5	16	Vertebrata	Hyperoartia,Chondrichthyes,Actinopterygii,Latcha,Galgal	Subfamily not named
PTHR45134	89	17	23	Deuterostomia	Echinodermata,Ptyfla,Braflo,Amical,Homsap	Family not named
PTHR10969:SF55	15	14	23	Deuterostomia	Echinodermata,Ptyfla,Leth,Calmil,Amical,Latcha,Xentro	Gaba(a) receptor associated protein
PTHR46948	47	19	23	Deuterostomia	Hemichordata,Brabel,Amical	Family not named
PTHR46948:SF1	47	19	23	Deuterostomia	Hemichordata,Brabel,Amical	Ribonuclease p protein subunit p38
PTHR31286:SF99	10	2	2	Myxines		Not found
PTHR34226:SF9	33	9	23	Deuterostomia	Echinodermata,Ptyfla,Letjap,Petmar,Calmil,Actinopterygii,Tetrapoda	Not found
PTHR36144:SF3	143	13	23	Deuterostomia	Echinodermata,Ptyfla,Petmar,Holostei,Danrer,Latcha,Mammalia	Not found
PTHR11937	615	22	23	Deuterostomia	Amical	Actin
PTHR17537	4	4	5	Cyclostomata	Letrei	Transducer of erbb2  tob
PTHR45795:SF3	90	11	23	Deuterostomia	Echinodermata,Ptyfla,Petmar,Calmil,Holostei,Danrer,Latcha,Amniotes	Not found
PTHR21646:SF12	27	20	23	Deuterostomia	Letrei,Amical,Orylat	Ubiquitin carboxyl-terminal hydrolase 16
PTHR31568:SF90	1	1	1	Eptbur		Not found
PTHR12400:SF40	18	16	23	Deuterostomia	Strpur,Letrei,Petmar,Chipun,Amical,Danrer,Xentro	Inositol hexakisphosphate kinase 3
PTHR31774:SF0	17	13	23	Deuterostomia	Echinodermata,Ptyfla,Ceph2,Letrei,Petmar,Parata,Amical,Danrer	Protein shisa-6 homolog
PTHR11690:SF18	16	12	16	Vertebrata	Actinopterygii	Amiloride-sensitive sodium channel subunit beta
PTHR11748:SF111	22	21	23	Deuterostomia	Letrei,Amical	D-lactate dehydrogenase, mitochondrial-related
PTHR11953:SF1	22	20	23	Deuterostomia	Bralan,Letrei,Amical	Exosome complex component rrp46
PTHR34072:SF14	27	5	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Hyperoartia,Calmil,Amical,Euteleostei,Sarcopterygia	Not found
PTHR11444:SF1	22	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Fumarate hydratase, mitochondrial
PTHR18945:SF76	16	15	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Chipun,Amical	Neuronal acetylcholine receptor subunit alpha-5
PTHR14399:SF12	12	9	16	Vertebrata	Letrei,Amical,Danrer,Tetrapoda	Subfamily not named
PTHR11467:SF154	101	10	23	Deuterostomia	Leth,Gnathostomata	Not found
PTHR15715:SF17	25	19	23	Deuterostomia	Echinodermata,Sackow,Amical	Centrosomal protein of 170 kda
PTHR21669:SF1	33	22	23	Deuterostomia	Amical	Wash complex subunit 2a-related
PTHR24381:SF379	12	7	23	Deuterostomia	Echinodermata,Bralan,Letjap,Parata,Gnathostomata	Not found
PTHR10048:SF15	36	22	23	Deuterostomia	Amical	Phosphatidylinositol 4-kinase alpha-related
PTHR45690	141	16	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Amical	Family not named
PTHR24356:SF224	42	22	23	Deuterostomia	Amical	Microtubule-associated serine/threonine-protein kinase 4
PTHR44427:SF18	36	17	23	Deuterostomia	Echinodermata,Brabel,Braflo,Amical,Xentro	Not found
PTHR33332:SF6	97	7	23	Deuterostomia	Echinodermata,Ptyfla,Hyperoartia,Parata,Chondrichthyes,Holostei,Danrer,Latcha,Amniotes	Subfamily not named
PTHR13723:SF189	17	13	23	Deuterostomia	Echinodermata,Ptyfla,Ceph2,Hyperoartia,Parata,Amical	A disintegrin and metalloproteinase with thrombospondin motifs 12
PTHR33776	15	6	23	Deuterostomia	Echinodermata,Braflo,Hyperoartia,Gnathostomata	Family not named
PTHR10540:SF7	2	1	1	Eptbur		26s proteasome non-atpase regulatory subunit 7
PTHR24060:SF24	10	9	23	Deuterostomia	Acapla,Hemichordata,Braflo,Hyperoartia,Calmil,Actinopterygii,Latcha,Galgal	Metabotropic glutamate receptor 6
PTHR46152:SF2	17	13	16	Vertebrata	Letrei,Amical,Latcha	Nf-kappa-b inhibitor-interacting ras-like protein 2
PTHR21531:SF0	23	22	23	Deuterostomia	Amical	Protein ltv1 homolog
PTHR13715:SF75	16	10	16	Vertebrata	Letjap,Petmar,Holostei,Orylat,Xentro	Ryanodine receptor 2
PTHR10516:SF25	22	20	23	Deuterostomia	Leth,Amical	Peptidyl-prolyl cis-trans isomerase fkbp4
PTHR10877	73	11	23	Deuterostomia	Acapla,Gnathostomata	Polycystin-related
PTHR22902:SF17	10	9	23	Deuterostomia	Echinodermata,Sackow,Brabel,Bralan,Chondrichthyes,Actinopterygii,Latcha,Xentro,Galgal	Sesquipedalian-1
PTHR24559:SF398	337	10	23	Deuterostomia	Acapla,Bralan,Hyperoartia,Calmil,Holostei,Danrer,Tetrapoda	Not found
PTHR47510:SF1	493	15	23	Deuterostomia	Acapla,Petmar,Calmil,Amical,Danrer,Amniotes	Subfamily not named
PTHR22806:SF0	23	21	23	Deuterostomia	Ptyfla,Amical	Nucleoporin nup37
PTHR22806	23	21	23	Deuterostomia	Ptyfla,Amical	Nucleoporin nup37  p37 -related
PTHR15185	9	5	5	Cyclostomata		Bcl9
PTHR14063:SF7	17	14	19	Chordata	Ceph2,Letrei,Holostei	Protein lin-7 homolog b
PTHR12841:SF6	26	22	23	Deuterostomia	Amical	Protein unc-50 homolog
PTHR37492:SF5	69	11	23	Deuterostomia	Echinodermata,Ptyfla,Braflo,Chipun,Holostei,Danrer,Latcha,Amniotes	Not found
PTHR13215:SF0	76	17	23	Deuterostomia	Ptyfla,Letrei,Petmar,Parata,Calmil,Amical	Activated rna polymerase ii transcriptional coactivator p15
PTHR16171:SF7	24	20	23	Deuterostomia	Letrei,Amical,Homsap	Dna repair protein complementing xp-g cells
PTHR10218:SF342	47	20	23	Deuterostomia	Hemichordata,Amical	Not found
PTHR11339	217	14	23	Deuterostomia	Chipun,Actinopterygii,Tetrapoda	Extracellular matrix glycoprotein related
PTHR23280:SF17	39	22	23	Deuterostomia	Amical	Band 4.1-like protein 2
PTHR11390:SF20	25	22	23	Deuterostomia	Amical	Dna topoisomerase 3-beta-1
PTHR46485:SF7	17	14	19	Chordata	Brabel,Braflo,Leth,Amical	Lim domain kinase 1
PTHR19303:SF54	62	10	23	Deuterostomia	Sackow,Hyperoartia,Chipun,Actinopterygii,Tetrapoda	Not found
PTHR35577:SF2	32	12	23	Deuterostomia	Echinodermata,Ptyfla,Petmar,Calmil,Holostei,Danrer,Amniotes	Subfamily not named
PTHR23236:SF85	19	19	23	Deuterostomia	Strpur,Brabel,Braflo,Amical	Not found
PTHR25465	383	14	23	Deuterostomia	Echinodermata,Cephalochordata,Amical,Amniotes	Family not named
PTHR46079	25	9	23	Deuterostomia	Strpur,Brabel,Bralan,Gnathostomata	Family not named
PTHR10676:SF255	100	22	23	Deuterostomia	Amical	Dynein heavy chain 12, axonemal
PTHR24107	53	13	23	Deuterostomia	Sackow,Letrei,Chipun,Actinopterygii,Amniotes	Family not named
PTHR19303:SF16	388	17	23	Deuterostomia	Actinopterygii,Xentro,Galgal	Jerky protein homolog-like
PTHR10694:SF44	31	22	23	Deuterostomia	Amical	Protein jumonji
PTHR12353	110	22	23	Deuterostomia	Amical	Disks large-associated protein  dap   sap90/psd-95-associated protein
PTHR19303:SF21	69	13	23	Deuterostomia	Echinodermata,Brabel,Chondrichthyes,Holostei,Orylat,Xentro,Galgal	Subfamily not named
PTHR12768:SF6	23	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Beclin-1
PTHR12157:SF15	43	21	23	Deuterostomia	Strpur,Amical	Regulating synaptic membrane exocytosis protein 2
PTHR31781:SF1	41	21	23	Deuterostomia	Letrei,Amical	Protein unc-80 homolog
PTHR31781	41	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR24135	31	15	23	Deuterostomia	Strpur,Brabel,Braflo,Amical,Euteleostei,Mammalia	Family not named
PTHR31893:SF4	25	15	16	Vertebrata	Amical	Transmembrane protein 151b
PTHR45598:SF2	129	12	23	Deuterostomia	Echinodermata,Ptyfla,Petmar,Actinopterygii,Latcha,Mammalia	Subfamily not named
PTHR11537:SF275	17	11	19	Chordata	Brabel,Braflo,Letrei,Holostei,Amniotes	Not found
PTHR11616	55	10	23	Deuterostomia	Brabel,Braflo,Gnathostomata	Sodium/chloride dependent transporter
PTHR13865	6	5	23	Deuterostomia	Echinodermata,Cephalochordata,Letjap,Petmar,Gnathostomata	Tight junction protein
PTHR21545:SF10	14	11	16	Vertebrata	Leth,Amical,Xentro,Homsap	Ligand-dependent nuclear receptor corepressor-like protein
PTHR25465:SF17	29	13	16	Vertebrata	Leth,Amical	E3 ubiquitin/isg15 ligase trim25
PTHR14789:SF4	44	16	19	Chordata	Brabel,Calmil,Amical	Endosialin
PTHR46944	21	18	23	Deuterostomia	Ptyfla,Letrei,Parata,Chipun,Amical	Family not named
PTHR46944:SF1	21	18	23	Deuterostomia	Ptyfla,Letrei,Parata,Chipun,Amical	Rho guanine nucleotide exchange factor 33
PTHR22603:SF69	18	11	16	Vertebrata	Amical,Tetrapoda	Choline kinase beta
PTHR11829:SF376	71	15	23	Deuterostomia	Calmil,Actinopterygii,Xentro,Mammalia	Not found
PTHR22625:SF36	25	16	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Amical	Plexin-b1
PTHR34403:SF8	91	10	23	Deuterostomia	Acapla,Ptyfla,Brabel,Calmil,Osteichthyes	Not found
PTHR10492:SF57	41	6	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Petmar,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Subfamily not named
PTHR12243	36	12	23	Deuterostomia	Ptyfla,Letrei,Chondrichthyes,Holostei,Orylat,Latcha,Amniotes	Family not named
PTHR36911:SF1	74	13	23	Deuterostomia	Echinodermata,Calmil,Amical,Euteleostei,Latcha,Amniotes	Subfamily not named
PTHR19305:SF9	25	21	23	Deuterostomia	Brabel,Amical	Synaptosomal-associated protein 29
PTHR10454:SF26	36	13	23	Deuterostomia	Strpur,Hyperoartia,Parata,Calmil,Amical,Euteleostei,Musmus	Caspase-10
PTHR22747	20	10	23	Deuterostomia	Ptyfla,Cephalochordata,Osteichthyes	Nucleoplasmin
PTHR45134:SF15	100	17	23	Deuterostomia	Acapla,Ptyfla,Amical,Orylat,Mammalia	Not found
PTHR46888:SF4	62	5	23	Deuterostomia	Echinodermata,Sackow,Cephalochordata,Hyperoartia,Chondrichthyes,Holostei,Danrer,Latcha,Amniotes	Not found
PTHR45786:SF24	52	6	23	Deuterostomia	Acapla,Hemichordata,Cephalochordata,Petmar,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Not found
PTHR11359:SF2	16	14	16	Vertebrata	Letrei,Amical	Amp deaminase 3
PTHR15362:SF13	16	15	23	Deuterostomia	Ptyfla,Letrei,Amical,Sarcopterygia	Si:ch1073-145m9.1
PTHR14588	23	20	23	Deuterostomia	Leth,Amical	Family not named
PTHR14588:SF2	23	20	23	Deuterostomia	Leth,Amical	Ddb1- and cul4-associated factor 10
PTHR24061:SF418	696	13	23	Deuterostomia	Echinodermata,Ptyfla,Cephalochordata,Amical,Amniotes	C-family odorant receptor olfcq19-related
PTHR46513:SF6	34	14	16	Vertebrata	Holostei	Nidogen-1
PTHR23420:SF20	30	21	23	Deuterostomia	Letrei,Amical	Not found
PTHR15067	41	21	23	Deuterostomia	Letrei,Amical	Family not named
PTHR12832:SF14	16	14	23	Deuterostomia	Acapla,Sackow,Cephalochordata,Letrei,Amical,Danrer,Xentro	T-complex protein 11 homolog
PTHR16830:SF21	70	18	23	Deuterostomia	Amical,Latcha,Amniotes	Not found
PTHR45795	101	10	23	Deuterostomia	Echinodermata,Ptyfla,Braflo,Calmil,Actinopterygii,Latcha,Amniotes	Family not named
PTHR21538:SF21	15	15	16	Vertebrata	Amical	Rhotekin-2
PTHR10134	18	17	23	Deuterostomia	Letrei,Calmil,Holostei,Xentro,Musmus	Cytochrome b-c1 complex subunit rieske, mitochondrial
PTHR10663:SF340	26	19	23	Deuterostomia	Strpur,Letrei,Parata,Amical	Cytohesin-1
PTHR47501	49	5	16	Vertebrata	Letjap,Chondrichthyes,Actinopterygii,Tetrapoda	Family not named
PTHR22731:SF3	20	17	23	Deuterostomia	Strpur,Braflo,Amical,Latcha,Mammalia	Ribonucleases p/mrp protein subunit pop1
PTHR11482	25	12	23	Deuterostomia	Letjap,Chondrichthyes,Amical,Euteleostei,Sarcopterygia	Arginine/diaminopimelate/ornithine decarboxylase
PTHR10492:SF79	6	3	5	Cyclostomata	Letrei,Petmar	Not found
PTHR31804	37	20	23	Deuterostomia	Ptyfla,Amical,Homsap	Family not named
PTHR31804:SF2	38	21	23	Deuterostomia	Ptyfla,Amical	Mediator of rna polymerase ii transcription subunit 15
PTHR13340:SF2	20	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Gata zinc finger domain-containing protein 1
PTHR13340	20	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Odag protein
PTHR45652:SF11	18	12	16	Vertebrata	Amical,Amniotes	Notochord granular surface-related
PTHR34660	5	1	1	Eptbur		Family not named
PTHR11269	41	17	19	Chordata	Letrei,Amical	Period circadian protein
PTHR23335:SF9	26	17	23	Deuterostomia	Strpur,Letrei,Petmar,Calmil,Holostei	Calmodulin-binding transcription activator 2
PTHR13326:SF29	26	21	23	Deuterostomia	Letrei,Amical	Not found
PTHR12924:SF2	15	15	16	Vertebrata	Amical	Signal sequence receptor, alpha
PTHR12198	24	13	23	Deuterostomia	Chondrichthyes,Actinopterygii,Latcha,Xentro,Mammalia	Homeobox protein prospero/prox-1/ceh-26
PTHR24559:SF393	119	9	23	Deuterostomia	Acapla,Hyperoartia,Chondrichthyes,Holostei,Danrer,Sarcopterygia	Not found
PTHR46107:SF3	12	10	23	Deuterostomia	Letrei,Petmar,Gnathostomata	Dumpy: shorter than wild-type
PTHR22842:SF1	1	1	1	Eptbur		Subfamily not named
PTHR21634	9	9	23	Deuterostomia	Strpur,Petmar,Parata,Gnathostomata	Uncharacterized
PTHR11461:SF204	67	21	23	Deuterostomia	Letrei,Amical	Serpin b6
PTHR11409:SF42	24	22	23	Deuterostomia	Amical	Adenosine deaminase-like protein
PTHR45674:SF9	22	21	23	Deuterostomia	Letrei,Amical	Not found
PTHR10218:SF233	47	17	23	Deuterostomia	Strpur,Sackow,Cephalochordata,Amical	Guanine nucleotide-binding protein g(olf) subunit alpha
PTHR31859:SF1	28	22	23	Deuterostomia	Amical	Tetratricopeptide repeat protein 39c
PTHR45935:SF18	49	4	16	Vertebrata	Hyperoartia,Chondrichthyes,Holostei,Danrer,Latcha,Xentro,Galgal,Musmus	Not found
PTHR11267:SF106	7	6	23	Deuterostomia	Acapla,Hemichordata,Brabel,Bralan,Petmar,Gnathostomata	T-related protein
PTHR10687:SF8	27	21	23	Deuterostomia	Letrei,Amical	Secretory carrier-associated membrane protein 1
PTHR11304:SF4	20	14	16	Vertebrata	Calmil,Amical	Ephrin-a2
PTHR46880	335	14	23	Deuterostomia	Letrei,Petmar,Holostei,Orylat,Tetrapoda	Family not named
PTHR23511:SF32	35	20	23	Deuterostomia	Ptyfla,Letrei,Amical	Not found
PTHR33332:SF23	409	11	23	Deuterostomia	Acapla,Hyperoartia,Actinopterygii,Tetrapoda	Not found
PTHR24044:SF380	29	19	23	Deuterostomia	Acapla,Sackow,Brabel,Amical	Delta-like protein 1
PTHR36910:SF11	65	13	23	Deuterostomia	Echinodermata,Ptyfla,Brabel,Braflo,Actinopterygii,Musmus	Not found
PTHR46605	84	21	23	Deuterostomia	Letrei,Amical	Family not named
