fid	clg	Bflo	Spu	Blan	Skow	Pfla	Apla	Chipun	Lepocu	Xentro	Galgal	Lepocu	Petmar	Parata
OG_154	CLGA1		LOC577885	BL03614	Sakowv30044165m	pfl_40v0_9_20150316_1g17500	LOC110981959	Chipun_Chipu0002578|alpha1;Chipun_Chipu0006445|alpha2	Lepocu_ENSLOCG00000008664|alpha1;Lepocu_ENSLOCG00000016138|alpha2	Xentro_vrk1|alpha1;Xentro_Xetrov90013313m|alpha2	Galgal_ENSGALG00000011116|alpha1;Galgal_ENSGALG00000032770|alpha2	Lepocu_ENSLOCG00000008664|alpha1;Lepocu_ENSLOCG00000016138|alpha2	Petmar_LOC116954020|chrm53	Parata_EA09490|chr10;Parata_EA12654|chr10
OG_200	CLGA1		LOC578066	BL10094	Sakowv30014268m	pfl_40v0_9_20150316_1g5798	LOC110978398	Chipun_Chipu0016751|alpha1;Chipun_Chipu0023739|alpha2	Lepocu_ENSLOCG00000013357|alpha1;Lepocu_ENSLOCG00000015948|alpha2	Xentro_psen1|alpha1;Xentro_psen2|alpha2	Galgal_ENSGALG00000009320|alpha1;Galgal_ENSGALG00000009073|alpha2	Lepocu_ENSLOCG00000013357|alpha1;Lepocu_ENSLOCG00000015948|alpha2	Petmar_LOC116939377|chrm6	Parata_EA50313|chr9
OG_2012	CLGA1		LOC579736	BL24550	Sakowv30021923m	pfl_40v0_9_20150316_1g33565	LOC110986246	Chipun_Chipu0005816|alpha1;Chipun_Chipu0015508|alpha2	Lepocu_ENSLOCG00000012153|alpha1;Lepocu_ENSLOCG00000016445|alpha2	Xentro_fermt2-like|alpha1;Xentro_fermt1|alpha2	Galgal_ENSGALG00000012425|alpha1;Galgal_ENSGALG00000008827|alpha2	Lepocu_ENSLOCG00000012153|alpha1;Lepocu_ENSLOCG00000016445|alpha2	Petmar_LOC116939537|chrm6;Petmar_LOC116943178|chrm17;Petmar_LOC116948416|chrm33	Parata_EA49128|chr9;Parata_EA39707|chr1;Parata_EA36241|chr1
OG_13821	CLGA1		LOC577675	BL27279	Sakowv30006936m	pfl_40v0_9_20150316_1g10240	LOC110979464	Chipun_Chipu0005802|alpha1;Chipun_Chipu0021278|alpha2	Lepocu_ENSLOCG00000011949|alpha1;Lepocu_ENSLOCG00000016769|alpha2	Xentro_pygl|alpha1;Xentro_pygm|alpha2	Galgal_ENSGALG00000012365|alpha1;Galgal_ENSGALG00000008508|alpha2	Lepocu_ENSLOCG00000011949|alpha1;Lepocu_ENSLOCG00000016769|alpha2	Petmar_PYGL|chrm33;Petmar_LOC116947734|chrm31;Petmar_LOC116939620|chrm6	Parata_EA50198|chr9
OG_13819	CLGA1		LOC582962	BL05207	Sakowv30033691m		LOC110976734		Lepocu_ENSLOCG00000015476|alpha2	Xentro_rhou|alpha1	Galgal_ENSGALG00000025738|alpha2	Lepocu_ENSLOCG00000015476|alpha2	Petmar_LOC116947867|chrm31	Parata_EA54464|chr14
OG_13817	CLGA1		LOC100891460	BL15671	Sakowv30033675m		LOC110979480	Chipun_Chipu0009656|alpha2	Lepocu_ENSLOCG00000011938|alpha1;Lepocu_ENSLOCG00000016763|alpha2	Xentro_LOC100495642-like|alpha1;Xentro_abhd12|alpha2	Galgal_ENSGALG00000020342|alpha1;Galgal_ENSGALG00000008525|alpha2	Lepocu_ENSLOCG00000011938|alpha1;Lepocu_ENSLOCG00000016763|alpha2	Petmar_LOC116947070|chrm29;Petmar_ABHD12|chrm6	Parata_EA49513|chr9
OG_7555	CLGA1		LOC100890735	BL08770			LOC110989725	Chipun_Chipu0005803|alpha1;Chipun_Chipu0025675|alpha2	Lepocu_ENSLOCG00000011961|alpha1;Lepocu_ENSLOCG00000015766|alpha2	Xentro_trim67|alpha2	Galgal_ENSGALG00000012367|alpha1;Galgal_ENSGALG00000030960|alpha2	Lepocu_ENSLOCG00000011961|alpha1;Lepocu_ENSLOCG00000015766|alpha2	Petmar_LOC116939619|chrm6;Petmar_LOC116953880|chrm53;Petmar_LOC116948424|chrm33	Parata_EA47943|chr9;Parata_EA36677|chr1
OG_15348	CLGA1		LOC105444365	BL20196	Sakowv30005399m	pfl_40v0_9_20150316_1g20537	LOC110988907	Chipun_Chipu0005811|alpha1;Chipun_Chipu0012985|alpha2	Lepocu_ENSLOCG00000012038|alpha1;Lepocu_ENSLOCG00000015819|alpha2	Xentro_gpr137c|alpha1;Xentro_gpr137b|alpha2	Galgal_ENSGALG00000012401|alpha1;Galgal_ENSGALG00000010843|alpha2	Lepocu_ENSLOCG00000012038|alpha1;Lepocu_ENSLOCG00000015819|alpha2	Petmar_GPR137C|chrm29	Parata_EA18671|chr13;Parata_EA18385|chr13
OG_7552	CLGA1		LOC100889010	BL16428	Sakowv30005397m	pfl_40v0_9_20150316_1g20420	LOC110988908	Chipun_Chipu0003760|alpha1;Chipun_Chipu0025356|alpha2	Lepocu_ENSLOCG00000011585|alpha1;Lepocu_ENSLOCG00000016719|alpha2	Xentro_begain|alpha1	Galgal_ENSGALG00000011236|alpha1;Galgal_ENSGALG00000010385|alpha2	Lepocu_ENSLOCG00000011585|alpha1;Lepocu_ENSLOCG00000016719|alpha2	Petmar_LOC116943373|chrm17;Petmar_BEGAIN|chrm6	Parata_EA11533|chr10;Parata_EA50423|chr9
OG_3456	CLGA1		LOC582904	BL18596	Sakowv30044202m	pfl_40v0_9_20150316_1g1660	LOC110981941	Chipun_Chipu0005804|alpha1;Chipun_Chipu0011664|alpha2	Lepocu_ENSLOCG00000011971|alpha1;Lepocu_ENSLOCG00000016438|alpha2	Xentro_tmx1|alpha1;Xentro_tmx4|alpha2	Galgal_ENSGALG00000020340|alpha1;Galgal_ENSGALG00000028587|alpha2	Lepocu_ENSLOCG00000011971|alpha1;Lepocu_ENSLOCG00000016438|alpha2	Petmar_TMX1|chrm53;Petmar_LOC116939725|chrm6	Parata_EA47012|chr9
OG_1121	CLGA1		LOC584503	BL96495	Sakowv30021362m	pfl_40v0_9_20150316_1g1656	LOC110979665	Chipun_Chipu0010817|alpha1;Chipun_Chipu0006839|alpha2	Lepocu_ENSLOCG00000013491|alpha1;Lepocu_ENSLOCG00000015528|alpha2	Xentro_sptbn4|alpha1;Xentro_LOC101730842|alpha2	Galgal_ENSGALG00000036805|alpha1;Galgal_ENSGALG00000029512|alpha2	Lepocu_ENSLOCG00000013491|alpha1;Lepocu_ENSLOCG00000015528|alpha2	Petmar_LOC116947147|chrm29;Petmar_LOC116943326|chrm17;Petmar_LOC116947907|chrm31;Petmar_SPTBN1|chrm6	Parata_EA18180|chr13;Parata_EA54596|chr14;Parata_EA49061|chr9;Parata_EA11590|chr10;Parata_EA12851|chr10
OG_8982	CLGA1		LOC579651	BL12976	Sakowv30009157m	pfl_40v0_9_20150316_1g25387	LOC110986334	Chipun_Chipu0008826|alpha1;Chipun_Chipu0016571|alpha2	Lepocu_ENSLOCG00000012777|alpha1;Lepocu_ENSLOCG00000015386|alpha2	Xentro_LOC101735050|alpha1;Xentro_LOC779465|alpha2	Galgal_ENSGALG00000041565|alpha1;Galgal_ENSGALG00000010733|alpha2	Lepocu_ENSLOCG00000012777|alpha1;Lepocu_ENSLOCG00000015386|alpha2	Petmar_LOC116947890|chrm31;Petmar_LOC116943324|chrm17	Parata_EA54475|chr14;Parata_EA09989|chr10
OG_6470	CLGA1		LOC588667	BL22030	Sakowv30041340m	pfl_40v0_9_20150316_1g7364	LOC110979465	Chipun_Chipu0010826|alpha1	Lepocu_ENSLOCG00000014213|alpha1;Lepocu_ENSLOCG00000016200|alpha2	Xentro_smoc1|alpha1	Galgal_ENSGALG00000009415|alpha1;Galgal_ENSGALG00000011205|alpha2	Lepocu_ENSLOCG00000014213|alpha1;Lepocu_ENSLOCG00000016200|alpha2	Petmar_LOC116943205|chrm17;Petmar_LOC116947352|chrm29;Petmar_LOC116947856|chrm31	Parata_EA59128|chr4;Parata_EA62910|chr4;Parata_EA19232|chr13;Parata_EA55061|chr14;Parata_EA52426|chr14
OG_1671	CLGA1		LOC577167	BL07333	Sakowv30031232m		LOC110979467	Chipun_Chipu0002091|alpha1;Chipun_Chipu0015160|alpha2	Lepocu_ENSLOCG00000015904|alpha2	Xentro_tomm20|alpha2	Galgal_ENSGALG00000035299|alpha2	Lepocu_ENSLOCG00000015904|alpha2	Petmar_LOC116939672|chrm6;Petmar_LOC116947077|chrm29	Parata_EA48470|chr9
OG_5	CLGA1		LOC755326	BL12129	Sakowv30036001m	pfl_40v0_9_20150316_1g32735	LOC110981962	Chipun_Chipu0006221|alpha1;Chipun_Chipu0009989|alpha2		Xentro_synj2bp|alpha1	Galgal_ENSGALG00000035537|alpha1			
OG_16777	CLGA1		LOC115917881	BL13719	Sakowv30019049m	pfl_40v0_9_20150316_1g4919	LOC110975141	Chipun_Chipu0002592|alpha1;Chipun_Chipu0009312|alpha2	Lepocu_ENSLOCG00000010701|alpha1;Lepocu_ENSLOCG00000016698|alpha2	Xentro_prox1|alpha2	Galgal_ENSGALG00000023113|alpha1;Galgal_ENSGALG00000009791|alpha2	Lepocu_ENSLOCG00000010701|alpha1;Lepocu_ENSLOCG00000016698|alpha2	Petmar_LOC116947115|chrm29;Petmar_LOC116943320|chrm17;Petmar_LOC116947116|chrm29;Petmar_LOC116947710|chrm31;Petmar_PROX1|chrm6	Parata_EA19599|chr13;Parata_EA18271|chr13;Parata_EA12933|chr10;Parata_EA52515|chr14;Parata_EA49214|chr9
OG_1805	CLGA1		LOC593505	BL16964	Sakowv30042169m	pfl_40v0_9_20150316_1g27062	LOC110982861	Chipun_Chipu0005797|alpha1;Chipun_Chipu0016494|alpha2	Lepocu_ENSLOCG00000011867|alpha1;Lepocu_ENSLOCG00000015753|alpha2	Xentro_map4k5|alpha1;Xentro_map4k3|alpha2	Galgal_ENSGALG00000012321|alpha1;Galgal_ENSGALG00000039720|alpha2	Lepocu_ENSLOCG00000011867|alpha1;Lepocu_ENSLOCG00000015753|alpha2	Petmar_LOC116947204|chrm29;Petmar_LOC116939696|chrm6;Petmar_LOC116943167|chrm17	Parata_EA20596|chr13;Parata_EA50012|chr9;Parata_EA46921|chr9;Parata_EA49329|chr9;Parata_EA58767|chr4
OG_18093	CLGA1		LOC586250	BL08699	Sakowv30033114m	pfl_40v0_9_20150316_1g18563	LOC110978191	Chipun_Chipu0004276|alpha1;Chipun_Chipu0001109|alpha2	Lepocu_ENSLOCG00000014189|alpha1;Lepocu_ENSLOCG00000016630|alpha2	Xentro_arg1|alpha2	Galgal_ENSGALG00000009519|alpha1	Lepocu_ENSLOCG00000014189|alpha1;Lepocu_ENSLOCG00000016630|alpha2	Petmar_LOC116947952|chrm31;Petmar_LOC116939460|chrm6	Parata_EA47303|chr9
OG_18028	CLGA1		LOC578959	BL15825	Sakowv30015941m	pfl_40v0_9_20150316_1g33052	LOC110986866	Chipun_Chipu0007788|alpha1;Chipun_Chipu0011486|alpha2	Lepocu_ENSLOCG00000009065|alpha1;Lepocu_ENSLOCG00000016316|alpha2	Xentro_ttc7b|alpha1;Xentro_ttc7a|alpha2	Galgal_ENSGALG00000010680|alpha1;Galgal_ENSGALG00000010020|alpha2	Lepocu_ENSLOCG00000009065|alpha1;Lepocu_ENSLOCG00000016316|alpha2	Petmar_LOC116943206|chrm17	Parata_EA59903|chr4
OG_18282	CLGA1		LOC578376	BL13857	Sakowv30031204m	pfl_40v0_9_20150316_1g20014	LOC110980623	Chipun_Chipu0011414|alpha1	Lepocu_ENSLOCG00000016400|alpha2	Xentro_tmem151b|alpha1;Xentro_Xetrov90012900m|alpha2	Galgal_ENSGALG00000008628|alpha1;Galgal_ENSGALG00000010169|alpha2	Lepocu_ENSLOCG00000016400|alpha2	Petmar_LOC116943308|chrm17	Parata_EA10504|chr10
OG_6002	CLGA1		LOC105446450	BL17436	Sakowv30044183m	pfl_40v0_9_20150316_1g13656	LOC110977670	Chipun_Chipu0002570|alpha1;Chipun_Chipu0004227|alpha2	Lepocu_ENSLOCG00000013992|alpha1;Lepocu_ENSLOCG00000016871|alpha2	Xentro_pax9|alpha1;Xentro_pax1|alpha2	Galgal_ENSGALG00000010114|alpha1;Galgal_ENSGALG00000039040|alpha2	Lepocu_ENSLOCG00000013992|alpha1;Lepocu_ENSLOCG00000016871|alpha2	Petmar_PAX9|chrm29;Petmar_PAX1|chrm6	Parata_EA10797|chr10;Parata_EA19538|chr13;Parata_EA48257|chr9
OG_8648	CLGA1		LOC591779	BL02062	Sakowv30043866m	pfl_40v0_9_20150316_1g26042	LOC110979488	Chipun_Chipu0011408|alpha1;Chipun_Chipu0018875|alpha2	Lepocu_ENSLOCG00000014081|alpha1;Lepocu_ENSLOCG00000015867|alpha2	Xentro_Xetrov90021832m|alpha1	Galgal_ENSGALG00000008567|alpha2	Lepocu_ENSLOCG00000014081|alpha1;Lepocu_ENSLOCG00000015867|alpha2	Petmar_PACS1|chrm31;Petmar_LOC116943225|chrm17	Parata_EA09062|chr10;Parata_EA52436|chr14;Parata_EA11953|chr10;Parata_EA49025|chr9
OG_3608	CLGA1		LOC582833	BL10804	Sakowv30028234m	pfl_40v0_9_20150316_1g4902	LOC110987449	Chipun_Chipu0014024|alpha1	Lepocu_ENSLOCG00000013533|alpha1;Lepocu_ENSLOCG00000015601|alpha2	Xentro_ttbk2|alpha1	Galgal_ENSGALG00000009176|alpha1;Galgal_ENSGALG00000008627|alpha2	Lepocu_ENSLOCG00000013533|alpha1;Lepocu_ENSLOCG00000015601|alpha2	Petmar_LOC116947820|chrm31;Petmar_LOC116948471|chrm33	Parata_EA55265|chr14;Parata_EA37440|chr1
OG_371	CLGA1		LOC591564	BL00060	Sakowv30038514m	pfl_40v0_9_20150316_1g22217	LOC110974167	Chipun_Chipu0003198|alpha1;Chipun_Chipu0009310|alpha2	Lepocu_ENSLOCG00000008432|alpha1;Lepocu_ENSLOCG00000016705|alpha2	Xentro_ptpn21|alpha1;Xentro_ptpn14|alpha2	Galgal_ENSGALG00000010616|alpha1;Galgal_ENSGALG00000009784|alpha2	Lepocu_ENSLOCG00000008432|alpha1;Lepocu_ENSLOCG00000016705|alpha2	Petmar_LOC116947390|chrm29;Petmar_LOC116943318|chrm17	Parata_EA20847|chr13;Parata_EA12872|chr10
OG_6213.2	CLGA1		LOC574850	BL27450	Sakowv30044007m	pfl_40v0_9_20150316_1g20962	LOC110980555	Chipun_Chipu0013304|alpha1;Chipun_Chipu0028045|alpha2	Lepocu_ENSLOCG00000009153|alpha1;Lepocu_ENSLOCG00000016399|alpha2	Xentro_nfkbia|alpha1	Galgal_ENSGALG00000027864|alpha1;Galgal_ENSGALG00000044525|alpha2	Lepocu_ENSLOCG00000009153|alpha1;Lepocu_ENSLOCG00000016399|alpha2	Petmar_LOC116939477|chrm6;Petmar_LOC116947230|chrm29;Petmar_LOC116943307|chrm17	Parata_EA21378|chr13;Parata_EA12516|chr10;Parata_EA49115|chr9
OG_1492	CLGA1		LOC105443575	BL00419	Sakowv30038965m	pfl_40v0_9_20150316_1g19009	LOC110981457	Chipun_Chipu0008837|alpha1;Chipun_Chipu0012889|alpha2	Lepocu_ENSLOCG00000012925|alpha1	Xentro_tmem179|alpha1	Galgal_ENSGALG00000011590|alpha1	Lepocu_ENSLOCG00000012925|alpha1	Petmar_TMEM179|chrm31	
